family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,compute_cost
planted_3sat,19,mode_a,22,86,3.909090909090909,1,1,0,5,19,1,1,5,0.0009927909122779965,2.576
planted_3sat,19,random,22,86,3.909090909090909,1,1,0,3,16,0,0,3,0.0006715829949826002,0.964
random_3sat,20,vsids,22,86,3.909090909090909,1,0,0,12,119,11,10,5,0.0030008340254426003,15.076
random_3sat,20,progress_only,22,86,3.909090909090909,1,0,0,15,145,14,13,5,0.003664707997813821,19.08
random_3sat,20,maat_only,22,86,3.909090909090909,1,0,0,23,219,21,20,5,0.005832709022797644,28.776
random_3sat,20,mode_a,22,86,3.909090909090909,1,0,0,9,108,10,9,4,0.002604458015412092,13.132
random_3sat,20,random,22,86,3.909090909090909,1,0,0,48,328,35,34,8,0.010243832948617637,50.711999999999996
planted_3sat,21,vsids,22,86,3.909090909090909,1,1,0,9,11,0,0,9,0.001256291987374425,2.7439999999999998
planted_3sat,21,progress_only,22,86,3.909090909090909,1,1,0,10,10,0,0,10,0.0013228339375928044,3.04
planted_3sat,21,maat_only,22,86,3.909090909090909,1,1,0,10,10,0,0,10,0.0014454160118475556,3.04
planted_3sat,21,mode_a,22,86,3.909090909090909,1,1,0,13,6,0,0,13,0.0016589590813964605,3.924
planted_3sat,21,random,22,86,3.909090909090909,1,1,0,13,38,3,3,9,0.0021754580084234476,7.0520000000000005
random_3sat,22,vsids,22,86,3.909090909090909,1,1,0,5,28,2,2,4,0.0010674579534679651,3.612
random_3sat,22,progress_only,22,86,3.909090909090909,1,1,0,5,19,1,1,4,0.0009532090043649077,2.576
random_3sat,22,maat_only,22,86,3.909090909090909,1,1,0,8,43,2,2,6,0.001521292026154697,4.572
random_3sat,22,mode_a,22,86,3.909090909090909,1,1,0,10,10,0,0,10,0.0013210419565439224,3.04
random_3sat,22,random,22,86,3.909090909090909,1,1,0,12,56,4,4,7,0.0023328750394284725,7.824
planted_3sat,23,vsids,22,86,3.909090909090909,1,1,0,6,20,1,1,5,0.0009626250248402357,2.88
planted_3sat,23,progress_only,22,86,3.909090909090909,1,1,0,6,20,1,1,5,0.0009399580303579569,2.88
planted_3sat,23,maat_only,22,86,3.909090909090909,1,1,0,6,14,0,0,6,0.000957750016823411,1.8559999999999999
planted_3sat,23,mode_a,22,86,3.909090909090909,1,1,0,7,18,1,1,6,0.0011283750645816326,3.172
planted_3sat,23,random,22,86,3.909090909090909,1,1,0,11,9,0,0,11,0.001567334053106606,3.336
random_3sat,24,vsids,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,0.0008532080100849271,1.8599999999999999
random_3sat,24,progress_only,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,0.0008259579772129655,1.8599999999999999
random_3sat,24,maat_only,22,94,4.2727272727272725,1,1,0,5,17,0,0,5,0.0008859579684212804,1.568
random_3sat,24,mode_a,22,94,4.2727272727272725,1,1,0,4,16,0,0,4,0.0007643749704584479,1.264
random_3sat,24,random,22,94,4.2727272727272725,1,1,0,6,36,2,2,6,0.0012882910668849945,3.944
planted_3sat,25,vsids,22,94,4.2727272727272725,1,1,0,10,9,0,0,10,0.001399582950398326,3.036
planted_3sat,25,progress_only,22,94,4.2727272727272725,1,1,0,9,9,0,0,9,0.0012297920184209943,2.7359999999999998
planted_3sat,25,maat_only,22,94,4.2727272727272725,1,1,0,8,12,0,0,8,0.0013546670088544488,2.448
planted_3sat,25,mode_a,22,94,4.2727272727272725,1,1,0,7,12,0,0,7,0.0012178340693935752,2.148
planted_3sat,25,random,22,94,4.2727272727272725,1,1,0,7,13,0,0,7,0.0011503329733386636,2.152
random_3sat,26,vsids,22,94,4.2727272727272725,1,1,0,7,44,2,2,4,0.0014866659184917808,4.276
random_3sat,26,progress_only,22,94,4.2727272727272725,1,1,0,7,45,2,2,4,0.0014720829203724861,4.279999999999999
random_3sat,26,maat_only,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,0.0011178329586982727,1.8599999999999999
random_3sat,26,mode_a,22,94,4.2727272727272725,1,1,0,6,42,2,2,5,0.0014423340326175094,3.968
random_3sat,26,random,22,94,4.2727272727272725,1,1,0,9,61,5,5,5,0.0019422079203650355,7.943999999999999
planted_3sat,27,vsids,22,94,4.2727272727272725,1,1,0,10,19,1,1,10,0.0015115831047296524,4.076
planted_3sat,27,progress_only,22,94,4.2727272727272725,1,1,0,9,20,1,1,8,0.0013622500700876117,3.78
planted_3sat,27,maat_only,22,94,4.2727272727272725,1,1,0,5,15,0,0,5,0.0010568340076133609,1.56
planted_3sat,27,mode_a,22,94,4.2727272727272725,1,1,0,13,41,3,3,7,0.0020644579781219363,7.064
planted_3sat,27,random,22,94,4.2727272727272725,1,1,0,26,161,15,15,8,0.005294541944749653,23.444
random_3sat,28,vsids,22,94,4.2727272727272725,1,1,0,9,30,2,2,4,0.0016706669703125954,4.819999999999999
random_3sat,28,progress_only,22,94,4.2727272727272725,1,1,0,7,25,2,2,5,0.001280333031900227,4.199999999999999
random_3sat,28,maat_only,22,94,4.2727272727272725,1,1,0,6,33,2,2,4,0.001374333049170673,3.932
random_3sat,28,mode_a,22,94,4.2727272727272725,1,1,0,5,31,2,2,4,0.001230665948241949,3.624
random_3sat,28,random,22,94,4.2727272727272725,1,1,0,7,13,0,0,7,0.0011873749317601323,2.152
planted_3sat,29,vsids,22,94,4.2727272727272725,1,1,0,9,42,3,3,6,0.0016435839934274554,5.867999999999999
planted_3sat,29,progress_only,22,94,4.2727272727272725,1,1,0,8,31,2,2,6,0.0014604160096496344,4.524
