mu,phidot0,stable,chi2,chi2_per_point,chi2_reduced_k2,delta_chi2_vs_LCDM,max_Omega_MAAT,max_abs_delta_H,min_P_X,min_cs2,max_cs2
0.039810717055349734,1.2055555555555555,True,15.753159833371386,0.5081664462377866,0.5432124080472892,0.8772982430980356,0.00012068001230276062,0.02257756008295914,1.001152807698171,1.0000020562348022,1.0009701534829964
0.039810717055349734,1.3111111111111111,True,15.753115227953987,0.5081650073533545,0.5432108699294479,0.8772536376806368,0.00012093276714365638,0.022577313606344532,1.0010704627822349,1.0000024333422042,1.00098950644802
0.039810717055349734,1.4166666666666665,True,15.753068528873126,0.5081635009313912,0.5432092596163147,0.8772069385997749,0.00012119996039139463,0.022577233913048868,1.0009935410347663,1.0000028425042549,1.0009952666527264
0.039810717055349734,1.5222222222222221,True,15.753020022837827,0.508161936220575,0.5432075869944079,0.8771584325644763,0.00012148070094412602,0.022577311588880898,1.0009221485089062,1.000003283804703,1.0009952141745595
0.039810717055349734,1.6277777777777778,True,15.752969995764564,0.5081603224440182,0.543205861922916,0.8771084054912137,0.00012177417264827975,0.022577534536083955,1.0008562049757237,1.0000037573264262,1.0009952985666912
0.039810717055349734,1.7333333333333332,True,15.752918731403147,0.5081586687549402,0.5432040941863154,0.8770571411297965,0.00012207963212530187,0.02257788930630431,1.000795505233044,1.000004263150559,1.00099530230375
0.039810717055349734,1.8388888888888888,True,15.752866509875533,0.5081569841895334,0.5432022934439839,0.8770049196021823,0.00012239640513694153,0.02257836206267666,1.0007397662102675,1.0000048013557996,1.0009953269456329
0.039810717055349734,1.9444444444444444,True,15.752813606152495,0.5081552776178224,0.5432004691776723,0.8769520158791444,0.00012272388209204948,0.02257893923634247,1.0006886617748694,1.0000053720178699,1.000995438910075
0.039810717055349734,2.05,True,15.752760288507508,0.5081535576937906,0.54319863063819,0.8768986982341573,0.0001230615131327414,0.022579607945745997,1.0006418475387786,1.0000059752090995,1.0009955457403166
0.039810717055349734,2.1555555555555554,True,15.752706816999986,0.5081518328064512,0.5431967867931029,0.8768452267266351,0.00012340880310583217,0.022580356240279414,1.0005989778893807,1.0000066109981083,1.0009956547610486
0.039810717055349734,2.261111111111111,True,15.752653442036676,0.5081501110334412,0.5431949462771267,0.8767918517633255,0.00012376530662437126,0.02258117321912136,1.0005597171805647,1.0000072794495674,1.0009957982872661
0.039810717055349734,2.3666666666666667,True,15.7526004030552,0.5081484000985548,0.543193117346731,0.8767388127818485,0.00012413062334922247,0.022582049064945226,1.0005237466624437,1.0000079806240179,1.0009960006511855
0.039810717055349734,2.4722222222222223,True,15.752547927367221,0.5081467073344265,0.543191307840249,0.8766863370938704,0.00012450439356674338,0.02258297502222103,1.0004907683823794,1.0000087145777403,1.0009961953615214
0.039810717055349734,2.5777777777777775,True,15.752496229185141,0.5081450396511336,0.5431895251443152,0.8766346389117903,0.0001248862941009222,0.02258394334156079,1.000460506989463,1.0000094813626552,1.0009963587750474
0.039810717055349734,2.683333333333333,True,15.752445508851036,0.5081434035113237,0.5431877761672771,0.8765839185776851,0.0001252760345726977,0.022584947205192746,1.000432710129878,1.000010281026256,1.0009966125179668
0.039810717055349734,2.7888888888888888,True,15.752395952271378,0.5081418049119799,0.5431860673197026,0.8765343619980275,0.00012567335400244712,0.022585980643782356,1.0004071479294854,1.0000111136115575,1.0009968451657927
0.039810717055349734,2.8944444444444444,True,15.752347730557434,0.5081402493728204,0.5431844045019805,0.8764861402840829,0.00012607801774107777,0.022587038451345322,1.0003836119151532,1.000011979157063,1.0009971079665378
0.039810717055349734,3.0,True,15.752300999861177,0.5081387419310057,0.5431827930986612,0.8764394095878263,0.00012648981470914623,0.022588116102480144,1.0003619136190691,1.0000128776967485,1.0009973706900863
0.06309573444801933,0.15,True,15.753427571576958,0.5081750829540954,0.5432216403992055,0.8775659813036079,0.00011919731141798576,0.022585368353651703,1.003037252971906,1.0000000459929752,1.000069201060808
0.06309573444801933,0.25555555555555554,True,15.753413310317875,0.5081746229134798,0.5432211486316508,0.877551720044524,0.00011927521439991004,0.022584480012817237,1.003038086206963,1.0000001459195487,1.0001926591454582
0.06309573444801933,0.3611111111111111,True,15.753391829570178,0.5081739299861348,0.5432204079162131,0.8775302392968278,0.00011939266666178595,0.022583232284377055,1.0029616799978653,1.0000002914138753,1.0003616276030145
