Delta,Sigma_env,S_env,max_delta_mu_pct,max_delta_slip_pct,max_delta_Sigma_lens_pct
44.04770444,0.008333333333,0.2840135606,0.5670657536,0.8505986304,0.9947767956
50.73135628,0.008333333333,0.2625258526,0.5241630721,0.7862446082,0.9193459782
58.42916318,0.008333333333,0.2421705024,0.4835212734,0.7252819101,0.8479156746
67.29500963,0.008333333333,0.222962345,0.445169977,0.6677549655,0.7805337821
77.50613008,0.008333333333,0.2049032215,0.4091128589,0.6136692884,0.7172028031
89.2666519,0.008333333333,0.1879832862,0.3753302612,0.5629953917,0.6578845031
102.8116761,0.008333333333,0.1721824578,0.3437820891,0.5156731337,0.6025050519
118.4119771,0.008333333333,0.1574719397,0.314410847,0.4716162706,0.5509603887
136.3794158,0.008333333333,0.1438157449,0.2871446829,0.4307170244,0.5031215856
157.0731738,0.008333333333,0.131172173,0.2619003368,0.3928505052,0.4588400278
180.9069336,0.008333333333,0.1194951974,0.2385859113,0.357878867,0.4179522691
208.3571487,0.008333333333,0.1087357354,0.2171034074,0.325655111,0.380284467
239.9725679,0.008333333333,0.09884278208,0.1973509878,0.2960264816,0.3456563342
276.3852054,0.008333333333,0.08976439959,0.1792249525,0.2688374288,0.3138845788
318.3229752,0.008333333333,0.08144856007,0.1626214221,0.2439321331,0.2847858316
366.6242424,0.008333333333,0.07384384719,0.1474377378,0.2211566066,0.2581790752
422.2545828,0.008333333333,0.06690002463,0.133573597,0.2003603955,0.2338876091
486.3260857,0.008333333333,0.06056848303,0.1209319457,0.1813979185,0.2117405889
560.1195848,0.008333333333,0.05480257837,0.1094196536,0.1641294804,0.1915741887
645.1102636,0.008333333333,0.04955787549,0.09894800078,0.1484220012,0.1732324317
742.9971446,0.008333333333,0.04479231011,0.08943300116,0.1341495017,0.156567739
855.7370546,0.008333333333,0.04046628261,0.08079558948,0.1211933842,0.141441241
985.5837428,0.008333333333,0.0365426952,0.07296169574,0.1094425436,0.1277228931
1135.132935,0.008333333333,0.03298694363,0.06586222859,0.09879334288,0.1152914338
1307.374222,0.008333333333,0.02976687288,0.05943298683,0.08914948025,0.1040342191
1505.750829,0.008333333333,0.02685270526,0.05361451586,0.08042177378,0.09384696162
1734.22844,0.008333333333,0.02421694794,0.04835192308,0.07252788462,0.08463339971
1997.374483,0.008333333333,0.02183428607,0.04359466451,0.06539199676,0.0763049166
2300.449429,0.008333333333,0.01968146634,0.03929631219,0.05894446828,0.06878012783
2649.511958,0.008333333333,0.01773717499,0.0354143108,0.0531214662,0.0619844502
3051.54007,0.008333333333,0.01598191371,0.03190972968,0.04786459451,0.05584966366
3514.570589,0.008333333333,0.01439787567,0.02874701546,0.04312052319,0.05031347499
4047.859815,0.008333333333,0.01296882395,0.02589374927,0.0388406239,0.04531908986
4662.06857,0.008333333333,0.0116799736,0.02332041125,0.03498061687,0.04081479849
5369.475314,0.008333333333,0.01051787855,0.02100015476,0.03150023213,0.03675357837
6184.2216,0.008333333333,0.009470323958,0.01890859148,0.02836288722,0.03309271661
7122.594772,0.008333333333,0.008526224616,0.01702358851,0.02553538277,0.02979345342
8203.35356,0.008333333333,0.00767552949,0.01532507781,0.02298761672,0.0268206476
9448.103085,0.008333333333,0.006909132612,0.01379487826,0.02069231739,0.02414246419
10881.72675,0.008333333333,0.006218790195,0.01241653019,0.01862479528,0.02173008411
12532.8837,0.008333333333,0.005597043872,0.01117514211,0.01676271317,0.01955743533
14434.58169,0.008333333333,0.005037149813,0.0100572492,0.0150858738,0.01760094471
16624.837,0.008333333333,0.004533013488,0.00905068302,0.01357602453,0.01583930965
19147.43435,0.008333333333,0.004079129758,0.008144451926,0.01221667789,0.01425328836
22052.80222,0.008333333333,0.003670527993,0.007328631487,0.01099294723,0.01282550792
25399.02092,0.008333333333,0.003302721897,0.006594264295,0.009891396443,0.01154028865
29252.98369,0.008333333333,0.002971663709,0.00593326853,0.008899902795,0.01038348395
33691.73392,0.008333333333,0.002673702468,0.005338354626,0.00800753194,0.009342334332
38804.00532,0.008333333333,0.002405546032,0.004802949446,0.007204424169,0.008405334542
44691.99574,0.008333333333,0.002164226557,0.004321127348,0.006481691022,0.007562112901
51473.4102,0.008333333333,0.00194706916,0.003887547617,0.005831321426,0.006803321678
59283.81388,0.008333333333,0.001751663482,0.003497397697,0.005246096546,0.006120537708
68279.34219,0.008333333333,0.001575837931,0.003146341753,0.00471951263,0.005506172314
78639.82197,0.008333333333,0.001417636349,0.002830474092,0.004245711138,0.004953389748
90572.36643,0.008333333333,0.001275296902,0.002546277007,0.00381941551,0.004456033388
104315.5154,0.008333333333,0.001147232984,0.002290582658,0.003435873987,0.004008559002
120144.004,0.008333333333,0.001032015962,0.002060538617,0.003090807926,0.003605974424
138374.2547,0.008333333333,0.0009283595881,0.001853576739,0.002780365109,0.003243785062
159370.7028,0.008333333333,0.0008351059159,0.001667385052,0.002501077579,0.002917944693
183553.082,0.008333333333,0.0007512125969,0.001499882388,0.002249823582,0.002624811051
211404.8148,0.008333333333,0.000675741413,0.001349195485,0.002023793228,0.002361105751
243482.6768,0.008333333333,0.0006078479333,0.001213638341,0.001820457511,0.002123878143
280427.9265,0.008333333333,0.0005467721874,0.001091693586,0.00163754038,0.001910472715
322979.1253,0.008333333333,0.0004918302566,0.0009819956997,0.00147299355,0.001718499707
371986.9012,0.008333333333,0.0004424066949,0.0008833158717,0.001324973808,0.001545808627
428430.9536,0.008333333333,0.000397947699,0.0007945483709,0.001191822556,0.001390464384
493439.6384,0.008333333333,0.0003579549556,0.0007146982568,0.001072047385,0.00125072578
568312.5243,0.008333333333,0.0003219800974,0.000642870313,0.0009643054695,0.001125026147
654546.3724,0.008333333333,0.0002896197112,0.0005782590785,0.0008673886178,0.001011955895
753865.0571,0.008333333333,0.0002605108416,0.0005201398708,0.0007802098062,0.000910246803
868254.028,0.008333333333,0.0002343269421,0.0004678607027,0.000701791054,0.0008187578714
1000000,0.008333333333,0.0002107742306,0.000420835004,0.000631252506,0.0007364625853
0.05,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.05758683333,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.06632486747,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.07638878177,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.08797976089,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.1013295165,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.1167049196,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.1344133351,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.1548087665,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.1782989327,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.2053534184,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.2365130616,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.2724007652,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.3137339493,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.361338893,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.4161672521,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.4793150838,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.5520447568,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.6358101881,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.7322859066,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.8434005291,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
0.9713753141,0.01666666667,0.9997222994,1.996060604,2.994090905,3.522987991
1.118768566,0.01666666667,0.9702851232,1.937285894,2.905928841,3.41839839
1.288526779,0.01666666667,0.9439935543,1.884791752,2.827187628,3.325028865
1.484043538,0.01666666667,0.919688283,1.836263481,2.754395221,3.238750068
1.709227357,0.01666666667,0.8958938639,1.788755185,2.683132778,3.154318912
1.968579819,0.01666666667,0.8720456645,1.741139511,2.611709266,3.069730895
2.267285559,0.01666666667,0.8478597988,1.692849647,2.539274471,2.983979932
2.611315912,0.01666666667,0.8231792664,1.643572124,2.465358186,2.896511187
3.007548284,0.01666666667,0.797918747,1.593136591,2.389704886,2.807024665
3.463903635,0.01666666667,0.7720404208,1.541467535,2.312201302,2.715389102
3.989504826,0.01666666667,0.7455418646,1.488560118,2.232840178,2.621598791
4.59485899,0.01666666667,0.7184492465,1.434466589,2.151699883,2.525749239
5.292067577,0.01666666667,0.6908129651,1.379287573,2.06893136,2.428021509
