Delta,q_tidal,Sigma_env,S_env,max_R_LG_minus1_pct,max_Sigma_lens_minus1_pct
8.755949401623488,0.0,0.0,0.5892279843196613,0.8838419764794393,2.0727136336438523
9.618140575766411,0.0,0.0,0.5699673571651761,0.8549510357477133,2.004631633725018
10.565231009449612,0.0,0.0,0.5507048345428041,0.826057251814157,1.9365651953433538
11.605580663302064,0.0,0.0,0.5314794900740846,0.7972192351110794,1.8686523287102519
12.74837269643643,0.0,0.0,0.5123309821540902,0.7684964732310897,1.801032928597479
14.003694526130205,0.0,0.0,0.49329911405295185,0.7399486710793838,1.7338472196629873
15.382626869387508,0.0,0.0,0.47442340011931333,0.7116351001789277,1.6672342272949114
16.897341552350454,0.0,0.0,0.45574264518930774,0.683613967783921,1.6013302989217992
18.561208950923355,0.0,0.0,0.4372945442658375,0.6559418163987173,1.5362677004836733
20.388916010987167,0.0,0.0,0.4191153091704731,0.6286729637556723,1.472173311368019
22.396595889968086,0.0,0.0,0.4012393282250105,0.60185899233748,1.4091674387429087
24.601970364105178,0.0,0.0,0.38369886414073856,0.5755482962110736,1.3473627690427925
27.024506258445122,0.0,0.0,0.3665237942363259,0.5497856913544563,1.2868634705793136
29.685587280370783,0.0,0.0,0.34974139592958686,0.5246120938943492,1.2277644570742874
32.608702773436505,0.0,0.0,0.3333761792148185,0.5000642688221981,1.1701508175578246
35.81965505763932,0.0,0.0,0.3174497666042985,0.4761746499064195,1.114097413744486
39.346787186316796,0.0,0.0,0.30198081983315406,0.45297122974970416,1.059668641882383
43.22123313008071,0.0,0.0,0.2869850115467943,0.4304775173201658,1.0069183523193193
47.47719259615756,0.0,0.0,0.27247503924572186,0.4087125588685585,0.9558899167703139
52.15223290896492,0.0,0.0,0.2584606779796702,0.38769101696948227,0.9066164305906232
57.287620616620984,0.0,0.0,0.24494886767692797,0.36742330151537017,0.8591210353024792
62.92868575047621,0.0,0.0,0.23194383057049858,0.34791574585572715,0.8134173452128746
69.12522195298261,0.0,0.0,0.21944721393640934,0.3291708209045945,0.7695099611685352
75.93192600582722,0.0,0.0,0.20745825327936268,0.31118737991902556,0.7273950542833196
83.40888063804097,0.0,0.0,0.1959739511694797,0.29396092675420205,0.6870610027792434
91.62208487582762,0.0,0.0,0.18498926712944044,0.2774839006941442,0.6484890658216003
100.64403661550605,0.0,0.0,0.17449731426990983,0.26174597140484923,0.6116540793252634
110.5543725619332,0.0,0.0,0.16448955874801144,0.24673433812200252,0.5765251600661436
121.44057118114107,0.0,0.0,0.15495601855468724,0.23243402783201705,0.5430664059719481
133.39872487214362,0.0,0.0,0.14588545859965985,0.21882818789947675,0.5112375821096915
146.53438817387055,0.0,0.0,0.13726557953745575,0.2058983693061714,0.4809947835608508
160.96350949434313,0.0,0.0,0.12908319824758518,0.1936247973713663,0.45229106802862074
176.81345458646086,0.0,0.0,0.12132441833270109,0.18198662749904082,0.42507705259893225
194.22413080461047,0.0,0.0,0.11397478941977414,0.17096218412965106,0.3993014705478748
213.349222065904,0.0,0.0,0.10701945443343695,0.1605291816501459,0.3749116854258272
234.35754541703878,0.0,0.0,0.10044328435285403,0.15066492652927208,0.3518541608360959
257.434541181188,0.0,0.0,0.09423100026131857,0.14134650039196947,0.3300748853569013
282.78390983843485,0.0,0.0,0.08836728275084374,0.13255092412625774,0.3095197529277449
310.6294100884846,0.0,0.0,0.08283686895345443,0.12425530343017428,0.29013489974281104
341.21683396713973,0.0,0.0,0.07762463763907401,0.11643695645860411,0.2718669992678002
374.8161764508813,0.0,0.0,0.0727156829500644,0.10907352442509012,0.2546635174416112
411.7240187006356,0.0,0.0,0.06809537743839404,0.10214306615758499,0.23847293044723106
452.26614598160467,0.0,0.0,0.06374942513713228,0.09562413770569272,0.22324490765610605
496.800423367524,0.0,0.0,0.05966390543764296,0.08949585815645912,0.20893046248007252
545.7199546131621,0.0,0.0,0.055825308561517455,0.08373796284227121,0.19548207391757444
599.4565520784131,0.0,0.0,0.05222056341578447,0.07833084512367204,0.18285378157254506
658.484548332974,0.0,0.0,0.0488370586048075,0.0732555879072069,0.17100125686559942
723.3249830866199,0.0,0.0,0.04566265734572804,0.06849398601858799,0.15988185305830793
794.550202403069,0.0,0.0,0.04268570699916528,0.06402856049874411,0.14945463658453395
872.788910794689,0.0,0.0,0.03989504388559273,0.059842565828385534,0.13968040203535814
958.7317207928223,0.0,0.0,0.03727999401247503,0.05591999101870923,0.13052167298226447
1053.1372489797673,0.0,0.0,0.03483037028959941,0.05224555543439602,0.12194269065441965
1156.8388122920398,0.0,0.0,0.03253646676151245,0.048804700142265775,0.11390939231537
1270.7517837031405,0.0,0.0,0.030389050337711342,0.045583575506564306,0.10638938101339424
1395.881672214383,0.0,0.0,0.028379350454131064,0.04256902568119407,0.09935188821543761
1533.3329984758143,0.0,0.0,0.026499047054188145,0.03974857058127985,0.09276773067450339
1684.31904438225,0.0,0.0,0.024740257234672797,0.03711038585200699,0.08660926273118541
1850.1725627040848,0.0,0.0,0.023095520861453996,0.03464328129217893,0.08085032510758428
