instance_id,family,n_vars,n_clauses,alpha,sat_glucose,sat_minisat,timeout_glucose,timeout_minisat,conflicts_glucose,decisions_glucose,propagations_glucose,conflicts_minisat,decisions_minisat,propagations_minisat,cdcl_hardness,solve_time_s,degree_cv,max_degree_norm,literal_imbalance,mean_var_graph_degree,clustering_mean,component_frac,largest_component_frac,expansion_defect,backdoor_density,propagation_depth_mean,contradiction_rate_mean,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_struct_scalar,density_peak,frust_mean,frust_std,frust_q75,frust_q90,frust_q95,frust_q99,frust_max,frust_tail95_mean,frust_tail_mass,frust_gini,hotspot_fraction,hotspot_cluster_frac,hotspot_edge_density,R_tail,R_var,R_cluster,R_sat,F_mean,F_tail,F_cluster,F_scale,F_struct_multi
346,graph_coloring,48,152,3.1666666666666665,1,1,0,0,0,29,49,0,29,49,1.4793292270870801,9.81249613687396e-05,0.15617376186575138,1.3170731705389649,0.7001322750283978,5.833333333333333,0.2545634920399022,0.020833333333333332,1.0,0.05374227318361258,0.4375,0.06293402777777778,0.0,6.368484870405799,0.7121817249993506,0.5387042761942072,0.41050535473103933,0.979591836734694,0.7216536322103091,0.6267239739748954,2.3362453325624544,0.1437250648567933,0.5845043815283973,0.06461689748027176,0.6165962542681201,0.6643742740078038,0.7205584590568294,0.7205584590568294,0.7205584590568294,0.7205584590568294,0.10273068970942911,0.06122998971666427,0.16666666666666666,0.16666666666666666,0.39285714284311224,0.581206639469941,0.8882202467954929,0.6412213740515704,0.581206639469941,0.5845043815283973,0.8232891487662585,0.5595238095097789,6.485161171367189,3.588607632646232
347,graph_coloring,48,176,3.6666666666666665,1,1,0,0,7,31,74,8,38,154,2.5718485799218085,0.00012354191858321428,0.2200868176908102,1.5319148934214577,0.7336640210676403,6.833333333333333,0.29509379507546835,0.020833333333333332,1.0,0.05774401330934675,0.4375,0.0685763888888889,0.0,6.78348298886235,0.6988067868454304,0.51183599267728,0.7058264424786354,0.979591836734694,0.7049814635893736,0.7049814635893736,1.7467209738392042,0.5698155267038086,0.5978545123108052,0.09836906261445755,0.6366135394535315,0.7178110403922194,0.8226712898656561,0.8348171231989895,0.8455879565323228,0.8284004565323227,0.11546851274645854,0.0899606490719171,0.10416666666666667,0.10416666666666667,0.69999999993,0.546926137776493,0.8415172911740855,0.5542725173425215,0.546926137776493,0.5978545123108052,0.9381398026121146,0.8041666665966666,6.909803391060586,4.067611829284733
348,graph_coloring,36,141,3.9166666666666665,0,0,0,0,7,8,14,8,10,130,2.31451366385932,0.00010308402124792337,0.17196224024784867,1.22448979576843,0.7472883596949937,7.166666666666667,0.2495370370247064,0.027777777777777776,1.0,0.0718791881750378,0.4444444444444444,0.10127314814814814,0.0,6.608565572407229,0.6983437553384366,0.5210367004860028,0.7625333338828028,0.972972972972973,0.7074234445282971,0.7074234445282971,1.655612491516949,0.8322230966367534,0.6003913138617695,0.0887340303293445,0.6667871973611872,0.7195950007113524,0.7206366673779901,0.7237616673779034,0.7237616673779034,0.7237616673779034,0.06697129120757365,0.08401167303681663,0.16666666666666666,0.16666666666666666,0.46666666663555556,0.5801266027229554,0.8526997772233786,0.6122448979708455,0.5801266027229554,0.6003913138617695,0.7876079585855638,0.6333333333022222,6.781717908730415,3.716762082932159
349,graph_coloring,36,120,3.3333333333333335,1,1,0,0,1,8,37,1,7,56,1.1678273576895826,8.537503890693188e-05,0.13041013272069524,1.1428571426938776,0.7087301586278733,6.0,0.18809523808075204,0.027777777777777776,1.0,0.06127101792429879,0.4166666666666667,0.08449074074074074,0.0,6.23480605718192,0.71242317412527,0.5437323105279477,0.4802589763561276,0.9436788495976449,0.7150160658815148,0.6473001726499721,2.1747257256076242,0.24935220877729639,0.581225749476929,0.06231689238570253,0.6327380951498158,0.6468253967373725,0.6521825395942603,0.657539682451148,0.657539682451148,0.657539682451148,0.06284990365538046,0.0577936324443459,0.1111111111111111,0.1111111111111111,0.49999999991666666,0.6033038065919563,0.8927690418333739,0.6206896552045185,0.6033038065919563,0.581225749476929,0.7150324432496408,0.6111111110277778,6.38056781584696,3.5025112577160877
350,graph_coloring,36,120,3.3333333333333335,0,0,0,0,7,12,20,7,12,96,2.280339484046726,9.033398237079382e-05,0.2542161488215718,1.428571428367347,0.6949074073043815,6.0,0.26858465605859305,0.027777777777777776,1.0,0.07486998102641662,0.4166666666666667,0.08449074074074074,0.0,6.814315180349008,0.6952020843272516,0.5130511079490435,0.5171764300117204,0.972972972972973,0.7027337697990661,0.6508828057282615,2.1471283666259797,0.24935220877729639,0.590534611908907,0.12185737005575308,0.6805555554647054,0.7289682538724978,0.7864880951347133,0.8052380951347133,0.8052380951347133,0.8052380951347133,0.0757541536523903,0.11598392598103273,0.1388888888888889,0.1388888888888889,0.59999999994,0.5539435505460992,0.8078580050622922,0.5750798722243159,0.5539435505460992,0.590534611908907,0.8622422487871035,0.7388888888288889,6.973675902116165,3.9350847250539407
351,graph_coloring,48,220,4.583333333333333,1,1,0,0,2,16,53,2,16,74,1.6553668443225003,0.00013950001448392868,0.1357587564344355,1.241379310216409,0.7889430013602302,8.666666666666666,0.2618746993660877,0.020833333333333332,1.0,0.050635566181240876,0.4375,0.08897569444444443,0.0,6.546385239520067,0.7022843729115311,0.5195610155964141,0.7548434783278719,0.979591836734694,0.7096838240075125,0.7096838240075125,1.6529877633140007,0.8322230966367538,0.6059673745788308,0.06411589744352628,0.6441808083536038,0.6812336226347463,0.7096399002617026,0.7096399002617026,0.7096399002617026,0.7096399002617026,0.09759049881886936,0.059862181352292904,0.1875,0.1875,0.4444444444320988,0.5849184964897727,0.889697066931551,0.6127659574514441,0.5849184964897727,0.6059673745788308,0.807230399080572,0.6319444444320987,6.685996500145753,3.7166413431279395
352,graph_coloring,48,148,3.0833333333333335,1,1,0,0,0,24,49,0,24,49,1.358409157630355,9.808293543756008e-05,0.19685019682076774,1.499999999775,0.6894841268785972,5.666666666666667,0.2968915343605496,0.020833333333333332,1.0,0.06435188261229075,0.4166666666666667,0.05902777777777777,0.0,6.547778837114168,0.7074505031493415,0.5301287197270844,0.3811028143917276,0.979591836734694,0.7162107742146767,0.6117037972740894,2.457535516488823,0.10542342367197786,0.5883333332449326,0.08042800793588024,0.6081144957096428,0.6664758402402245,0.7896568626329916,0.8084068626329917,0.8084068626329917,0.7990318626329916,0.11317731766639613,0.07133397941607074,0.10416666666666667,0.10416666666666667,0.69999999993,0.5558545241863808,0.8682349400149318,0.5542725173425215,0.5542725173425215,0.5883333332449326,0.9028341802993878,0.8041666665966666,6.671158497504237,3.9631238045170463
353,graph_coloring,48,208,4.333333333333333,1,1,0,0,7,22,70,7,22,142,2.421256622711544,0.00013529090210795403,0.09791208739176423,1.199999999869091,0.7797558921702482,8.166666666666666,0.2853174603073616,0.020833333333333332,1.0,0.05551667940475413,0.4583333333333333,0.08550347222222221,0.0,6.216404475414465,0.7128038542341344,0.5325755196790762,0.7920310883430249,0.979591836734694,0.7191157468545628,0.7191157468545628,1.5520864324635562,0.9885872051667917,0.607299144657404,0.04743960525515126,0.6401851421723305,0.6620601421722437,0.6894186764914282,0.7004603431580949,0.7102520098247616,0.6946270098247614,0.09531642627742004,0.04414546058868618,0.14583333333333334,0.14583333333333334,0.5714285714013605,0.5901003549467846,0.916099011694486,0.5823223570282914,0.5823223570282914,0.607299144657404,0.7847351027688483,0.7172619047346939,6.357424627041442,3.6986523089213064
354,graph_coloring,42,131,3.119047619047619,1,1,0,0,2,12,84,2,12,84,1.6174060820832772,9.90839907899499e-05,0.20508654631784776,1.3695652171828923,0.6835600905965874,5.571428571428571,0.2023809523598008,0.023809523809523808,1.0,0.05063529704235492,0.40476190476190477,0.06547619047619048,0.0,6.5712773873720565,0.7056200399818556,0.5294796710271562,0.39340697971785066,0.9602194787184951,0.7105536960631879,0.6129262089338656,2.447553627653989,0.12073736059547696,0.5745521541069656,0.09451317416313909,0.6730012739898226,0.7357291499704776,0.745133911875584,0.7558481975894871,0.7558481975894871,0.7504910547325355,0.1244018285060456,0.09051996734650496,0.11904761904761904,0.07142857142857142,0.39999999996,0.5712682720065622,0.8438582559185429,0.6796116505039117,0.5712682720065622,0.5745521541069656,0.8695357403816296,0.4714285713885714,6.687388874890602,3.5873636845998176
355,graph_coloring,42,122,2.9047619047619047,1,1,0,0,0,10,43,0,10,43,0.8878912573524571,8.891697507351637e-05,0.27418200280540284,1.46511627883126,0.6452947844725541,5.142857142857143,0.245578231199033,0.047619047619047616,0.9285714285714286,0.05481740346605357,0.40476190476190477,0.059523809523809514,0.0,6.7662302481675045,0.7008655663417227,0.5209753025552954,0.29637529849759975,0.9385474860335196,0.6997926390693479,0.5645306533178908,2.8588029662032906,0.050227996980318476,0.5726984125945195,0.12185875845438883,0.6431699888252245,0.7827888518546674,0.8008840899499055,0.8018364709022865,0.8018364709022865,0.8018364709022864,0.10000732038705247,0.11939231738385457,0.14285714285714285,0.14285714285714285,0.59999999996,0.5549893212557967,0.8056387780567913,0.5737704918164472,0.5549893212557967,0.5726984125945195,0.900891410336958,0.7428571428171429,6.880571461157367,3.9365898310379617
