dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold,null_id
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.10839435744614753,-0.06375590529026312,-0.17649842965549345,0.142464470303181,0.48705096073517135,0.14525103437225298,11
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.054645616849783335,0.14037304761746622,-0.23297230739906882,0.14584365946781597,0.487218045112782,0.14525103437225298,12
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.0668103654637744,0.07480106909219535,-0.1659571391705057,0.14182480161342145,0.5478696741854637,0.14525103437225298,13
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.050564457528175,-0.049032177006356606,-0.13640356367648776,0.14001584484454724,0.4706766917293233,0.14525103437225298,14
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0024757189106836795,0.03084934701427842,-0.10217966865714234,0.13789137096762627,0.5358395989974938,0.14525103437225298,15
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.033641902739462236,-0.011296589452088127,-0.23167327964463547,0.14576681066600716,0.5355054302422724,0.14525103437225298,16
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0628292136959281,-0.09195445841481588,-0.20520745940327445,0.14419220968335014,0.4426065162907269,0.14525103437225298,17
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.10206834771562533,0.10272929852355753,-0.12198888959371534,0.13912499763082434,0.5299916457811195,0.14525103437225298,18
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.10142361816690411,0.13399284129757288,-0.0982031425573755,0.13764239880789597,0.516123642439432,0.14525103437225298,19
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.07439604480763973,0.050085298916638515,-0.2092578073621536,0.1444343002683769,0.5341687552213867,0.14525103437225298,20
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.056030827860402234,-0.057686920732116925,-0.1998254161164983,0.14386989295693944,0.5034252297410192,0.14525103437225298,21
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.023068763704492574,0.025953274046480415,-0.11853146833250161,0.1389104746245916,0.4860484544695072,0.14525103437225298,22
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.022334665703473346,0.024691250799365,-0.16005751442234262,0.14146553702793527,0.4870509607351713,0.14525103437225298,23
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.052436939385847224,-0.035504713963524455,-0.19536331884754166,0.14360212090578975,0.46015037593984964,0.14525103437225298,24
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.10791347005997261,0.019040583510676168,-0.15925725346171227,0.14141673389699586,0.5684210526315789,0.14525103437225298,25
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.20272063102638604,-0.17063579534879433,-0.19382349571069213,0.1435095996108186,0.3909774436090226,0.14525103437225298,26
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.12678510823689876,-0.06358209972279324,-0.14658768646305553,0.14064183640411473,0.3971595655806182,0.14525103437225298,27
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.0241901249988031,0.04072949854323599,-0.26440756612324656,0.1476911372788862,0.5104427736006683,0.14525103437225298,28
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.0669720798060279,-0.027754576856965377,-0.3028883196401011,0.14992169618328557,0.49055973266499586,0.14525103437225298,29
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.018808867478288256,-0.017982817962422543,-0.20095929862829243,0.14393785827512798,0.48872180451127817,0.14525103437225298,30
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.07565784224127567,-0.18290498653715803,-0.42640064251322873,0.15686702300264033,0.4041771094402673,0.14525103437225298,31
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.10656230417403868,-0.10529813169096713,-0.17167340243987295,0.14217203422337532,0.47268170426065165,0.14525103437225298,32
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.06148443127087259,-0.009060669893725837,-0.24286420675882892,0.14642752853566396,0.4472848788638263,0.14525103437225298,33
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.02711162226083034,-0.030289570924677333,-0.1165108316954615,0.13878494642846562,0.5055973266499583,0.14525103437225298,34
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.018881213368243773,0.0091435874863873,-0.2062355793301156,0.14425369921378198,0.5266499582289056,0.14525103437225298,35
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.05390513538788568,0.035809210534101535,-0.11759219620295647,0.13885213825068055,0.4771929824561404,0.14525103437225298,36
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,-0.3050453810872949,-0.21464346253075556,-0.21368290473743823,0.14469832676508362,0.35989974937343366,0.14525103437225298,37
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.12472325037316649,0.08397730391029978,-0.2746852403803117,0.14829017248165632,0.5674185463659147,0.14525103437225298,38
wine,MAAT_v14_field_shuffled_null,hybrid_hardness,0.019294010505048788,-0.11385696267595558,-0.17060529158156212,0.14210721662263856,0.4618212197159565,0.14525103437225298,39
