dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold,null_id
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.011099359635029471,0.006033270944782667,-0.0351810147950653,0.1812781485325126,0.5349978659837815,0.0,18
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.08129982960172424,0.044506498256265126,-0.02438641510088657,0.18033051082124632,0.5292852687218885,0.0,19
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.013148671186723084,-0.03712500508013926,-0.051216910455225584,0.18267683433818568,0.5236711645162349,0.0,20
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.05450170866154319,-0.05607634738799237,-0.04725544100675361,0.18233230422367439,0.4633934140976394,0.0,21
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.03961488240413207,0.0338507182501104,-0.03101697833514372,0.18091318364312975,0.510325355395778,0.0,22
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.02379757175902681,-0.04146346845936286,-0.05104898169083949,0.18266224271585124,0.44458124035588814,0.0,23
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.023258698200556222,0.028750174622221895,-0.03592821033366955,0.18134356017968206,0.554663646212942,0.0,24
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.04973756036671327,0.07672400315850023,-0.012236686414666575,0.1792579165108196,0.5740339472733839,0.0,25
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.003835156434797081,0.009593685021146232,-0.02862694646498043,0.1807033717982703,0.5091598542302768,0.0,26
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.0015056050465102827,-0.04919451345664649,-0.05003944434089469,0.18257449768148812,0.5365573393742408,0.0,27
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.0596716823347518,0.02863803317676109,-0.024656316689749325,0.18035426566861118,0.5243277848911652,0.0,28
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.054013581043556386,0.019427716335103457,-0.035919318349794116,0.1813427818885528,0.47824945008043596,0.0,29
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.04004096351505679,0.019514662266305147,-0.04070752437596292,0.1817613982471935,0.4895761515479825,0.0,30
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.00091882845738694,0.02042565329327733,-0.02681225945862442,0.18054390445324986,0.45751666174201383,0.0,31
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.02263155229183234,-0.01454723550169372,-0.03872659892246655,0.1815883297955331,0.483830723267343,0.0,32
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.018561287214009577,-0.006858813488475631,-0.03195080766302971,0.180995094903237,0.5395942086082932,0.0,33
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.027683829498036546,0.008335041837201941,-0.034599055611365115,0.18122718579602703,0.48967464460422205,0.0,34
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.0764418652824705,0.027341806214798384,-0.03400265993531404,0.18117494396860073,0.5500016415509373,0.0,35
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.09121597016508154,-0.1109785629935748,-0.05825474919759488,0.18328731987333743,0.49481269903805114,0.0,36
