instance_id,theta,phi,target,gamma_z,gamma_x,gamma_m,hx,hz,t,H,B,S,V,R_resp,R_rob,F_maat,basis_z,basis_x,basis_y,offdiag,channel_conflict,damping_pressure,coherence_exposure,x_exposure
20,1.063080192084438,3.0741703554219977,0.5236633612057885,1.4937293136163152,2.641910546881445,0.4700247712406245,0.06316576292233028,0.9354604057031531,1.1795498066591432,0.45466772806154593,0.5488337064541773,0.5336586056218288,0.7074224358586289,0.5609677720020776,0.5540121800440597,2.9528430250732765,0.4861827445524214,0.8718717386742012,0.058872830751548186,0.8738571616113672,0.7223691443174507,0.10205362500810528,1.7160405706958133,1.2844513205448096
21,1.7496292067379617,4.915897907005141,0.43128122958719056,0.021002135273453737,1.013067014880033,1.8556333184564353,0.007506391117380329,0.8431767792739288,0.96454430041702,0.4600148678880877,0.5058032303318973,0.5040190550857195,0.07101719932511792,0.2547058986669687,0.2547058986669687,6.155724131739021,0.17788118804549624,0.19888387290307002,0.9637445138824905,0.9840519716658885,0.04062036909391631,0.6421537644837314,1.8467068183410067,0.18020556417656466
22,2.3816133089229905,1.7780353358426373,0.4200045393600621,1.5705592525108463,2.609255569838867,1.2743024010380495,1.0904046166115746,1.1649699658475483,0.8044605649600659,0.3623671729263268,0.6337729093312904,0.5920990983503002,0.27653942656229963,0.3989757737752845,0.3989757737752845,4.199499575259627,0.7248502404882764,0.1417485514838841,0.6741657637527347,0.6889064732342755,0.7514970491578233,0.23364044974565057,1.9598436085857989,1.8913195272930774
23,2.168422906646671,2.579523758951683,0.653728858216292,0.2793125222233994,2.132615959660842,0.5139301728061556,0.23091756221150678,0.35052266074498367,0.4920065984123886,0.7644317262964586,0.5689216456293875,0.5474432306736834,0.5635660828575021,0.6258140891360024,0.60522766957983,2.5107528836023527,0.5626820167070893,0.6994932964677729,0.44056563219467204,0.8266734228668796,0.23160929050896217,0.17565105955549382,0.6557526538642305,1.199984649043687
24,0.9915267114592117,2.8350710088577755,0.6058700027560061,1.44421969659258,0.9100752342702897,1.3235807399751156,0.3191273784644787,0.4489380897897788,1.1699392910820636,0.5621587245479285,0.5644952778771221,0.5444065050129968,0.6093838840293266,0.5782780985600812,0.5696175804471493,2.8139502652742374,0.5474128511795221,0.7978556117699226,0.25251850057124275,0.8368626950483014,0.7731191384223494,0.35987642281371207,2.316268932701907,0.4981868787797708
25,0.6114574147052692,5.310654500303335,0.8084280583391704,0.29796809184726913,0.12535864475859781,1.962845285152988,1.483587306779894,0.863889626990653,1.0491296359229165,0.36310580022815414,0.6951932220149105,0.635299225520723,0.7927811815409113,0.5849211826107147,0.5849211826107147,2.5987718466782543,0.8188122421908672,0.32331718687614547,0.47435483417886687,0.5740614183503057,0.5922547947899415,0.8225916938315897,1.297845733826112,0.10264519299279588
26,1.613443582454711,3.9278554789441085,0.4940802104258009,1.931696239587382,0.6851065402648538,0.7187148971405437,0.14407717436699574,1.389712441053409,1.2430143501423376,0.33752650745015256,0.5003281103745623,0.5002274174861611,0.1696710811642605,0.3060014883989178,0.3060014883989178,5.429353684842811,0.042634329112979985,0.7058527234117705,0.707074428071948,0.9990907436169577,0.5236210734259297,0.21547326884152623,2.6480012334841696,0.029209057715106852
27,1.3199347867604083,6.210548900020364,0.5460627795637282,1.803497339622752,0.7477424575951509,0.6765510177550869,0.32332679733890274,1.292049769845128,0.8797073752452372,0.37634115028904186,0.5114878500539491,0.5079496885096098,0.41454703732733295,0.4305235855010604,0.4305235855010604,4.048385544629608,0.24823862417453207,0.9661445862810762,0.0703009521109297,0.9686989137332276,0.5861796750040997,0.209601878354852,2.4024201497977877,0.18561855891030365
28,2.6004084066993114,1.51078398791095,0.5410063593346894,1.8854701826970868,0.7809901746898018,0.12010800396602961,0.8926875603256779,1.10476001064758,0.7443510374892193,0.3950723413834308,0.7292280837197357,0.6600000633447637,0.5885967851986286,0.5535021334801369,0.5535021334801369,2.7814740283210018,0.8570992161140294,0.03089688502504122,0.51422399422087,0.5151513697319613,0.5857879510763653,0.04310247888828838,1.0331763499640476,0.669386066519388
29,1.3734818487309082,4.542452568626284,0.5264250130821008,1.625953436021122,2.9149770301727083,1.0969256325456582,1.1243655476282042,1.4250044143957965,1.1827797795770623,0.2806094452237935,0.5070741895240176,0.5048983791907624,0.18042292759861428,0.29499987952928514,0.29499987952928514,5.566519406903428,0.19603662726121585,0.16583817596800313,0.9664715930453686,0.9805965739140877,0.7161322764689346,0.19456431901316426,2.6700458858189675,0.5714422655389731
30,0.40548691225488503,1.6779194467492966,0.6708863358618502,1.3492066009765407,2.020237311522324,1.99599068685506,0.13675608873927286,0.5190491726276862,0.4398013622930692,0.7333677318167946,0.8033519417500746,0.7171202674397557,0.5887950967473967,0.7026363437454662,0.7026363437454662,1.7441749602397245,0.9189104356582517,0.04217568223738504,0.39220507781793573,0.3944662358660902,0.8008482325358159,0.37200913549389525,1.3195673823603855,1.8564171480640341
31,0.6772871917900444,2.1092558348817185,0.5311509841748157,2.9423694183200104,2.687984648362586,0.48945714069519886,0.7786307512292195,1.3450016135247331,0.6832063170895426,0.3464903836365619,0.6662192244157888,0.6147485654202156,0.5781516909041904,0.5110342981422605,0.5110342981422605,3.171816207301724,0.779275650331863,0.3213710035449595,0.5380057052488921,0.6266813072047484,0.9548190456684258,0.0799791242097549,2.1506615541036247,2.094680984934818
