z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,mu_eta002,C_hat,delta_D_pct,delta_fsigma8_pct
2.462886405803397682e+00,2.887764375765013436e-01,3.631479672467669562e-01,3.609611463736656090e-01,9.725239581996073523e-01,9.835508909871042427e-01,2.864209498988823932e-01,2.879241859304392803e-01,1.013863692166793173e+00,6.931846083396633329e-01,-6.021845281637924208e-01,5.248345248794081819e-01
2.456755947487555325e+00,2.892885743718244251e-01,3.637742437575816612e-01,3.615907118281245225e-01,9.723831009265270220e-01,9.833955488726159322e-01,2.868733489447639062e-01,2.883808108821467875e-01,1.013801086351010516e+00,6.900543175505261528e-01,-6.002436860022007936e-01,5.254799523650193205e-01
2.450636342117711308e+00,2.898016194271819113e-01,3.644015091573065690e-01,3.622212753732050317e-01,9.722415500909230568e-01,9.832394097847307890e-01,2.873261796641614629e-01,2.888378389706416915e-01,1.013738749041303677e+00,6.869374520651803095e-01,-5.983053662822136465e-01,5.261126251172509871e-01
2.444527570480549361e+00,2.903155743533470945e-01,3.650297643873519626e-01,3.628528378880864769e-01,9.720993025687387767e-01,9.830824717740780372e-01,2.877794404753762358e-01,2.892952687213810048e-01,1.013676678813654419e+00,6.838339406827164124e-01,-5.963695872634200423e-01,5.267326406295067542e-01
2.438429613396767337e+00,2.908304407639499822e-01,3.656590103856546814e-01,3.634854002487083457e-01,9.719563552248016158e-01,9.829247328712265031e-01,2.882331297805240666e-01,2.897530986430045807e-01,1.013614874247812159e+00,6.807437123906130427e-01,-5.944363670004640943e-01,5.273400957197039718e-01
2.432342451721015930e+00,2.913462202754822927e-01,3.662892480866427602e-01,3.641189633277333026e-01,9.718127049128134631e-01,9.827661910867278028e-01,2.886872459654479250e-01,2.902113272272480171e-01,1.013553333927221134e+00,6.776666963610573635e-01,-5.925057233446541227e-01,5.279350865339248466e-01
2.426266066341839167e+00,2.918629145073025621e-01,3.669204784211995696e-01,3.647535279945099407e-01,9.716683484753430022e-01,9.826068444111580868e-01,2.891417873996302013e-01,2.906699529488537270e-01,1.013492056438941580e+00,6.746028219470753262e-01,-5.905776739455022017e-01,5.285177085494769944e-01
2.420200438181616232e+00,2.923805250816411405e-01,3.675527023166282325e-01,3.653890951150360888e-01,9.715232827438168295e-01,9.824466908151600064e-01,2.895967524361053869e-01,2.911289742654831758e-01,1.013431040373569125e+00,6.715520186784534884e-01,-5.886522362521782181e-01,5.290880565782061229e-01
2.414145548196498403e+00,2.928990536236054654e-01,3.681859206966154319e-01,3.660256655519208424e-01,9.713775045385125706e-01,9.822857282494854569e-01,2.900521394113718121e-01,2.915883896176283407e-01,1.013370284325148862e+00,6.685142162574417846e-01,-5.867294275151374583e-01,5.296462247698553449e-01
2.408101377376351326e+00,2.934185017611850022e-01,3.688201344811952720e-01,3.666632401643472039e-01,9.712310106685511091e-01,9.821239546450375446e-01,2.905079466453037162e-01,2.920481974285223936e-01,1.013309786891084530e+00,6.654893445542243713e-01,-5.848092647875871020e-01,5.301923066150234787e-01
2.402067906744696391e+00,2.939388711252563513e-01,3.694553445867127528e-01,3.673018198080343910e-01,9.710837979318901469e-01,9.819613679129123307e-01,2.909641724410626518e-01,2.925083961040512159e-01,1.013249546672042811e+00,6.624773336021450021e-01,-5.828917649269302892e-01,5.307263949486290544e-01
2.396045117358648113e+00,2.944601633495885218e-01,3.700915519257874098e-01,3.679414053351996450e-01,9.709358631153172103e-01,9.817979659444410201e-01,2.914208150850096102e-01,2.929689840326637484e-01,1.013189562271853417e+00,6.594781135926699456e-01,-5.809769445963799406e-01,5.312485819527085207e-01
2.390032990308856409e+00,2.949823800708478716e-01,3.707287574072759551e-01,3.685819975945200944e-01,9.707872029944443204e-01,9.816337466112323717e-01,2.918778728466154271e-01,2.934299595852826181e-01,1.013129832297401611e+00,6.564916148700806753e-01,-5.790648202662813659e-01,5.317589591598905763e-01
