family,instance_id,heuristic,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,backtracks,max_depth,search_cost
random_3sat,10,maat_v16_branch,18,76,4.222222222222222,1,1,0,8,15,1,1,7,2.4024304279637616
random_3sat,10,maat_v16_heavy,18,76,4.222222222222222,1,1,0,9,31,2,3,6,2.667228206581955
planted_3sat,11,random,18,76,4.222222222222222,1,1,0,15,60,6,11,6,3.269568939183719
planted_3sat,11,first,18,76,4.222222222222222,1,1,0,29,71,12,21,8,3.817712325956905
planted_3sat,11,degree,18,76,4.222222222222222,1,1,0,4,14,0,0,4,1.8562979903656263
planted_3sat,11,jeroslow_wang,18,76,4.222222222222222,1,1,0,5,24,1,1,4,2.191653532286764
planted_3sat,11,moms,18,76,4.222222222222222,1,1,0,4,21,1,1,3,2.0347056478384444
planted_3sat,11,maat_v16_branch,18,76,4.222222222222222,1,1,0,6,17,1,1,5,2.224623551524334
planted_3sat,11,maat_v16_heavy,18,76,4.222222222222222,1,1,0,5,18,1,1,4,2.122261538862764
random_3sat,12,random,18,76,4.222222222222222,1,0,0,30,126,16,30,6,4.01096295328305
random_3sat,12,first,18,76,4.222222222222222,1,0,0,38,153,20,38,9,4.232656178019613
random_3sat,12,degree,18,76,4.222222222222222,1,0,0,30,118,16,30,6,3.9963641538618973
random_3sat,12,jeroslow_wang,18,76,4.222222222222222,1,0,0,18,98,10,18,6,3.580737295494233
random_3sat,12,moms,18,76,4.222222222222222,1,0,0,14,72,8,14,4,3.3250360206965914
random_3sat,12,maat_v16_branch,18,76,4.222222222222222,1,0,0,20,98,11,20,6,3.654546775033431
random_3sat,12,maat_v16_heavy,18,76,4.222222222222222,1,0,0,24,107,13,24,7,3.807772984054347
planted_3sat,13,random,18,76,4.222222222222222,1,1,0,6,16,1,1,5,2.2137538792874296
planted_3sat,13,first,18,76,4.222222222222222,1,1,0,18,78,8,14,6,3.4781584227982836
planted_3sat,13,degree,18,76,4.222222222222222,1,1,0,3,14,0,0,3,1.6863989535702288
planted_3sat,13,jeroslow_wang,18,76,4.222222222222222,1,1,0,3,14,0,0,3,1.6863989535702288
planted_3sat,13,moms,18,76,4.222222222222222,1,1,0,4,13,0,0,4,1.840549633397487
planted_3sat,13,maat_v16_branch,18,76,4.222222222222222,1,1,0,3,14,0,0,3,1.6863989535702288
planted_3sat,13,maat_v16_heavy,18,76,4.222222222222222,1,1,0,3,14,0,0,3,1.6863989535702288
random_3sat,14,random,18,76,4.222222222222222,1,0,0,58,240,30,58,7,4.6549122778829055
random_3sat,14,first,18,76,4.222222222222222,1,0,0,40,152,21,40,7,4.27039650600246
random_3sat,14,degree,18,76,4.222222222222222,1,0,0,16,91,9,16,4,3.479700443150099
random_3sat,14,jeroslow_wang,18,76,4.222222222222222,1,0,0,16,92,9,16,4,3.4827773686545784
random_3sat,14,moms,18,76,4.222222222222222,1,0,0,12,64,7,12,3,3.188416617383492
random_3sat,14,maat_v16_branch,18,76,4.222222222222222,1,0,0,14,84,8,14,3,3.367295829986474
random_3sat,14,maat_v16_heavy,18,76,4.222222222222222,1,0,0,16,92,9,16,4,3.4827773686545784
planted_3sat,15,random,18,76,4.222222222222222,1,1,0,15,32,3,5,10,3.056356895370426
planted_3sat,15,first,18,76,4.222222222222222,1,1,0,17,32,5,8,9,3.2007118542405295
planted_3sat,15,degree,18,76,4.222222222222222,1,1,0,8,12,1,1,7,2.3749057545736716
planted_3sat,15,jeroslow_wang,18,76,4.222222222222222,1,1,0,11,9,1,1,10,2.598979106047848
planted_3sat,15,moms,18,76,4.222222222222222,1,1,0,6,9,0,0,6,2.066862759472976
planted_3sat,15,maat_v16_branch,18,76,4.222222222222222,1,1,0,5,10,0,0,5,1.9459101490553132
planted_3sat,15,maat_v16_heavy,18,76,4.222222222222222,1,1,0,8,11,1,1,7,2.365559892155434
random_3sat,16,random,18,83,4.611111111111111,1,1,0,7,21,1,1,6,2.365559892155434
random_3sat,16,first,18,83,4.611111111111111,1,1,0,11,15,1,1,10,2.6426223957797546
random_3sat,16,degree,18,83,4.611111111111111,1,1,0,12,31,3,5,7,2.89867056071086
random_3sat,16,jeroslow_wang,18,83,4.611111111111111,1,1,0,6,10,0,0,6,2.0794415416798357
