instance_id,state_family,channel_family,T,gamma_lz,gamma_cz,gamma_zz,gamma_amp,gamma_dep,gamma_heat,J,hx1,hx2,hz1,hz2,initial_concurrence,final_concurrence,concurrence_retention,entanglement_robustness,fidelity_retention,purity_final,purity_loss,mutual_info_initial,mutual_info_final,mutual_info_retention,entropy_final,H_stationarity,B_pop_pair,B_corr_stat,S_ent,V_corr,R_resp_pop,R_rob_pop,F_scalar_pop,R_resp_stat,R_rob_stat,F_scalar_stat,lindblad_norm0,local_drift0,corr_drift0,concurrence_slope0,purity_decay0,coherence_norm0,bell_phi_overlap,bell_psi_overlap,dfs_collective_overlap,dfs_parity_overlap,symmetry_expectation,damping_pressure,local_dephasing_pressure,collective_pressure,pair_dephasing_pressure,depolarizing_pressure,hamiltonian_coupling_pressure,stationarity_gain
1715,haar_entangled,local_amplitude_damping,0.6173127007363038,0.23008726787433334,0.03165775914065012,0.07843012206116345,0.47625542943768445,0.09909037153553465,0.031078118320323585,0.0672307294274224,-0.09570711512211308,-0.08963070103751149,0.15809680042934124,0.08442872264496633,0.7688056931187147,0.07841281495530672,0.10199302067759096,0.1263112826600854,0.5763645488570073,0.4364425814552507,0.5635574185447493,1.3612856378256357,0.20077775152261856,0.14749127291412426,1.4831569824500106,0.5890133430490545,0.20935107995005292,0.3775318519996761,0.7688056931187147,0.34706478805233926,0.3497869727597294,0.3497869727597294,4.464640851035684,0.42575827260031485,0.42575827260031485,3.678451130966826,1.2559579358291237,1.1010156018830919,0.7329621651081489,1.74592934447948,1.9896793651591471,0.7129002804386406,0.19132136386683726,0.8086786361331624,0.8086786361331624,0.8086786361331624,0.4027804574195915,0.517951705305374,0.23008726787433326,0.02560095348489309,0.06342476414017911,0.07618124176976768,0.11891809696374867,0.16818077204962317
1716,bell_psi,thermal_mixed,1.7469460247163129,0.3451845739066781,0.176397129386246,0.0025935643637954265,0.3165499563729935,0.08268712015886058,0.13296090714820008,0.21863370984456232,0.05625472195200298,-0.07120769348941926,0.07664682099433028,0.09155399115740281,0.9999999999999996,0.0,0.0,0.028561968491448146,0.2713306201622703,0.2779378155173204,0.7220621844826796,1.999999990034216,0.015363738717766307,0.007681869397161078,1.911693840546475,0.5267460206373115,1.0,0.2912362652432729,0.9999999999999996,0.4522111199224481,0.6198893384763591,0.6198893384763591,1.9128572120358336,0.4108935443316463,0.4108935443316463,3.5576844559466965,1.6172066412996822,1.1065835369780825,1.4445112138837937,2.579515354029893,2.607893145983531,0.7071067811865475,0.0,0.9999999999999996,0.9999999999999996,0.9999999999999996,-0.7744216833253086,0.3165499563729935,0.34518457390667795,0.1763971293862459,0.0025935643637954252,0.08268712015886054,0.4372674196891245,-0.708763734756727
1717,bell_phi,depolarizing,1.0034830512520485,0.144898191457495,0.10464683053224753,0.06629588795864884,0.02269604300941013,0.34962617503963006,0.04866560036081463,0.1297920553900949,0.020647433824552898,0.01982490681669405,0.0514106527697528,0.036097103270667764,0.9999999937348334,0.0,0.0,0.03404401277689581,0.4009280585806878,0.2881513198131228,0.7118486801868772,1.9999999900342158,0.10457761539057153,0.05228880795583525,1.8948306684289173,0.542175188815763,1.0,0.3855312282411835,0.9999999937348334,0.46229092877657263,0.6304998733616057,0.6304998733616057,1.8449693032302035,0.4588860522985677,0.4588860522985677,3.115813412543412,1.5199601109221166,0.05193911470280904,0.48080954602789516,2.5393845310032193,2.537097796118659,0.7071067811865474,0.9999999999999996,0.0,0.0,0.9999999999999996,0.9999999999999998,0.02269604300941013,0.14489819145749494,0.0,0.06629588795864881,0.3496261728491638,0.2595841099670209,-0.6144687717588164
1718,bell_psi,thermal_mixed,1.3229367644091545,0.12863671172397298,0.058953345007031144,0.11824600709548802,0.38039396732050734,0.10543607927033642,0.9909437109653558,0.1810127555638795,0.10498025934047094,-0.13381604634761515,0.09259346500094902,0.10077872623427901,0.9999999999999998,0.0,0.0,0.031749371721711064,0.250418666413422,0.3149062729213409,0.6850937270786591,1.999999990034216,0.005174888565753655,0.0025874442957697827,1.8160847194796235,0.4474840814367764,0.9999999999999999,0.2219530762943194,0.9999999999999998,0.4725069013551915,0.5957470706626162,0.5957470706626162,2.0717563194910715,0.36070235002858075,0.36070235002858075,4.078808702357595,2.2224894575480363,1.2210994872896976,2.43887406389438,3.5500870950070373,3.6740270611596015,0.7071067811865475,0.0,0.9999999999999997,0.9999999999999997,0.9999999999999997,-0.9893698474021178,0.38039396732050734,0.12863671172397292,0.05895334500703112,0.11824600709548798,0.1054360792703364,0.36202551112775894,-0.7780469237056805
1719,haar_entangled,thermal_mixed,1.2798406064913221,0.07984639173213567,0.11491546196712199,0.10111680650874293,1.0073778646601528,0.006377821526648279,0.2100748125499158,0.2157156163435971,-0.13976416861051927,-0.06355644726652793,-0.0959872000285102,0.15821364185061854,0.43943347945897704,0.0,0.0,0.04532583888745869,0.25284889793880866,0.4101414157552732,0.5898585842447268,0.5800985451864353,0.025012093379356504,0.04311697311931368,1.5382641894787719,0.5022331725937184,0.06981342675536534,0.3297392235962845,0.43943347945897704,0.25684953785766507,0.208053190270535,0.208053190270535,7.102114963696287,0.3490746126181346,0.3490746126181346,5.032147286519445,1.783992651668412,1.692974107479009,0.6421446996234642,2.2389953294084664,2.4717746893798687,0.578550470548347,0.11793666410509727,0.8820633358949027,0.8820633358949027,0.8820633358949027,0.23961511555431658,1.0471909289456107,0.07984639173213567,0.10136271572862345,0.08919142766414119,0.0028026283048234184,0.31050828020710175,0.25992579684091915
1720,partial_psi,thermal_mixed,1.215634348197143,0.3316225936742568,0.09989684930554163,0.07240334639353448,0.814447121578583,0.13427659689854327,0.6767181243198842,0.12249220624569526,0.15114656191539805,-0.0024874509002100974,-0.03334160406294011,-0.10727040397033517,0.9781744836590324,0.0,0.0,0.025405462694347247,0.26342218308658394,0.2538488757860067,0.7461511242139933,1.9372559594917451,0.00039859265597286253,0.00020575115746575715,1.9888191244571392,0.3903751923674202,0.6276043267818828,0.20095952239956652,0.9781744836590324,0.3760887225908318,0.4516681676087429,0.4516681676087429,3.2012972600978213,0.3090013456217471,0.3090013456217471,4.719705804089159,2.810948736480787,0.2754579945173977,2.622178544906056,4.8440765749976356,4.773025225759842,0.6916738105789515,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.6798702236782658,0.814447121578583,0.3316225936742567,0.0998968493055416,0.07240334639353446,0.13134594083872458,0.24231095684233395,-0.42664480438231633
1721,partial_phi,thermal_mixed,1.0505748569148565,0.3184850983390212,0.0609211653800828,0.1104482110326643,0.7537415692561209,0.02505056299076852,0.6852220843807123,0.21991129368617554,0.03401472358215924,0.21584739817254084,0.011385351445984479,-0.16743909509040078,0.9913379663150393,0.0,0.0,0.02554036464622476,0.28389789845441626,0.253490656050272,0.746509343949728,1.9750428691530737,0.003778238071930673,0.001912990411975632,1.9902828960541128,0.40886359734466965,0.7545779412175212,0.23662817424754717,0.9913379663150393,0.37666224132423265,0.48799070027128133,0.48799070027128133,2.8785354867343043,0.3315372480073784,0.3315372480073784,4.42476022044125,2.6024462233614076,0.24970858330785672,1.573506934648745,4.460428569387553,4.444230118333281,0.7009818027246053,0.9999999999999999,0.0,0.0,0.9999999999999999,1.0,0.8527346265111093,0.31848509833902117,0.0,0.11044821103266429,0.024833574170315256,0.4379177083387381,-0.517949766969974
1722,product_z,depolarizing,1.6816742829460647,0.004013842013909547,0.05872375416101974,0.09205535157991279,0.06755150892672314,1.0684736549807374,0.03160856606947841,0.031072546403846005,-0.1887516016959614,-0.03263909645522523,0.0038907308219558964,0.025440044332364894,0.009773462075604117,0.0,0.0,0.02537417680422287,0.2858507640678592,0.2531550073934018,0.7468449926065982,0.0008022134428736735,4.694085190615205e-05,0.0005867606488269006,1.9909056390877102,0.48803309514931553,4.253597235083778e-08,0.2895784367143373,0.009773462075604117,0.2796092826339159,0.0017971558520614092,0.0017971558520614092,29.911936042978617,0.3406086655620497,0.14018575263734442,9.823934644385663,1.8882744590288159,3.051172980407845,1.0293407136732378,1.6324082889300675,3.044316189890428,0.020661528882473437,0.00018944984900476196,0.999810550150995,0.999810550150995,0.999810550150995,-0.007372626954041109,0.0675594673321665,0.0040138420139095455,0.05871262895466093,0.09203791170745587,0.053423682749036874,0.03137623275771644,0.28957839417836495
1723,haar_entangled,thermal_mixed,1.2271761506882257,0.14417526224473998,0.1416372573367828,0.04449848872287941,0.6489339683064876,0.02602249738300788,0.22090710154918877,0.1517481069014097,-0.004274192764442875,-0.008714244816382189,0.09814727171025703,-0.034598792070651106,0.7301744380496423,0.0,0.0,0.038900098949779194,0.4370450114151703,0.3710998732659668,0.6289001267340333,1.26078969271797,0.022569542833231537,0.017901116231825182,1.6780454769723563,0.5731752926510703,0.38968841093700224,0.4101743160777871,0.7301744380496423,0.30766901811234487,0.4096027896221283,0.4096027896221283,3.884741394732135,0.41665816467729494,0.41665816467729494,3.816428385378847,1.340400542519161,0.6060065370839821,0.4045217664451431,1.9731685451490621,2.114469217287085,0.8114524960097684,0.6038718886838482,0.39612811131615155,0.39612811131615155,0.6038718886838482,0.8849922952831284,0.8695721605263358,0.14417526224473995,0.05610649924081951,0.026871386428662113,0.019000962403286067,0.26255069558324357,0.020485905140784855
1724,bell_psi,depolarizing,1.1314013525269846,0.045071828768636385,0.1552058185175,0.09311153275411356,0.0023737133054856363,0.4898089102064131,0.06838058233370004,0.053411436093643516,0.1696448307261295,0.13900961125862202,-0.009915149139009788,0.17331224824596528,0.9999999937348333,0.0,0.0,0.030463504299717354,0.36528859865471786,0.27557649565080716,0.7244235043491929,1.9999999900342158,0.0581170944031415,0.029058547346366356,1.9316930514849329,0.5656373699316094,1.0,0.36065157446692925,0.9999999937348333,0.5029095314028701,0.6576719513691407,0.6576719513691407,1.6761961100434966,0.46813588268256495,0.46813588268256495,3.0359867156781744,1.382250847778385,0.4228102284493284,0.8742523469130141,2.277859262690196,2.279120929772338,0.7071067811865474,0.0,0.9999999999999996,0.9999999999999996,0.9999999999999996,-0.14444791921253622,0.0023737133054856363,0.045071828768636364,0.15520581851749995,0.09311153275411352,0.4898089071376786,0.10682287185265549,-0.6393484255330708
1725,partial_phi,collective_z_dephasing,0.7462185439479065,0.0360484931039966,1.0823142200788352,0.09514745025600703,0.008405244120880982,0.034144887401088016,0.011475658327487053,0.10419776469732062,0.16885186554848197,-0.16248813275867863,0.013224302172097845,-0.06954968603404604,0.7098309141392182,0.0,0.0,0.09867163697093395,0.7102376252414766,0.6725984883391934,0.32740151166080655,1.2086851091258548,0.3796696057222574,0.3141178813701461,0.9215173464443135,0.43728984325529535,0.08739585125385618,0.29871862921168013,0.7098309141392182,0.4449091483093977,0.25714446522432194,0.25714446522432194,5.775197406371468,0.3873477265217825,0.3873477265217825,4.136458370157228,2.316262995271851,0.08600149460227696,1.3250200961677179,3.3173355694987583,2.3980559799061663,0.501926257133564,0.9999999999999998,0.0,0.0,0.9999999999999998,1.0,0.014325663630246982,0.03604849310399659,0.0,0.095147450256007,0.02423709663709498,0.17816055926368288,0.21132277795782395
1726,partial_psi,depolarizing,1.6212665079263453,0.021806434470038875,0.06217432225742916,0.05090243513446666,0.11689285505972836,0.9698731571323075,0.05197101840680785,0.07766889722043147,-0.11149960868915756,0.057097410015226266,-0.1607928731648956,-0.0577696778862391,0.9969522411274597,0.0,0.0,0.025119117737764787,0.25492083273860844,0.2511431075423812,0.7488568924576188,1.991210489250158,9.571716019940446e-05,4.806983526661174e-05,1.9966895078516353,0.4177095626306977,0.8500576557464616,0.2549914974853291,0.9969522411274597,0.38904436047620977,0.5169405989163955,0.5169405989163955,2.6423616389908897,0.3460453999479566,0.3460453999479566,4.2477936067091,2.5092142508391713,0.391071581876273,1.0560367862837088,4.31851408591355,4.289748587978925,0.704951690220353,0.0,1.0,1.0,1.0,-0.02930692727176256,0.11689285505972836,0.021806434470038875,0.06217432225742916,0.05090243513446666,0.9669172176124189,0.15510107837023893,-0.5950661582611325
1727,bell_psi,depolarizing,1.042490869313489,0.057853809419324734,0.15675183584266436,0.0013657317939822543,0.09056910150111654,0.41544988445191994,0.07708648933925738,0.03753453207874824,0.13752979344306718,0.018409408308507336,-0.011898524087772708,0.0015408064359234562,0.9999999937348331,0.0,0.0,0.03271663362898894,0.40356833828735605,0.28400338337227615,0.7159966166277238,1.9999999900342158,0.08632590540507379,0.04316295291761323,1.911863487641133,0.5793709943141999,1.0,0.35073164428290876,0.9999999937348331,0.47652141205313614,0.6511480179935667,0.6511480179935667,1.7160731752429026,0.45920298948005617,0.45920298948005617,3.1130517005046716,1.3068175964360376,0.20703457299131311,1.196358470608179,2.228347446598722,2.2268181849344204,0.7071067811865475,0.0,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.7243044058569629,0.09056910150111654,0.057853809419324706,0.15675183584266428,0.0013657317939822537,0.41544988184905707,0.07506906392233637,-0.6492683557170913
1728,product_z,local_z_dephasing,1.2755236041312337,1.2446917024383188,0.015563248341835478,0.02667188889038338,0.09240648982637495,0.07160612078153898,0.03161754948586482,0.16027630114995814,-0.12638340995771008,-0.16690947744231835,-0.008686719592888945,-0.02967608809739171,0.007678599059392385,0.0,0.0,0.06797221582220245,0.8093120371455361,0.6792136814802016,0.32078631851979844,0.0005156856054486377,4.067813934582887e-05,0.0005084767418228608,0.9214668622932386,0.8262049993511251,1.0938306690144592e-08,0.7867901228450893,0.007678599059392385,0.1568969901036679,0.0011234424818607944,0.0011234424818607944,32.02564806631196,0.467218943833558,0.16728647514685577,8.94023756637759,0.3786360545066445,0.3108468414626117,0.11663395214059884,0.20033549410340257,0.31875965376926274,0.016184922353917424,0.9998839518068834,0.00011604819311652243,0.00011604819311652243,0.9998839518068834,0.9999396881072595,0.18479949451375918,1.2446917024383186,1.806086849093721e-06,0.026668793665870643,0.0035803060390769493,0.1615069986052111,0.7867901119067826
1729,bell_phi,local_z_dephasing,1.4242670082972637,1.5684349370225474,0.2489969517709007,0.06731732171382793,0.07016190698073384,0.028416640804149962,0.02311513853931869,0.04398621553120066,-0.10945255598191679,0.06003959324761174,-0.06750688536914976,-0.07749163324240053,0.9999999999999998,0.0,0.0,0.05494403270929705,0.4198110929713483,0.3675373246118359,0.6324626753881641,1.9999999900342158,0.363806003149463,0.18190300248113453,1.6308335066358008,0.25468227007468164,1.0,0.16031946862979957,0.9999999999999998,0.3257967705803844,0.43616267306540474,0.43616267306540474,3.3189600063024773,0.2369430188138832,0.2369430188138832,5.759742372953969,5.26762979406528,0.09409353688283026,2.402601870229308,7.569885946335231,7.542200285782674,0.7071067811865474,0.9999999999999996,0.0,0.0,0.9999999999999996,0.9999999999999998,0.07016190698073384,1.5684349370225468,0.0,0.0673173217138279,0.028416640804149955,0.08797243106240131,-0.8396805313702005
1730,bell_psi,local_z_dephasing,1.2138622478112968,1.4423804360479264,0.16242836492155513,0.06665959849906451,0.008584354871939882,0.07298182553041349,0.01142697295378933,0.05918196541751419,0.1583458603952396,-0.073322436460906,-0.07671298062141071,0.06551303356922852,0.9999999937348334,0.0,0.0,0.059529089895499654,0.4301669799174136,0.3824763584256969,0.6175236415743031,1.9999999900342158,0.4256290789377355,0.21281454052929963,1.5739700710046967,0.2974923110201197,1.0,0.16577546807945573,0.9999999937348334,0.36702764536966864,0.4779599507030413,0.4779599507030413,2.9529133458110737,0.2625618327933472,0.2625618327933472,5.349074689333927,4.250576547096925,0.24556662695457962,3.390723974543763,6.101289360043727,6.083404300982198,0.7071067811865474,0.0,0.9999999999999996,0.9999999999999996,0.9999999999999996,-0.8549753575237893,0.008584354871939882,1.4423804360479258,0.16242836492155505,0.06665959849906448,0.07298182507317019,0.11836393046424351,-0.8342245319205442
1731,partial_phi,pair_zz_dephasing,1.398808436070652,0.011654037865485786,0.2237538771670313,0.7567840740691791,0.06576801493203956,0.046493083485938815,0.03866397133235904,0.16180640678761096,0.12121852760730271,-0.03530766246999343,0.09749222510338441,0.003397845906178096,0.9928045840074818,0.0,0.0,0.05272957582118214,0.49761054717882786,0.36427420904960217,0.6357257909503978,1.9792633780325666,0.322662582086916,0.16302154916221914,1.67201231985063,0.6765189342959689,0.7748474466489778,0.4578969105525075,0.9928045840074818,0.7307000095358525,0.7262370898405629,0.7262370898405629,1.2867364169641666,0.6094371543558234,0.6094371543558234,1.9880992092418226,0.8606794115425627,0.09406494316967137,0.8811680611708327,1.3312584027412866,1.3278273883048364,0.7020188537447797,1.0,0.0,0.0,1.0,1.0,0.07364345886689187,0.011654037865485786,0.0,0.7567840740691791,0.04615854640948261,0.3224485491681305,-0.3169505360964703
1732,partial_psi,local_z_dephasing,0.8172294745536423,1.6157956397043416,0.012574752721956406,0.06319994865442134,0.01649267894093397,0.034842462080255245,0.009234681276254039,0.06940269578463336,0.07675071526077301,0.04885283955332804,0.1084384399199482,-0.10027469293597004,0.5793771019218805,0.0,0.0,0.10120246654178361,0.7802025376074674,0.7424617929894882,0.2575382070105118,0.8893233900570399,0.23972856754149163,0.2695628724283478,0.7903857785115708,0.392066299974321,0.034202947896345655,0.2451918546150392,0.5793771019218805,0.23292480540173793,0.1461771863035209,0.1461771863035209,8.237544863404041,0.28185587912672205,0.28185587912672205,5.6112393355753705,2.791060236796414,0.02613597422518532,2.2501160012953103,3.9861265989391548,2.3217195029321402,0.4096814813584615,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.5182614164224215,0.01649267894093397,1.6157956397043414,0.012574752721956404,0.06319994865442133,0.0201869247038813,0.10961302853390015,0.21098890671869355
