z,E_LCDM,D_growth,fsigma8_ref,U_struct,d_H,d_S,d_V,d_R,Gamma_H,Gamma_V,Gamma_R,CCI_v02_norm,CCI_v03_norm,F_struct_v03,curvature_log_CCI_v03
0.2671492205,1.151479596,0.8690819035,0.472537522,0.1397619882,0.1874345896,0.1397619882,0.2657712923,0.226602941,0.8421516509,0.7900321378,0.8152597443,1.593127173,1.554613598,1.173076871,-0.4867595612
0.2714922049,1.154347315,0.8670953391,0.4728310325,0.1421024608,0.1869763694,0.1421024608,0.2657157826,0.226346076,0.8424767551,0.7900667857,0.815430505,1.607568075,1.567841849,1.17646905,-0.4656083145
0.2758351893,1.157227511,0.8651140181,0.4731136024,0.1444432053,0.1865615636,0.1444432053,0.2656578966,0.2261097301,0.8427712734,0.7901029202,0.815587688,1.62211928,1.581168773,1.17996229,-0.4444855145
0.2801781737,1.160120159,0.8631379584,0.4733853294,0.1467841387,0.1861941613,0.1467841387,0.2655978606,0.225896011,0.8430323067,0.7901404002,0.8157298752,1.636781308,1.594595609,1.183566413,-0.4232807663
0.2845211581,1.163025232,0.8611671769,0.4736463113,0.1491251786,0.1858778865,0.1491251786,0.2655359911,0.2257069388,0.8432571442,0.7901790285,0.8158557061,1.651554677,1.608123622,1.187290757,-0.4018281535
0.2888641425,1.165942703,0.8592016899,0.4738966459,0.1514662431,0.1856161795,0.1514662431,0.2654727132,0.2255444463,0.8434432806,0.7902185401,0.8159638787,1.666439904,1.621754107,1.191144161,-0.3798994391
0.2932071269,1.168872547,0.8572415129,0.4741364308,0.1538072509,0.1854121814,0.1538072509,0.2654085818,0.2254103816,0.8435884291,0.7902585887,0.8160531484,1.681437507,1.635488399,1.195134965,-0.3571973269
0.2975501114,1.171814735,0.8552866608,0.4743657634,0.1561481212,0.1852687235,0.1561481212,0.2653443063,0.2253065149,0.8436905321,0.7902987314,0.8161223236,1.696547999,1.649327883,1.19927102,-0.3333488964
0.3018930958,1.174769243,0.8533371475,0.4745847412,0.1584887738,0.1851883195,0.1584887738,0.2652807784,0.225234549,0.8437477686,0.7903384111,0.8161702597,1.711771896,1.663274007,1.203559726,-0.3078993477
0.3062360802,1.177736041,0.8513929867,0.4747934614,0.1608291291,0.1851731634,0.1608291291,0.2652191045,0.225196134,0.8437585585,0.7903769367,0.81619585,1.72710971,1.677328296,1.208008071,-0.2803062209
0.3105790646,1.180715104,0.849454191,0.4749920211,0.1631691081,0.1852251304,0.1631691081,0.265160642,0.2251928862,0.8437215634,0.7904134596,0.8161980136,1.742561952,1.691492376,1.212622704,-0.2499342994
