gamma,alpha,z_tr
2.375000000000000000e+00,6.250000000000000000e-01,9.209104552276138334e-01
2.375000000000000000e+00,6.875000000000000000e-01,9.523211605802901492e-01
2.375000000000000000e+00,7.500000000000000000e-01,9.822361180590295504e-01
2.375000000000000000e+00,8.125000000000000000e-01,1.010655327663831926e+00
2.375000000000000000e+00,8.750000000000000000e-01,1.039074537268634302e+00
2.375000000000000000e+00,9.375000000000000000e-01,1.065997998999499874e+00
2.375000000000000000e+00,1.000000000000000000e+00,1.091425712856428198e+00
2.375000000000000000e+00,1.062500000000000000e+00,1.116853426713356745e+00
2.375000000000000000e+00,1.125000000000000000e+00,1.140785392696348266e+00
2.375000000000000000e+00,1.187500000000000000e+00,1.163221610805402761e+00
2.375000000000000000e+00,1.250000000000000000e+00,1.185657828914457257e+00
2.375000000000000000e+00,1.312500000000000000e+00,1.208094047023511752e+00
2.375000000000000000e+00,1.375000000000000000e+00,1.229034517258629444e+00
2.375000000000000000e+00,1.437500000000000000e+00,1.249974987493746914e+00
2.375000000000000000e+00,1.500000000000000000e+00,1.269419709854927580e+00
2.375000000000000000e+00,1.562500000000000000e+00,1.288864432216108025e+00
2.375000000000000000e+00,1.625000000000000000e+00,1.308309154577288691e+00
2.375000000000000000e+00,1.687500000000000000e+00,1.326258129064532332e+00
2.375000000000000000e+00,1.750000000000000000e+00,1.345702851425712998e+00
2.375000000000000000e+00,1.812500000000000000e+00,1.363651825912956639e+00
2.375000000000000000e+00,1.875000000000000000e+00,1.380105052526263254e+00
2.375000000000000000e+00,1.937500000000000000e+00,1.398054027013506895e+00
2.375000000000000000e+00,2.000000000000000000e+00,1.414507253626813510e+00
2.562500000000000000e+00,5.000000000000000000e-01,8.790295147573787826e-01
2.562500000000000000e+00,5.625000000000000000e-01,9.134317158579290385e-01
2.562500000000000000e+00,6.250000000000000000e-01,9.448424212106053544e-01
2.562500000000000000e+00,6.875000000000000000e-01,9.747573786893447556e-01
2.562500000000000000e+00,7.500000000000000000e-01,1.004672336168084046e+00
2.562500000000000000e+00,8.125000000000000000e-01,1.033091545772886422e+00
2.562500000000000000e+00,8.750000000000000000e-01,1.060015007503751994e+00
2.562500000000000000e+00,9.375000000000000000e-01,1.086938469234617344e+00
2.562500000000000000e+00,1.000000000000000000e+00,1.112366183091545890e+00
2.562500000000000000e+00,1.062500000000000000e+00,1.136298149074537411e+00
2.562500000000000000e+00,1.125000000000000000e+00,1.160230115057528710e+00
2.562500000000000000e+00,1.187500000000000000e+00,1.182666333166583428e+00
2.562500000000000000e+00,1.250000000000000000e+00,1.205102551275637923e+00
2.562500000000000000e+00,1.312500000000000000e+00,1.226043021510755393e+00
2.562500000000000000e+00,1.375000000000000000e+00,1.246983491745873085e+00
2.562500000000000000e+00,1.437500000000000000e+00,1.267923961980990555e+00
2.562500000000000000e+00,1.500000000000000000e+00,1.287368684342171221e+00
2.562500000000000000e+00,1.562500000000000000e+00,1.306813406703351665e+00
2.562500000000000000e+00,1.625000000000000000e+00,1.326258129064532332e+00
2.562500000000000000e+00,1.687500000000000000e+00,1.344207103551775973e+00
2.562500000000000000e+00,1.750000000000000000e+00,1.362156078039019613e+00
2.562500000000000000e+00,1.812500000000000000e+00,1.380105052526263254e+00
2.562500000000000000e+00,1.875000000000000000e+00,1.398054027013506895e+00
2.562500000000000000e+00,1.937500000000000000e+00,1.414507253626813510e+00
2.562500000000000000e+00,2.000000000000000000e+00,1.430960480240120125e+00
2.750000000000000000e+00,5.000000000000000000e-01,9.044572286143072182e-01
2.750000000000000000e+00,5.625000000000000000e-01,9.358679339669835340e-01
2.750000000000000000e+00,6.250000000000000000e-01,9.672786393196598498e-01
2.750000000000000000e+00,6.875000000000000000e-01,9.971935967983992510e-01
2.750000000000000000e+00,7.500000000000000000e-01,1.025612806403201738e+00
2.750000000000000000e+00,8.125000000000000000e-01,1.054032016008004113e+00
2.750000000000000000e+00,8.750000000000000000e-01,1.080955477738869464e+00
2.750000000000000000e+00,9.375000000000000000e-01,1.106383191595798010e+00
2.750000000000000000e+00,1.000000000000000000e+00,1.131810905452726335e+00
2.750000000000000000e+00,1.062500000000000000e+00,1.155742871435717856e+00
2.750000000000000000e+00,1.125000000000000000e+00,1.178179089544772351e+00
2.750000000000000000e+00,1.187500000000000000e+00,1.200615307653827069e+00
2.750000000000000000e+00,1.250000000000000000e+00,1.223051525762881564e+00
2.750000000000000000e+00,1.312500000000000000e+00,1.243991995997999034e+00
2.750000000000000000e+00,1.375000000000000000e+00,1.264932466233116726e+00
2.750000000000000000e+00,1.437500000000000000e+00,1.284377188594297170e+00
2.750000000000000000e+00,1.500000000000000000e+00,1.305317658829414862e+00
