z,E,D_growth,L_latent,B_exp,D_acc,S_proj,C_proj,C_proj_norm,R_proj,abs_d2R_dz2
2.666448224112055954e+00,4.026233747066064517e+00,3.438602516809229903e-01,2.033131285795002352e-01,1.476197757179040160e+01,6.991130356338280671e-02,9.870784226666403427e+00,8.659930207515722955e+00,4.543285522054355283e+02,9.720651086398949259e-01,7.591256742324681284e-02
2.667943971985992757e+00,4.028593693989265923e+00,3.437232601784554475e-01,2.032959005542828990e-01,1.477665595544871024e+01,6.987752971943318736e-02,9.887162061440648131e+00,8.674813048260016757e+00,4.551093552056942144e+02,9.721240222088891603e-01,7.563685231776950957e-02
2.669439719859930005e+00,4.030954183082598341e+00,3.435863752501109314e-01,2.032787617448464923e-01,1.479134338833882190e+01,6.984381291324272267e-02,9.903555975095107655e+00,8.689710891537659521e+00,4.558909452884226425e+02,9.721827665591468159e-01,7.536238231582004232e-02
2.670935467733866808e+00,4.033315214178202268e+00,3.434495967755837875e-01,2.032617116930093282e-01,1.480603987227737939e+01,6.981015292087901225e-02,9.919965962563329853e+00,8.704623734513175393e+00,4.566733223048624382e+02,9.722413423047255865e-01,7.508915048178010920e-02
2.672431215607803612e+00,4.035676787108393171e+00,3.433129246347420005e-01,2.032447499429029802e-01,1.482074540908067206e+01,6.977654951955483686e-02,9.936392018744799159e+00,8.719551574317451426e+00,4.574564861044904660e+02,9.722997500569120488e-01,7.481715016503542870e-02
2.673926963481740859e+00,4.038038901705659711e+00,3.431763587076255284e-01,2.032278760409612084e-01,1.483546000056461800e+01,6.974300248762176080e-02,9.952834138504941919e+00,8.734494408047755343e+00,4.582404365350197395e+02,9.723579904242393157e-01,7.454637458202739708e-02
2.675422711355677663e+00,4.040401557802663746e+00,3.430398988744471356e-01,2.032110895359086900e-01,1.485018364854476935e+01,6.970951160456434481e-02,9.969292316675197441e+00,8.749452232767783499e+00,4.590251734424021492e+02,9.724160640124984711e-01,7.427681706314892551e-02
2.676918459229614911e+00,4.042764755232241214e+00,3.429035450155920040e-01,2.031943899787497509e-01,1.486491635483632301e+01,6.967607665099397052e-02,9.985766548053069513e+00,8.764425045507698186e+00,4.598106966708301115e+02,9.724739714247572220e-01,7.400847097682650144e-02
2.678414207103551714e+00,4.045128493827401250e+00,3.427672970116166784e-01,2.031777769227574859e-01,1.487965812125410459e+01,6.964269740864281744e-02,1.000225682740214950e+01,8.779412843264154276e+00,4.605970060627382168e+02,9.725317132613721105e-01,7.374132965347612867e-02
2.679909954977488518e+00,4.047492773421327072e+00,3.426311547432492333e-01,2.031612499234623781e-01,1.489440894961258621e+01,6.960937366035777063e-02,1.001876314945219626e+01,8.794415623000356064e+00,4.613841014588061853e+02,9.725892901200043905e-01,7.347538672750886235e-02
2.681405702851425765e+00,4.049857593847374204e+00,3.424951180913893833e-01,2.031448085386415581e-01,1.490916884172587586e+01,6.957610519009473082e-02,1.003528550889915749e+01,8.809433381646078587e+00,4.621719826979598906e+02,9.726467025956344603e-01,7.321063554837614618e-02
2.682901450725362569e+00,4.052222954939067812e+00,3.423591869371073737e-01,2.031284523283077292e-01,1.492393779940770848e+01,6.954289178291241103e-02,1.005182390040521767e+01,8.824466116097697821e+00,4.629606496173728374e+02,9.727039512805762955e-01,7.294706946548501492e-02
2.684397198599299372e+00,4.054588856530109808e+00,3.422233611616445348e-01,2.031121808546981766e-01,1.493871582447147262e+01,6.950973322496663276e-02,1.006837831859887267e+01,8.839513823218259958e+00,4.637501020524701971e+02,9.727610367644925482e-01,7.268468234126501670e-02
2.685892946473236620e+00,4.056955298454369974e+00,3.420876406464123942e-01,2.030959936822640255e-01,1.495350291873018733e+01,6.947662930350437249e-02,1.008494875807495283e+01,8.854576499837490289e+00,4.645403398369288652e+02,9.728179596344087576e-01,7.242346769618990265e-02
2.687388694347173423e+00,4.059322280545893058e+00,3.419520252729924548e-01,2.030798903776593056e-01,1.496829908399651110e+01,6.944357980685789133e-02,1.010153521339467453e+01,8.869654142751842940e+00,4.653313628026801325e+02,9.728747204747262289e-01,7.216341903166068050e-02
2.688884442221110671e+00,4.061689802638891678e+00,3.418165149231363054e-01,2.030638705097303487e-01,1.498310432208274179e+01,6.941058452443905902e-02,1.011813767908570760e+01,8.884746748724547061e+00,4.661231707799124138e+02,9.729313198672387974e-01,7.190453019114961819e-02
2.690380190095047475e+00,4.064057864567751643e+00,3.416811094787648995e-01,2.030479336495048248e-01,1.499791863480081133e+01,6.937764324673345584e-02,1.013475614964219318e+01,8.899854314485622808e+00,4.669157635970717592e+02,9.729877583911449301e-01,7.164679484709779445e-02
2.691875937968984278e+00,4.066426466167028408e+00,3.415458088219686106e-01,2.030320793701812787e-01,1.501274202396229995e+01,6.934475576529469665e-02,1.015139061952483424e+01,8.914976836731961285e+00,4.677091410808660612e+02,9.730440366230623805e-01,7.139020674793172816e-02
2.693371685842921526e+00,4.068795607271450621e+00,3.414106128350064551e-01,2.030163072471184438e-01,1.502757449137843082e+01,6.931192187273867156e-02,1.016804108316091870e+01,8.930114312127328091e+00,4.685033030562655654e+02,9.731001551370426217e-01,7.113475962313842160e-02
2.694867433716858329e+00,4.071165287715911241e+00,3.412755214003066473e-01,2.030006168578246117e-01,1.504241603886004341e+01,6.927914136273796708e-02,1.018470753494435677e+01,8.945266737302413063e+00,4.692982493465050879e+02,9.731561145045842798e-01,7.088044739216492474e-02
2.696363181590795133e+00,4.073535507335480865e+00,3.411405344004650453e-01,2.029850077819471410e-01,1.505726666821765214e+01,6.924641403001600970e-02,1.020138996923578745e+01,8.960434108854899549e+00,4.700939797730877672e+02,9.732119152946466789e-01,7.062726406946495672e-02
2.697858929464732380e+00,4.075906265965394404e+00,3.410056517182463165e-01,2.029694796012619928e-01,1.507212638126138771e+01,6.921373967034165353e-02,1.021808838036256084e+01,8.975616423349457307e+00,4.708904941557849497e+02,9.732675580736642740e-01,7.037520334652036524e-02
2.699354677338669184e+00,4.078277563441055520e+00,3.408708732365828276e-01,2.029540318996632953e-01,1.508699517980102023e+01,6.918111808052351819e-02,1.023480276261882871e+01,8.990813677317810004e+00,4.716877923126393739e+02,9.733230434055588631e-01,7.012425914278352934e-02
2.700850425212605987e+00,4.080649399598041072e+00,3.407361988385741447e-01,2.029386642631529347e-01,1.510187306564597520e+01,6.914854905840431276e-02,1.025153311026559955e+01,9.006025867258793838e+00,4.724858740599683529e+02,9.733783718517554640e-01,6.987442570072310843e-02
2.702346173086543235e+00,4.083021774272094007e+00,3.406016284074875888e-01,2.029233762798302310e-01,1.511676004060531575e+01,6.911603240285552063e-02,1.026827941753078122e+01,9.021252989638375297e+00,4.732847392123648547e+02,9.734335439711931937e-01,6.962569682582930852e-02
2.703841920960480039e+00,4.085394687299126026e+00,3.404671618267569588e-01,2.029081675398816675e-01,1.513165610648773374e+01,6.908356791377159856e-02,1.028504167860921470e+01,9.036495040889688468e+00,4.740843875826993212e+02,9.734885603203403681e-01,6.937806666556589619e-02
2.705337668834417286e+00,4.087768138515217586e+00,3.403327989799831421e-01,2.028930376355705389e-01,1.514656126510158174e+01,6.905115539206478636e-02,1.030181988766276646e+01,9.051752017413109641e+00,4.748848189821235906e+02,9.735434214532074915e-01,6.913152936743216515e-02
2.706833416708354090e+00,4.090142127756616119e+00,3.401985397509334486e-01,2.028779861612269586e-01,1.516147551825483397e+01,6.901879463965950035e-02,1.031861403882034267e+01,9.067023915576262638e+00,4.756860332200711809e+02,9.735981279213591355e-01,6.888607894589782177e-02
2.708329164582290893e+00,4.092516654859739589e+00,3.400643840235411663e-01,2.028630127132375061e-01,1.517639886775513069e+01,6.898648545948690702e-02,1.033542412617797623e+01,9.082310731714102303e+00,4.764880301042617816e+02,9.736526802739294828e-01,6.864170975744521286e-02
2.709824912456228141e+00,4.094891719661170271e+00,3.399303316819053400e-01,2.028481168900352627e-01,1.519133131540973380e+01,6.895422765547959409e-02,1.035225014379885344e+01,9.097612462128923383e+00,4.772908094407014801e+02,9.737070790576325408e-01,6.839841579757788281e-02
2.711320660330164944e+00,4.097267321997658307e+00,3.397963826102909368e-01,2.028332982920896255e-01,1.520627286302555525e+01,6.892202103256615808e-02,1.036909208571337615e+01,9.112929103090412042e+00,4.780943710336857180e+02,9.737613248167779068e-01,6.815619140379070018e-02
2.712816408204101748e+00,4.099643461706120817e+00,3.396625366931281809e-01,2.028185565218964537e-01,1.522122351240914995e+01,6.888986539666594466e-02,1.038594994591922571e+01,9.128260650835715140e+00,4.788987146858027586e+02,9.738154180932814263e-01,6.791503100856566277e-02
2.714312156078038996e+00,4.102020138623644563e+00,3.395287938150121088e-01,2.028038911839679659e-01,1.523618326536672640e+01,6.885776055468360857e-02,1.040282371838142161e+01,9.143607101569470430e+00,4.797038401979353921e+02,9.738693594266788489e-01,6.767492868341840051e-02
2.715807903951975799e+00,4.104397352587477066e+00,3.393951538607026808e-01,2.027893018848228590e-01,1.525115212370411122e+01,6.882570631450393717e-02,1.041971339703232680e+01,9.158968451463815441e+00,4.805097473692613335e+02,9.739231493541388174e-01,6.743587884183455117e-02
2.717303651825913047e+00,4.106775103435036378e+00,3.392616167151242812e-01,2.027747882329764828e-01,1.526613008922680237e+01,6.879370248498656304e-02,1.043661897577178976e+01,9.174344696658511822e+00,4.813164359972596458e+02,9.739767884104753026e-01,6.719787597334736517e-02
2.718799399699849850e+00,4.109153391003904865e+00,3.391281822633655518e-01,2.027603498389309589e-01,1.528111716373992301e+01,6.876174887596074592e-02,1.045354044846711439e+01,9.189735833260906261e+00,4.821239058777089781e+02,9.740302771281599270e-01,6.696091445345153659e-02
2.720295147573786654e+00,4.111532215131829204e+00,3.389948503906791144e-01,2.027459863151654385e-01,1.529611334904824638e+01,6.872984529822018240e-02,1.047047780895317004e+01,9.205141857346042400e+00,4.829321568046930224e+02,9.740836160373341768e-01,6.672498875264487594e-02
2.721790895447723901e+00,4.113911575656725716e+00,3.388616209824810710e-01,2.027316972761262770e-01,1.531111864695620284e+01,6.869799156351778791e-02,1.048743105103244133e+01,9.220562764956682145e+00,4.837411885706021053e+02,9.741368056658229468e-01,6.649009320845777893e-02
2.723286643321660705e+00,4.116291472416669706e+00,3.387284939243511150e-01,2.027174823382174307e-01,1.532613305926783909e+01,6.866618748456063126e-02,1.050440016847504054e+01,9.235998552103325210e+00,4.845510009661338131e+02,9.741898465391456430e-01,6.625622250041551808e-02
2.724782391195597508e+00,4.118671905249906118e+00,3.385954691020318097e-01,2.027033411197908253e-01,1.534115658778687319e+01,6.863443287500474443e-02,1.052138515501883198e+01,9.251449214764319251e+00,4.853615937802989606e+02,9.742427391805293935e-01,6.602337130802737875e-02
2.726278139069534756e+00,4.121052873994842436e+00,3.384625464014289209e-01,2.026892732411366138e-01,1.535618923431665905e+01,6.860272754945011264e-02,1.053838600436943906e+01,9.266914748885847430e+00,4.861729668004209657e+02,9.742954841109200403e-01,6.579153389281877651e-02
2.727773886943471560e+00,4.123434378490048680e+00,3.383297257086104182e-01,2.026752783244737954e-01,1.537123100066018644e+01,6.857107132343549794e-02,1.055540271020031007e+01,9.282395150381997695e+00,4.869851198121393168e+02,9.743480818489957951e-01,6.556070508631428595e-02
2.729269634817408807e+00,4.125816418574262734e+00,3.381970069098067522e-01,2.026613559939405562e-01,1.538628188862011115e+01,6.853946401343352646e-02,1.057243526615280516e+01,9.297890415134839159e+00,4.877980525994138361e+02,9.744005329111781188e-01,6.533087954906058314e-02
2.730765382691345611e+00,4.128198994086383244e+00,3.380643898914102996e-01,2.026475058755848324e-01,1.540134189999871417e+01,6.850790543684556755e-02,1.058948366583621414e+01,9.313400538994420330e+00,4.886117649445242819e+02,9.744528378116436018e-01,6.510205184657458233e-02
2.732261130565282414e+00,4.130582104865472282e+00,3.379318745399752522e-01,2.026337275973549568e-01,1.541641103659793188e+01,6.847639541199687652e-02,1.060654790282783111e+01,9.328925517778847265e+00,4.894262566280747251e+02,9.745049970623369529e-01,6.487421688638583817e-02
2.733756878439219662e+00,4.132965750750758893e+00,3.377994607422173390e-01,2.026200207890901939e-01,1.543148930021935961e+01,6.844493375813152924e-02,1.062362797067304143e+01,9.344465347274345746e+00,4.902415274289966192e+02,9.745570111729816576e-01,6.464736931005710119e-02
2.735252626313156465e+00,4.135349931581628447e+00,3.376671483850133826e-01,2.026063850825114143e-01,1.544657669266420896e+01,6.841352029540753721e-02,1.064072386288531469e+01,9.360020023235263054e+00,4.910575771245490273e+02,9.746088806510923019e-01,6.442150383511346945e-02
2.736748374187093269e+00,4.137734647197635063e+00,3.375349373554011323e-01,2.025928201112117966e-01,1.546167321573336828e+01,6.838215484489192086e-02,1.065783557294633255e+01,9.375589541384169223e+00,4.918744054903237952e+02,9.746606060019857853e-01,6.419661542608956495e-02
2.738244122061030517e+00,4.140119897438491847e+00,3.374028275405791533e-01,2.025793255106476121e-01,1.547677887122735818e+01,6.835083722855588018e-02,1.067496309430601187e+01,9.391173897411887239e+00,4.926920123002473133e+02,9.747121877287940883e-01,6.397269887655809839e-02
2.739739869934967320e+00,4.142505682144075330e+00,3.372708188279063268e-01,2.025659009181289827e-01,1.549189366094634757e+01,6.831956726926990964e-02,1.069210642038256687e+01,9.406773086977528564e+00,4.935103973265822219e+02,9.747636263324735983e-01,6.374974903704533347e-02
2.741235617808904568e+00,4.144892001154424577e+00,3.371389111049013509e-01,2.025525459728106381e-01,1.550701758669016073e+01,6.828834479079884390e-02,1.070926554456258373e+01,9.422387105708574850e+00,4.943295603399316747e+02,9.748149223118189877e-01,6.352776087212852474e-02
2.742731365682841371e+00,4.147278854309736751e+00,3.370071042592435728e-01,2.025392603156830063e-01,1.552215065025825069e+01,6.825716961779745851e-02,1.072644046020104369e+01,9.438015949200879717e+00,4.951495011092396794e+02,9.748660761634730942e-01,6.330672921334290493e-02
2.744227113556778175e+00,4.149666241450375992e+00,3.368753981787711016e-01,2.025260435895628319e-01,1.553729285344974542e+01,6.822604157580512696e-02,1.074363116062145096e+01,9.453659613018791319e+00,4.959702194017972943e+02,9.749170883819384681e-01,6.308664921523821079e-02
2.745722861430715422e+00,4.152054162416862759e+00,3.367437927514818630e-01,2.025128954390843783e-01,1.555244419806340339e+01,6.819496049124154635e-02,1.076083763911582913e+01,9.469318092695141686e+00,4.967917149832421160e+02,9.749679594595892507e-01,6.286751574740279125e-02
2.747218609304652226e+00,4.154442617049880049e+00,3.366122878655326556e-01,2.024998155106903508e-01,1.556760468589763136e+01,6.816392619140175524e-02,1.077805988894480471e+01,9.484991383731317782e+00,4.976139876175619747e+02,9.750186898866812779e-01,6.264932381238530468e-02
2.748714357178589029e+00,4.156831605190271617e+00,3.364808834092393730e-01,2.024868034526228489e-01,1.558277431875049146e+01,6.813293850445155397e-02,1.079529790333768169e+01,9.500679481597330778e+00,4.984370370670987995e+02,9.750692801513644037e-01,6.243206871674722436e-02
2.750210105052526277e+00,4.159221126679041980e+00,3.363495792710758936e-01,2.024738589149146228e-01,1.559795309841969591e+01,6.810199725942271687e-02,1.081255167549249130e+01,9.516382381731849804e+00,4.992608630925499824e+02,9.751197307396921587e-01,6.221574527306650282e-02
2.751705852926463081e+00,4.161611181357353750e+00,3.362183753396749686e-01,2.024609815493800258e-01,1.561314102670259629e+01,6.807110228620846804e-02,1.082982119857604353e+01,9.532100079542249915e+00,5.000854654529713343e+02,9.751700421356344073e-01,6.200034865490877678e-02
2.753201600800399884e+00,4.164001769066532965e+00,3.360872715038267233e-01,2.024481710096063536e-01,1.562833810539620849e+01,6.804025341555870743e-02,1.084710646572402482e+01,9.547832570404700903e+00,5.009108439057814053e+02,9.752202148210865618e-01,6.178587432085258513e-02
2.754697348674337132e+00,4.166392889648061981e+00,3.359562676524796010e-01,2.024354269509448523e-01,1.564354433629718777e+01,6.800945047907561158e-02,1.086440747004101937e+01,9.563579849664177956e+00,5.017369982067622800e+02,9.752702492758815733e-01,6.157231708347410404e-02
2.756193096548273935e+00,4.168784542943582139e+00,3.358253636747390858e-01,2.024227490305021415e-01,1.565875972120183413e+01,6.797869330920881803e-02,1.088172420460058376e+01,9.579341912634520284e+00,5.025639281100623634e+02,9.753201459777997018e-01,6.135967226833649590e-02
2.757688844422211183e+00,4.171176728794897315e+00,3.356945594598684246e-01,2.024101369071314993e-01,1.567398426190611715e+01,6.794798173925116480e-02,1.089905666244534110e+01,9.595118754598527033e+00,5.033916333682017807e+02,9.753699054025810611e-01,6.114793522005257387e-02
2.759184592296147986e+00,4.173569447043965930e+00,3.355638548972871837e-01,2.023975902414240080e-01,1.568921796020563164e+01,6.791731560333379158e-02,1.091640483658699168e+01,9.610910370807955516e+00,5.042201137320720363e+02,9.754195280239335020e-01,6.093710103618299456e-02
2.760680340170084790e+00,4.175962697532908940e+00,3.354332498765717485e-01,2.023851086957001444e-01,1.570446081789564552e+01,6.788669473642192087e-02,1.093376872000643019e+01,9.626716756483626014e+00,5.050493689509415276e+02,9.754690143135461566e-01,6.072716528931643154e-02
2.762176088044022038e+00,4.178356480104002735e+00,3.353027442874553787e-01,2.023726919340010644e-01,1.571971283677106612e+01,6.785611897431034767e-02,1.095114830565376707e+01,9.642537906815435989e+00,5.058793987724563976e+02,9.755183647410973213e-01,6.051812305805448489e-02
2.763671835917958841e+00,4.180750794599681797e+00,3.351723380198271540e-01,2.023603396220801653e-01,1.573497401862644907e+01,6.782558815361887372e-02,1.096854358644842087e+01,9.658373816962440017e+00,5.067102029426447416e+02,9.755675797742666688e-01,6.030996966797275149e-02
2.765167583791895645e+00,4.183145640862541370e+00,3.350420309637319183e-01,2.023480514273943709e-01,1.575024436525601601e+01,6.779510211178788048e-02,1.098595455527917331e+01,9.674224482052904861e+00,5.075417812059192215e+02,9.756166598787453514e-01,6.010270082467172870e-02
2.766663331665832892e+00,4.185541018735331242e+00,3.349118230093706128e-01,2.023358270190959707e-01,1.576552387845362624e+01,6.776466068707409640e-02,1.100338120500422967e+01,9.690089897184344991e+00,5.083741333050792832e+02,9.756656055182451048e-01,5.989631164475994751e-02
2.768159079539769696e+00,4.187936928060958408e+00,3.347817140470991104e-01,2.023236660680238774e-01,1.578081256001279087e+01,6.773426371854593397e-02,1.102082352845128277e+01,9.705970057423600750e+00,5.092072589813150785e+02,9.757144171545102385e-01,5.969079766281382149e-02
2.769654827413706943e+00,4.190333368682489734e+00,3.346517039674286043e-01,2.023115682466954945e-01,1.579611041172668884e+01,6.770391104607936805e-02,1.103828151841760530e+01,9.721864957806896967e+00,5.100411579742105346e+02,9.757630952473269614e-01,5.948615445146820946e-02
2.771150575287643747e+00,4.192730340443145742e+00,3.345217926610252190e-01,2.022995332292981951e-01,1.581141743538812783e+01,6.767360251035346719e-02,1.105575516767006228e+01,9.737774593339860729e+00,5.108758300217444344e+02,9.758116402545328194e-01,5.928237722229035001e-02
2.772646323161580550e+00,4.195127843186304162e+00,3.343919800187096780e-01,2.022875606916811064e-01,1.582673363278958156e+01,6.764333795284614703e-02,1.107324446894523007e+01,9.753698958997629731e+00,5.117112748602958163e+02,9.758600526320283519e-01,5.907946183289780606e-02
