feature_set,held_out_family,n_test,r2,rmse,spearman
scale_projection,graph_coloring,72,-19.362684674810346,3.5121456897378756,-0.05846564838215918
scale_projection,modular_3sat,72,-0.43463824474825374,0.6067750964871664,-0.12878641713293462
scale_projection,pigeonhole,5,-5.292214619442877,6.11942959136335,-0.8999999999999998
scale_projection,planted_3sat,96,-0.47432564698240065,0.894374699064648,0.17826355306672279
scale_projection,random_3sat,96,-0.22866688394854728,0.9541695696245124,0.1681231962950399
scale_projection,xor3_cnf,54,-0.3769965224755154,0.6728353645901751,0.16802456710518496
scale_projection,ALL_LFO,395,-2.4091699524923578,1.807520996406691,-0.19298690348653683
standard_graph,graph_coloring,72,-21.25952401275462,3.6720868262524444,0.24723834641648684
standard_graph,modular_3sat,72,0.18283207157852266,0.45794382010614243,0.4362981542221366
standard_graph,pigeonhole,5,-4.969154617136119,5.960265320837132,0.9999999999999999
standard_graph,planted_3sat,96,-0.3784279181411365,0.8647982956122622,0.3150591091981663
standard_graph,random_3sat,96,0.009409655536605,0.8567527965282346,0.48747452345140396
standard_graph,xor3_cnf,54,0.06029267595423471,0.5558257904513558,0.4066478615537089
standard_graph,ALL_LFO,395,-2.493745033373144,1.829804236312504,-0.011770464789334925
mean_tail,graph_coloring,72,-1.7797123928629115,1.2976421280389436,0.13255297945561575
mean_tail,modular_3sat,72,-0.8904173068941874,0.6965228818604404,0.10701652839410897
mean_tail,pigeonhole,5,-3.7699458631965452,5.328020701259721,0.09999999999999999
mean_tail,planted_3sat,96,-0.017007473186646305,0.7428221867481601,0.3480151113421836
mean_tail,random_3sat,96,-0.13625304963313867,0.9175843892701078,0.3131318269545507
mean_tail,xor3_cnf,54,-0.29320435458129124,0.6520425956235636,-0.19817416001617122
mean_tail,ALL_LFO,395,-0.20162493473618093,1.0731081436368406,0.043678368053306854
tail_cluster,graph_coloring,72,-0.49329321196585063,0.9511029973007378,-0.00974370518560203
tail_cluster,modular_3sat,72,-0.6646176846265408,0.6536026404723557,0.22847128432696637
tail_cluster,pigeonhole,5,-4.897628254593432,5.924447777535875,-0.8999999999999998
tail_cluster,planted_3sat,96,-0.0379221234668472,0.7504213461409935,0.3593011347148209
tail_cluster,random_3sat,96,-0.09390658184789635,0.9003235352839184,0.3644545728947059
tail_cluster,xor3_cnf,54,-0.4265096146745586,0.6848252109964589,-0.271665173770966
tail_cluster,ALL_LFO,395,-0.1322001163170421,1.041647131874243,0.14571641767603835
tail_scale,graph_coloring,72,-6.750592997243251,2.1668181795377723,-0.17546708694797847
tail_scale,modular_3sat,72,-0.24578555000979274,0.5654291451196307,0.2394366197183099
tail_scale,pigeonhole,5,-4.830608460189958,5.8906893131415705,-0.9999999999999999
tail_scale,planted_3sat,96,-0.23745183538043646,0.8193829953650765,0.3358066725977441
tail_scale,random_3sat,96,-0.08299433330859918,0.8958216982477822,0.3218811783834922
tail_scale,xor3_cnf,54,-0.28778812024072975,0.6506757114757329,-0.07634984468405288
tail_scale,ALL_LFO,395,-0.8463504680498277,1.3301974018143015,-0.1277771766035322
cluster_scale,graph_coloring,72,-15.936658820370436,3.2030880289563104,-0.0707959727761547
cluster_scale,modular_3sat,72,-0.2469500747697413,0.5656933568994343,0.06051836130940897
cluster_scale,pigeonhole,5,-5.2858034054189345,6.1163112161949025,-0.8999999999999998
cluster_scale,planted_3sat,96,-0.4345442057663502,0.8822258169372268,0.1930900236752475
cluster_scale,random_3sat,96,-0.17340476786267178,0.932464721167668,0.26695017278426963
cluster_scale,xor3_cnf,54,-0.10278918385981672,0.602127742439325,0.20939574694743598
cluster_scale,ALL_LFO,395,-1.9760396033305523,1.6888006129337143,-0.1528075967804816
all_defect_projections,graph_coloring,72,-8.710297184692664,2.425332384184775,0.07322249738487072
all_defect_projections,modular_3sat,72,-0.28208951260010195,0.5736086868775995,0.07556756061483054
all_defect_projections,pigeonhole,5,-4.148983600296499,5.535666690807934,0.8999999999999998
all_defect_projections,planted_3sat,96,-0.19936296819667176,0.8066740984983246,0.37387665408248766
all_defect_projections,random_3sat,96,-0.09681714105142669,0.9015204858529209,0.35948304219903604
all_defect_projections,xor3_cnf,54,-0.1717353100080865,0.620664844845005,0.05008767248608677
all_defect_projections,ALL_LFO,395,-1.0122514369989846,1.3886734998310482,-0.09953604905211567
mean_only,graph_coloring,72,-15.497106224613933,3.1612503486790944,0.3121406751463404
mean_only,modular_3sat,72,-0.4489110015999982,0.6097859322015843,0.14245284626092675
