case,t,shock_time_inviscid,energy,dissipation,equation_residual_defect,energy_balance_defect,enstrophy,max_gradient,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
burgers_shock_warning,0.5,1.3334230027831278,0.26550508273678886,0.0002870304992067573,0.006259506302944268,0.17917427322262708,0.5740609984135145,1.1978846090032593,0.9184975974601539,0.9999987588341867,1.2411658133482106e-06,0.9937794313855061,0.8480510665035522,0.994369257263919,0.9999987588341867,0.9445765431528776,0.9445765431528776,0.05311701978964024
burgers_shock_warning,0.505,1.3334230027831278,0.26550390356949405,0.0002873526851029267,0.006277868129039076,0.17928917540407383,0.5747053702058533,1.2053667243754467,0.9195285923278943,0.9999985643950281,1.4356049718999842e-06,0.9937612976217878,0.8479684379849906,0.9945164750937894,0.9999985643950281,0.9445400579990526,0.9445400579990526,0.05318182994700062
burgers_shock_warning,0.51,1.3334230027831278,0.2655027231960448,0.0002876867022434725,0.006296610433133844,0.1794035379785592,0.5753734044869451,1.212844113604136,0.9205974471776394,0.9999983458165093,1.654183490740202e-06,0.9937427887882643,0.8478862134956384,0.9946668863322154,0.9999983458165093,0.9445035947548426,0.9445035947548426,0.053247739147169425
burgers_shock_warning,0.515,1.3334230027831278,0.2655015415671631,0.0002880326389372232,0.006315738826962208,0.17951737209834978,0.5760652778744464,1.2203101991194292,0.9217044445976397,0.9999981011793319,1.8988206681447295e-06,0.9937238993853716,0.847804384789187,0.9948202975145146,0.9999981011793319,0.9444671480455046,0.9444671480455046,0.05331476114904189
burgers_shock_warning,0.52,1.3334230027831278,0.2655003586332254,0.0002883905870262815,0.006335259091426262,0.17963068712518715,0.576781174052563,1.2277579089989068,0.9228498784826245,0.999997828532238,2.171467762046575e-06,0.9937046237482068,0.8477229449134159,0.9949765071768499,0.999997828532238,0.9444307129136114,0.9444307129136114,0.05338290958807736
burgers_shock_warning,0.525,1.3334230027831278,0.2654991743442499,0.0002887606419526595,0.006355177181870222,0.17974349385850294,0.577521283905319,1.2351796506666963,0.9240340542470321,0.9999975259050822,2.4740949178259086e-06,0.9936849560413981,0.8476418858894244,0.9951353056886107,0.9999975259050822,0.9443942839598017,0.9443942839598017,0.053452198805597866
burgers_shock_warning,0.53,1.3334230027831278,0.2654979886498807,0.00028914290282794656,0.006375499232901697,0.1798558024488407,0.5782858056558932,1.2425672840668747,0.9252572890479488,0.9999971913232614,2.808676738630389e-06,0.9936648902544216,0.8475612002114646,0.9952964750776521,0.9999971913232614,0.9443578559027828,0.9443578559027828,0.05352264331610911
burgers_shock_warning,0.535,1.3334230027831278,0.2654968014993722,0.00028953747250611743,0.006396231563826255,0.17996762275190148,0.5790749450122349,1.2499120944401474,0.9265199120180936,0.9999968228234739,3.1771765260923956e-06,0.9936444201963205,0.8474808805921438,0.9954597888482104,0.9999968228234739,0.9443214234880383,0.9443214234880383,0.05359425789952301
burgers_shock_warning,0.54,1.3334230027831278,0.2654956128415755,0.00028994445765958215,0.00641738068429836,0.1800789660292259,0.5798889153191643,1.2580572626469333,0.9278222645091786,0.9999964184707578,3.581529242180359e-06,0.9936235394902113,0.8474009187409192,0.9956250117913007,0.9999964184707578,0.944284981037763,0.944284981037763,0.05366705803937644
burgers_shock_warning,0.545,1.3334230027831278,0.2654944226249194,0.0002903639688585899,0.0064389532996202035,0.18018984125242515,0.5807279377171798,1.2662896690690937,0.9291647003460012,0.9999959763767222,4.023623277782384e-06,0.9936022415681447,0.8473213080183722,0.9957918997873912,0.9999959763767222,0.9442485234408444,0.9442485234408444,0.053741058974895665
burgers_shock_warning,0.55,1.3334230027831278,0.265493230797398,0.0002907961206541092,0.006460956317294074,0.18030026011566277,0.5815922413082184,1.2745087992256758,0.9305475860916608,0.9999954947188845,4.505281115507742e-06,0.9935805196647317,0.8472420398365461,0.9959601996011487,0.9999954947188845,0.944212044819885,0.944212044819885,0.05381627698989181
