case,t,energy,enstrophy,palinstrophy,equation_residual_defect,enstrophy_balance_defect,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
2d_navier_stokes_regular_control,0.44,0.1237945715375316,0.49215572523605405,4.833068045780111,0.04901025700273714,0.07020003648572005,1.0062023690725217,0.9965994075042812,0.0034005924957187794,0.953279525461676,0.934404752296365,0.9999764001983754,0.9965994075042812,0.9610780152704196,0.9610780152704196,0.03917527004252526
2d_navier_stokes_regular_control,0.48,0.12371948132883887,0.49143383219824366,4.852281892337336,0.04902915015148681,0.0701629488060987,1.0102025233723884,0.9961195451640478,0.0038804548359522295,0.9532623567758755,0.9344371351256608,0.9999363974991314,0.9961195451640478,0.9609290691818225,0.9609290691818225,0.039422120505849464
2d_navier_stokes_regular_control,0.52,0.12364448982899198,0.4907086477866253,4.87404737654782,0.04906627288801323,0.07009468261624757,1.0147339062474383,0.995603155382404,0.004396844617596041,0.9532286242003217,0.9344967471057095,0.999867951886934,0.995603155382404,0.9607720884845183,0.9607720884845183,0.03968959001306487
2d_navier_stokes_regular_control,0.56,0.12356959703901006,0.489979775050623,4.898318148300056,0.04912284657116384,0.06999617784874548,1.0197868680110622,0.9950550217701499,0.004944978229850072,0.9531772215887667,0.9345827776791927,0.9997630458437813,0.9950550217701499,0.9606079464286325,0.9606079464286325,0.03997657782380044
2d_navier_stokes_regular_control,0.6,0.12349480305827568,0.48924682443616935,4.925046670280961,0.049200504156678204,0.06986844043621046,1.0253515118116963,0.9944799751788456,0.0055200248211544345,0.9531066712589656,0.9346943626005797,0.9996131761520889,0.9944799751788456,0.9604373890583422,0.9604373890583422,0.040282095728606845
2d_navier_stokes_regular_control,0.64,0.12342010808394058,0.48850941401353937,4.954183837616049,0.04930146238802966,0.06971253136368048,1.0314176144452452,0.9938823076767457,0.00611769232325432,0.9530149683811285,0.934830592967991,0.9994094808854049,0.9938823076767457,0.9602607978260931,0.9602607978260931,0.040605531709537325
2d_navier_stokes_regular_control,0.68,0.12334551241008725,0.4877671697624517,4.985678585543853,0.04942872931144981,0.06952955556215927,1.0379745446763367,0.9932651680772204,0.006734831922779572,0.9528993938026827,0.9349905243847014,0.99914286946169,0.9932651680772204,0.9600779351418326,0.9600779351418326,0.04094693908028877
2d_navier_stokes_regular_control,0.72,0.12327101642664945,0.48701972591621867,5.019477485513423,0.04958634613354422,0.06932065091312563,1.0450111791493648,0.9926300217099179,0.007369978290082124,0.9527562965007977,0.935173186028035,0.99880415505329,0.9926300217099179,0.9598876997430523,0.9598876997430523,0.0413073219472365
2d_navier_stokes_regular_control,0.76,0.12319662061809185,0.48626672536656934,5.055524331715846,0.049779667763369624,0.06908697762546925,1.0525158163079786,0.9919762520873875,0.008023747912612511,0.9525808421595469,0.9353775894091263,0.9983841885504514,0.9919762520873875,0.9596879156824599,0.9596879156824599,0.041688890094911515
2d_navier_stokes_regular_control,0.8,0.1231223255618491,0.4855078201303576,5.09375972188014,0.05001567853151325,0.06882970824742753,1.060476089120466,0.991300965867758,0.008699034132242045,0.9523667317030331,0.9356027366040485,0.9978739931522548,0.991300965867758,0.9594751760434422,0.9594751760434422,0.04209525864420393
2d_navier_stokes_regular_control,0.84,0.12304813192652048,0.484742671878664,5.134120638137873,0.05030329756705481,0.06855001856040376,1.0688788778194431,0.9905990380405576,0.0094009619594424,0.9521059319878569,0.9358476277481542,0.997264898507491,0.9905990380405576,0.9592447675423404,0.9592447675423404,0.042531562354980214
2d_navier_stokes_regular_control,0.88,0.12297404046981569,0.48397095252779826,5.1765400359918,0.0506535505510512,0.06824907961834087,1.077710224328731,0.9898634055612513,0.010136594438748703,0.9517885315054765,0.9361112675681176,0.9965486731457762,0.9898634055612513,0.9589907166509711,0.9589907166509711,0.04300443895272515
2d_navier_stokes_regular_control,0.92,0.12290005203624532,0.48319234489032586,5.220946452186897,0.051079415971262955,0.06792805120973794,1.0869552506255449,0.9890855889191847,0.010914411080815256,0.9514028957326099,0.9363926707114868,0.9957176537203208,0.9890855889191847,0.9587060093551157,0.9587060093551157,0.043521822672865584
