k_hMpc,t,delta_lambda_a
1.000000000000000021e-02,8.628628628628629116e+00,2.929287329058125877e+01
1.000000000000000021e-02,8.638638638638639122e+00,2.958756774991013572e+01
1.000000000000000021e-02,8.648648648648649129e+00,2.988522691717003354e+01
1.000000000000000021e-02,8.658658658658659135e+00,3.018588061814798351e+01
1.000000000000000021e-02,8.668668668668669142e+00,3.048955897868669851e+01
1.000000000000000021e-02,8.678678678678679148e+00,3.079629242770322151e+01
1.000000000000000021e-02,8.688688688688689155e+00,3.110611170023792837e+01
1.000000000000000021e-02,8.698698698698699161e+00,3.141904784053422972e+01
1.000000000000000021e-02,8.708708708708709167e+00,3.173513220514922040e+01
1.000000000000000021e-02,8.718718718718719174e+00,3.205439646609566040e+01
1.000000000000000021e-02,8.728728728728729180e+00,3.237687261401552519e+01
1.000000000000000021e-02,8.738738738738739187e+00,3.270259296138553395e+01
1.000000000000000021e-02,8.748748748748749193e+00,3.303159014575486907e+01
1.000000000000000021e-02,8.758758758758759200e+00,3.336389713301550586e+01
1.000000000000000021e-02,8.768768768768769206e+00,3.369954722070543340e+01
1.000000000000000021e-02,8.778778778778779213e+00,3.403857404134510745e+01
1.000000000000000021e-02,8.788788788788789219e+00,3.438101156580746931e+01
1.000000000000000021e-02,8.798798798798799226e+00,3.472689410672185062e+01
1.000000000000000021e-02,8.808808808808809232e+00,3.507625632191215459e+01
1.000000000000000021e-02,8.818818818818819238e+00,3.542913321786960523e+01
1.000000000000000021e-02,8.828828828828829245e+00,3.578556015326043394e+01
1.000000000000000021e-02,8.838838838838839251e+00,3.614557284246885871e+01
1.000000000000000021e-02,8.848848848848849258e+00,3.650920735917571136e+01
1.000000000000000021e-02,8.858858858858859264e+00,3.687650013997304654e+01
1.000000000000000021e-02,8.868868868868869271e+00,3.724748798801515903e+01
1.000000000000000021e-02,8.878878878878879277e+00,3.762220807670626499e+01
1.000000000000000021e-02,8.888888888888889284e+00,3.800069795342534462e+01
1.000000000000000021e-02,8.898898898898899290e+00,3.838299554328842333e+01
1.000000000000000021e-02,8.908908908908909297e+00,3.876913915294871771e+01
1.000000000000000021e-02,8.918918918918919303e+00,3.915916747443500157e+01
1.000000000000000021e-02,8.928928928928929309e+00,3.955311958902858294e+01
1.000000000000000021e-02,8.938938938938939316e+00,3.995103497117930402e+01
1.000000000000000021e-02,8.948948948948949322e+00,4.035295349246092655e+01
1.000000000000000021e-02,8.958958958958959329e+00,4.075891542556630043e+01
1.000000000000000021e-02,8.968968968968969335e+00,4.116896144834274196e+01
1.000000000000000021e-02,8.978978978978979342e+00,4.158313264786799834e+01
1.000000000000000021e-02,8.988988988988989348e+00,4.200147052456720331e+01
1.000000000000000021e-02,8.998998998998999355e+00,4.242401699637130008e+01
1.000000000000000021e-02,9.009009009009009361e+00,4.285081440291723709e+01
1.000000000000000021e-02,9.019019019019019368e+00,4.328190550979045526e+01
1.000000000000000021e-02,9.029029029029029374e+00,4.371733351281005753e+01
1.000000000000000021e-02,9.039039039039039380e+00,4.415714204235706575e+01
1.000000000000000021e-02,9.049049049049049387e+00,4.460137516774624089e+01
1.000000000000000021e-02,9.059059059059059393e+00,4.505007740164188590e+01
1.000000000000000021e-02,9.069069069069069400e+00,4.550329370451805033e+01
1.000000000000000021e-02,9.079079079079079406e+00,4.596106948916363422e+01
1.000000000000000021e-02,9.089089089089089413e+00,4.642345062523278187e+01
1.000000000000000021e-02,9.099099099099099419e+00,4.689048344384110578e+01
1.000000000000000021e-02,9.109109109109109426e+00,4.736221474220808858e+01
1.000000000000000021e-02,9.119119119119119432e+00,4.783869178834622460e+01
1.000000000000000021e-02,9.129129129129129439e+00,4.831996232579733430e+01
1.000000000000000021e-02,9.139139139139139445e+00,4.880607457841652064e+01
1.000000000000000021e-02,9.149149149149149451e+00,4.929707725520425043e+01
1.000000000000000021e-02,9.159159159159159458e+00,4.979301955518705114e+01
1.000000000000000021e-02,9.169169169169169464e+00,5.029395117234730606e+01
1.000000000000000021e-02,9.179179179179179471e+00,5.079992230060265967e+01
1.000000000000000021e-02,9.189189189189189477e+00,5.131098363883550206e+01
1.000000000000000021e-02,9.199199199199199484e+00,5.182718639597304389e+01
1.000000000000000021e-02,9.209209209209209490e+00,5.234858229611852209e+01
1.000000000000000021e-02,9.219219219219219497e+00,5.287522358373399811e+01
1.000000000000000021e-02,9.229229229229229503e+00,5.340716302887533118e+01
1.000000000000000021e-02,9.239239239239239510e+00,5.394445393247978870e+01
1.000000000000000021e-02,9.249249249249249516e+00,5.448715013170685495e+01
1.000000000000000021e-02,9.259259259259259522e+00,5.503530600533278516e+01
1.000000000000000021e-02,9.269269269269269529e+00,5.558897647919942386e+01
1.000000000000000021e-02,9.279279279279279535e+00,5.614821703171782019e+01
1.000000000000000021e-02,9.289289289289289542e+00,5.671308369942723715e+01
1.000000000000000021e-02,9.299299299299299548e+00,5.728363308261008768e+01
1.000000000000000021e-02,9.309309309309309555e+00,5.785992235096333047e+01
1.000000000000000021e-02,9.319319319319319561e+00,5.844200924932694363e+01
1.000000000000000021e-02,9.329329329329329568e+00,5.902995210347002342e+01
1.000000000000000021e-02,9.339339339339339574e+00,5.962380982593509771e+01
1.000000000000000021e-02,9.349349349349349581e+00,6.022364192194122268e+01
1.000000000000000021e-02,9.359359359359359587e+00,6.082950849534648796e+01
1.000000000000000021e-02,9.369369369369369593e+00,6.144147025467046319e+01
1.000000000000000021e-02,9.379379379379379600e+00,6.205958851917728936e+01
