z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
4.723549431001466559e+01,2.073162127401231500e-02,8.322921231172272782e-02,8.317793809895805690e-02,4.869487735918995308e-02,4.866488184255493565e-02,-6.160602910986461705e-02,-6.159891607028868121e-02
4.679238649935597039e+01,2.092383480396978190e-02,8.378481968335833863e-02,8.373320322322461151e-02,4.895645975665207511e-02,4.892630324132656028e-02,-6.160598104620541166e-02,-6.159864392853130199e-02
4.635334922917115819e+01,2.111783044448244454e-02,8.434341868425515587e-02,8.429145813548369337e-02,4.922065635719827942e-02,4.919033723755103504e-02,-6.160593153803742283e-02,-6.159836518069989469e-02
4.591834510607795750e+01,2.131362471841439024e-02,8.490503904698575022e-02,8.485273255004710524e-02,4.948746470368503569e-02,4.945698137574156689e-02,-6.160588055285975279e-02,-6.159807968743829382e-02
4.548733708020256472e+01,2.151123430182167243e-02,8.546971047827377210e-02,8.541705615539529894e-02,4.975688270286086901e-02,4.972623356408269191e-02,-6.160582805748216623e-02,-6.159778730755346987e-02
4.506028844202400307e+01,2.171067602537266050e-02,8.603746266310337287e-02,8.598445861828431236e-02,5.002890862004803763e-02,4.999809206911472875e-02,-6.160577401800920727e-02,-6.159748789914593764e-02
4.463716281924758533e+01,2.191196687578149740e-02,8.660832526876896531e-02,8.655496958779307359e-02,5.030354107394592600e-02,5.027255551054553295e-02,-6.160571839983589038e-02,-6.159718130945183306e-02
4.421792417370699724e+01,2.211512399725489714e-02,8.718232794886647541e-02,8.712861869931227965e-02,5.058077903155019234e-02,5.054962285616689671e-02,-6.160566116758995486e-02,-6.159686738684214125e-02
4.380253679829488078e+01,2.232016469295235520e-02,8.775950034722748705e-02,8.770543557847608473e-02,5.086062180318488835e-02,5.082929341689179648e-02,-6.160560228521211323e-02,-6.159654597681322313e-02
4.339096531392168998e+01,2.252710642645981351e-02,8.833987210179736205e-02,8.828544984503806925e-02,5.114306903763151529e-02,5.111156684188705723e-02,-6.160554171572716481e-02,-6.159621692096434176e-02
4.298317466650222229e+01,2.273596682327718235e-02,8.892347284845893152e-02,8.886869111669239152e-02,5.142812071739015500e-02,5.139644311383750191e-02,-6.160547942149943029e-02,-6.159588005700054880e-02
4.257913012397028751e+01,2.294676367231936881e-02,8.951033222480249407e-02,8.945518901284167657e-02,5.171577715402454062e-02,5.168392254429710758e-02,-6.160541536403529167e-02,-6.159553521270848264e-02
4.217879727332020678e+01,2.315951492743155080e-02,9.010047987384370294e-02,9.004497315831266890e-02,5.200603898362522737e-02,5.197400576914586179e-02,-6.160534950396830828e-02,-6.159518222384068042e-02
4.178214201767614355e+01,2.337423870891816580e-02,9.069394544769041056e-02,9.063807318702075955e-02,5.229890716236797188e-02,5.226669374416116620e-02,-6.160528180117213343e-02,-6.159482091431742190e-02
4.138913057338778145e+01,2.359095330508636720e-02,9.129075861115941437e-02,9.123451874558474728e-02,5.259438296216489145e-02,5.256198774066839219e-02,-6.160521221453878205e-02,-6.159445110289360481e-02
4.099972946715303834e+01,2.380967717380359783e-02,9.189094904534454711e-02,9.183433949689262521e-02,5.289246796643372328e-02,5.285988934131063965e-02,-6.160514070214610782e-02,-6.159407260738611334e-02
4.061390553316707042e+01,2.403042894406969693e-02,9.249454645113701357e-02,9.243756512361990529e-02,5.319316406594311319e-02,5.316040043589831399e-02,-6.160506722113648359e-02,-6.159368524155173913e-02
