dataset_id,family,split,gate_shuffled_R,gate_v17,jeroslow_wang,moms,progress_only,score_with_R,vsids,alpha,H,B,S,V,R_rob,G_gate,degree_cv,literal_imbalance,clustering_mean,largest_component_frac,delta_gate_vs_score_with_R,regret_gate_to_score_with_R,delta_gate_vs_moms,regret_gate_to_moms,delta_gate_vs_jeroslow_wang,regret_gate_to_jeroslow_wang,delta_gate_vs_vsids,regret_gate_to_vsids,delta_gate_vs_progress_only,regret_gate_to_progress_only,delta_gate_vs_gate_shuffled_R,regret_gate_to_gate_shuffled_R,delta_moms_vs_score_with_R
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,4.504,3.911999999999999,5.984,5.3919999999999995,6.28,5.364000000000001,1.84,3.3333333333333335,0.5868107302886312,0.8469540622870522,0.7597335072446649,0.6974999999954354,0.7024801194536454,0.0368413150931403,0.1807015805552357,0.7041269840245352,0.1357142857012441,1.0,1.4520000000000017,-1.4520000000000017,1.4800000000000004,-1.4800000000000004,2.072000000000001,-2.072000000000001,-2.071999999999999,2.071999999999999,2.368000000000001,-2.368000000000001,0.5920000000000005,-0.5920000000000005,-0.027999999999998693
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,9.312,8.987999999999998,14.903999999999998,4.208,8.24,5.3919999999999995,3.0239999999999996,3.3333333333333335,0.5884275907513312,0.8319256396665354,0.7597335072446649,0.6964999999942452,0.6986069246262756,0.0326232089427294,0.2020305088815806,0.6994444443421736,0.1328571428407003,1.0,-3.5959999999999983,3.5959999999999983,-4.779999999999998,4.779999999999998,5.916,-5.916,-5.963999999999999,5.963999999999999,-0.7479999999999976,0.7479999999999976,0.3240000000000016,-0.3240000000000016,1.1839999999999993
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,3.911999999999999,5.844,5.3919999999999995,3.32,5.3919999999999995,7.0,2.1359999999999997,3.3333333333333335,0.5867834024476579,0.8442895533747531,0.7597335072446649,0.6946666666627871,0.7007803229397603,0.0349291484794218,0.1844277783644825,0.7042063491037507,0.1276190476079629,1.0,1.1559999999999997,-1.1559999999999997,-2.5240000000000005,2.5240000000000005,-0.45200000000000085,0.45200000000000085,-3.7080000000000006,3.7080000000000006,-0.45200000000000085,0.45200000000000085,-1.9320000000000013,1.9320000000000013,3.68
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,9.804,3.911999999999999,13.372,8.592,9.588,8.524000000000001,4.9639999999999995,3.3333333333333335,0.5879333675870132,0.8391634426993846,0.7597335072446649,0.6958055555497646,0.7001979779716768,0.0342963149169615,0.1916629694726015,0.7008730157707908,0.1308730158564703,1.0,4.612000000000002,-4.612000000000002,4.6800000000000015,-4.6800000000000015,9.46,-9.46,1.0520000000000005,-1.0520000000000005,5.676,-5.676,5.892000000000001,-5.892000000000001,-0.06799999999999962
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,6.28,4.504,5.688,4.504,5.3919999999999995,5.688,2.1359999999999997,3.3333333333333335,0.587421715990514,0.841694042886566,0.7597335072446649,0.6899722222175968,0.6987341227621425,0.0327540145549503,0.1880801681458123,0.7023544972521046,0.1142063491931335,1.0,1.1840000000000002,-1.1840000000000002,0.0,0.0,1.1840000000000002,-1.1840000000000002,-2.368,2.368,0.8879999999999999,-0.8879999999999999,1.7760000000000007,-1.7760000000000007,1.1840000000000002
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,2452.932,2432.644,2418.068,2403.952,2426.424,2445.856,2510.66,5.1,0.5500000000225,1.0,0.7978840442882552,0.815789473683241,0.7655618129706282,0.2293427176589996,0.0,0.818181818107438,0.4736842105235456,1.0,13.212000000000444,-13.212000000000444,-28.691999999999553,28.691999999999553,-14.575999999999567,14.575999999999567,78.01600000000008,-78.01600000000008,-6.2199999999998,6.2199999999998,20.28800000000001,-20.28800000000001,41.903999999999996
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,1146.0120000000002,1189.18,825.4920000000001,887.216,455.772,1101.092,434.136,3.1666666666666665,0.5833333333680556,1.0,0.6821396416884449,0.8090909090880165,0.7532633737449972,0.1663108730406437,0.0,0.7142857141836735,0.4545454545371901,1.0,-88.08799999999997,88.08799999999997,-301.96400000000006,301.96400000000006,-363.688,363.688,-755.0440000000001,755.0440000000001,-733.4080000000001,733.4080000000001,-43.16799999999989,43.16799999999989,213.8760000000001
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,2413.82,2418.5,2410.748,2396.6319999999996,2425.068,2403.0240000000003,1121.756,3.642857142857143,0.5714285714591837,1.0,0.8852573387803092,0.8115384615363905,0.774028620663517,0.2815745163638924,0.0,0.74999999990625,0.4615384615325443,1.0,-15.475999999999658,15.475999999999658,-21.868000000000393,21.868000000000393,-7.751999999999953,7.751999999999953,-1296.744,1296.744,6.568000000000211,-6.568000000000211,-4.679999999999836,4.679999999999836,6.392000000000735
pigeon-hole_hole8,satlib_dimacs_pigeonhole,test,2452.572,2434.5640000000003,2412.884,2398.768,2420.9440000000004,2416.728,2484.276,4.125,0.5625000000273438,1.0,0.9941849731002634,0.8133333333317778,0.7705432720959485,0.2592218400280782,0.0,0.777777777691358,0.4666666666622222,1.0,-17.83600000000024,17.83600000000024,-35.79600000000028,35.79600000000028,-21.68000000000029,21.68000000000029,49.711999999999534,-49.711999999999534,-13.61999999999989,13.61999999999989,18.00799999999981,-18.00799999999981,17.960000000000036
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,2436.2439999999997,2453.572,2415.324,2401.2079999999996,2419.852,2428.8959999999997,2497.464,4.611111111111111,0.5555555555802469,1.0,0.9613187070413256,0.8147058823517301,0.7677905850290521,0.2424046179718122,0.0,0.79999999992,0.4705882352906574,1.0,-24.676000000000386,24.676000000000386,-52.36400000000049,52.36400000000049,-38.24800000000005,38.24800000000005,43.891999999999825,-43.891999999999825,-33.720000000000255,33.720000000000255,-17.32800000000043,17.32800000000043,27.688000000000102
