family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,structure_gate,runtime_s,compute_cost
planted_3sat,17,progress_only,18,83,4.611111111111111,1,1,0,6,25,2,2,5,0.5834836176213465,0.0009832499781623483,3.9
planted_3sat,17,maat_only,18,83,4.611111111111111,1,1,0,6,52,4,4,3,0.5834836176213465,0.0013873330317437649,6.008
planted_3sat,17,mode_a,18,83,4.611111111111111,1,1,0,7,43,3,3,4,0.5834836176213465,0.0012795000802725554,5.271999999999999
planted_3sat,17,mode_a_gated,18,83,4.611111111111111,1,1,0,7,56,4,4,5,0.5834836176213465,0.0015924579929560423,6.324
planted_3sat,17,random,18,83,4.611111111111111,1,1,0,9,8,0,0,9,0.5834836176213465,0.0013065420789644122,2.7319999999999998
random_3sat,18,vsids,22,86,3.909090909090909,1,1,0,7,43,2,2,5,0.6086329277301539,0.001320375013165176,4.271999999999999
random_3sat,18,progress_only,22,86,3.909090909090909,1,1,0,8,40,2,2,6,0.6086329277301539,0.0013816669816151261,4.5600000000000005
random_3sat,18,maat_only,22,86,3.909090909090909,1,1,0,20,151,13,13,6,0.6086329277301539,0.004808833939023316,19.604
random_3sat,18,mode_a,22,86,3.909090909090909,1,1,0,6,14,0,0,6,0.6086329277301539,0.0008871250320225954,1.8559999999999999
random_3sat,18,mode_a_gated,22,86,3.909090909090909,1,1,0,7,38,2,2,5,0.6086329277301539,0.0013490410055965185,4.252
random_3sat,18,random,22,86,3.909090909090909,1,1,0,11,102,8,8,6,0.6086329277301539,0.0027368749724701047,11.708
planted_3sat,19,vsids,22,86,3.909090909090909,1,1,0,8,60,4,4,5,0.6053065219826991,0.0016722920117899776,6.640000000000001
planted_3sat,19,progress_only,22,86,3.909090909090909,1,1,0,8,60,4,4,5,0.6053065219826991,0.001698667067103088,6.640000000000001
planted_3sat,19,maat_only,22,86,3.909090909090909,1,1,0,11,98,8,8,5,0.6053065219826991,0.0026113749481737614,11.692
planted_3sat,19,mode_a,22,86,3.909090909090909,1,1,0,8,29,2,2,7,0.6053065219826991,0.001475083059631288,4.516
planted_3sat,19,mode_a_gated,22,86,3.909090909090909,1,1,0,7,19,1,1,7,0.6053065219826991,0.0012611249694600701,3.176
planted_3sat,19,random,22,86,3.909090909090909,1,1,0,15,56,6,6,9,0.6053065219826991,0.002518624998629093,10.724
random_3sat,20,vsids,22,86,3.909090909090909,1,0,0,11,147,12,11,4,0.6183047919184846,0.002966958098113537,15.888
random_3sat,20,progress_only,22,86,3.909090909090909,1,0,0,11,147,12,11,4,0.6183047919184846,0.0030450409976765513,15.888
random_3sat,20,maat_only,22,86,3.909090909090909,1,0,0,22,256,23,22,6,0.6183047919184846,0.0061948749935254455,30.624000000000002
