family,instance_id,n_vars,n_clauses,alpha,structure_gate,clustering_mean,degree_cv,v_std,tail_degree_pressure,symmetry_penalty
random_3sat,24,22,94,4.2727272727272725,0.5246822782176312,0.7103326783069125,0.2406127014519717,0.10581983251814618,0.1882656350121772,0.12432011778725402
planted_3sat,25,22,94,4.2727272727272725,0.5603815716205902,0.6908864605307018,0.24853071583784841,0.12381465324697252,0.19772189978685298,0.10285424847523907
random_3sat,26,22,94,4.2727272727272725,0.6065555412506787,0.7277026437684374,0.29439032026805834,0.1379453718612256,0.23081882649821922,0.07269400450318485
planted_3sat,27,22,94,4.2727272727272725,0.5629397121333505,0.697368770555789,0.2583546893427806,0.11908915274643037,0.240275091272895,0.10185724009908297
random_3sat,28,22,94,4.2727272727272725,0.6253008253214554,0.7565537403683954,0.2799397780773175,0.15236060600241794,0.19772189978685298,0.06929582588961584
planted_3sat,29,22,94,4.2727272727272725,0.5415653941135905,0.7190632560590506,0.22020105950423993,0.12161019164086105,0.14571244352613516,0.1207028473083951
random_3sat,30,22,101,4.590909090909091,0.48105718771270223,0.7561051177857333,0.16805778291154716,0.10102777622627984,0.14201420136582632,0.18596681228272047
planted_3sat,31,22,101,4.590909090909091,0.5478778813877961,0.729417042514629,0.2589655227014237,0.1110831269438559,0.2168216821084699,0.10855261007472643
random_3sat,32,22,101,4.590909090909091,0.7028308181682735,0.7638097344793665,0.34051026162415143,0.18209854925574145,0.3092309230258526,0.039953491310521554
planted_3sat,33,22,101,4.590909090909091,0.45835793732659547,0.7421891603185317,0.15776129903431596,0.09412591182713212,0.14201420136582632,0.207382763589385
random_3sat,34,22,101,4.590909090909091,0.4998460969066812,0.7404598091273212,0.22848678454672341,0.09833321659864669,0.13761376132214156,0.1405942221921689
planted_3sat,35,22,101,4.590909090909091,0.6330264909847864,0.7407763496230125,0.3209475508880784,0.1502422819835526,0.23002300223952427,0.057454797488864506
random_3sat,36,26,101,3.8846153846153846,0.6343396089847868,0.6587574243290963,0.2518002581990201,0.1676134938973726,0.2000200019310314,0.07024399837469365
