galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual,morphology_proxy,vobs_max,median_gas_fraction_proxy,median_bulge_fraction_proxy,outer_residual_fraction_proxy
KK98-251,unknown,15,0.6021883168617831,0.6175983107508559,0.267162096660437,0.4295468364335806,0.6635132454869634,0.6676069214890005,141.18929890427407,3.549400989910217,40.0,5.275450273185501,dwarf_proxy,34.6,0.7718507620737459,0.0,0.6175983107508559
NGC0024,unknown,29,0.7551738570916152,0.7779664901795601,0.2479569857641122,0.3654321424160954,0.6159146031754743,0.539601515647482,1211.739916581852,2.06912486927503,5.234849253331126,2.884680805851904,dm_dominated_disk_proxy,110.0,0.061962301030898864,0.0,0.7779664901795601
NGC0055,unknown,21,0.5921138669544337,0.6747348463617718,0.2181871465662436,0.3590895077370333,0.6610394985652469,0.566663958490167,566.8588842649984,8.241697358024842,40.0,5.692828482390044,gas_rich_late_proxy,87.4,0.5994124499206102,0.0,0.6747348463617718
NGC0100,unknown,21,0.6625031519643316,0.7987177091235275,0.1917576822936945,0.3677187964474072,0.6319573296006753,0.4787606170794111,1145.035300403832,8.553501242169144,40.0,1.0695422733428837,dm_dominated_disk_proxy,91.2,0.13382887396325344,0.0,0.7987177091235275
NGC0247,unknown,26,0.7604148021530015,0.7528475992886102,0.2555285304085137,0.5667070740125667,0.6183767260312224,0.5306267334383756,372.8471599036367,2.170878385720377,23.532687018360203,1.4790061817131972,dm_dominated_disk_proxy,108.0,0.29216470885888834,0.0,0.7528475992886102
NGC0289,unknown,28,0.6077894647784046,0.7588776461693788,0.1206753367997528,0.1992418542483702,0.53162868408725,0.4067662650892227,3246.897986499175,3.061847267128411,19.71856749225275,2.7891964953709114,dm_dominated_disk_proxy,194.0,0.38861245877128625,0.0,0.7588776461693788
NGC0300,unknown,25,0.7825177971547599,0.824901354675203,0.2203551283408871,0.3867098823896508,0.5818785049508117,0.4838968645795501,637.6318352745243,0.8493580766264737,22.51502737868303,1.0183347652120078,dm_dominated_disk_proxy,97.0,0.26840625760602976,0.0,0.824901354675203
NGC0801,unknown,13,0.3719190642610069,0.5076953332739029,0.1344951979059744,0.254324078561929,0.6136723911787448,0.5420137676747934,19136.299571685373,270.68207924804994,40.0,7.539613708065378,disk_proxy,238.0,0.04515877327073264,0.0,0.5076953332739029
NGC0891,unknown,18,0.2392429881518816,0.4122454196711268,0.052843844322283,0.0963260006842013,0.5489205295876048,0.3669779465417848,14382.328698112002,327.5601131068795,40.0,5.233732342717254,bulge_proxy,234.0,0.012601939043501662,0.16499634298470298,0.4122454196711268
NGC1003,unknown,36,0.7505323754542017,0.8666540139105979,0.1694147961484223,0.3576358742010485,0.5357918894191687,0.4421889004103206,712.8382672129482,3.2504536273592906,30.68073468374589,2.779556642539951,gas_rich_late_proxy,115.0,0.5146731773928876,0.0,0.8666540139105979
NGC1090,unknown,24,0.4950169729911698,0.6256570230251517,0.102760418878128,0.209805954843442,0.5541721373273608,0.3849356804467072,7761.564848744033,192.4336636217016,40.0,5.447882165206534,disk_proxy,176.0,0.10057290397099235,0.0,0.6256570230251517
NGC1705,unknown,14,0.8546569373166409,0.9128372692927114,0.2752539406318796,0.5552360870651527,0.6984991395389889,0.465582957050621,275.4361881859271,0.1126076066194372,1.389738210743153,3.5160695890926825,dwarf_proxy,73.2,0.36146658119629393,0.0,0.9128372692927113
NGC2366,unknown,26,0.6316168619196474,0.6966016329835545,0.1811822524034932,0.3401656621509565,0.5816400211710853,0.5003615810837581,338.402290674318,8.45684337186375,40.0,4.7183460780197874,dwarf_proxy,53.7,0.7296972490383944,0.0,0.6966016329835545
NGC2403,unknown,73,0.6113141787326661,0.7503897257453893,0.1418420385672459,0.2998410717721473,0.5497469823786297,0.4280190379042743,822.0198059040993,19.267225793172,12.12511672472422,3.2187903534870954,dm_dominated_disk_proxy,136.0,0.07178222980942332,0.0,0.7503897257453893
NGC2683,unknown,11,0.5744094735086371,0.6997600289419332,0.1450042550016411,0.2103956030201903,0.6098968280304242,0.4521237375458394,2734.9356064502986,1.3569909767107928,7.1334144236004935,1.316076917886519,disk_proxy,212.0,0.04545452875866712,0.08495127475223846,0.6997600289419332
NGC2841,unknown,50,0.653528111110567,0.78106563588581,0.2018514250194105,0.3503766858365646,0.6219946776143965,0.508222102050956,5540.524402523947,3.95095136710842,11.099102173911993,8.715399076611112,bulge_proxy,323.0,0.07233732538003762,0.2631015693424669,0.78106563588581
NGC2903,unknown,34,0.3877956115500832,0.6455412967609466,0.0733661203183151,0.1431005062118619,0.511454334089661,0.3509348231839517,12882.439347004994,786.547498134399,40.0,2.4331938294352504,disk_proxy,216.0,0.03279960227012359,0.0,0.6455412967609466
NGC2915,unknown,30,0.8056495206010977,0.9244370536065236,0.1339701349002541,0.2097169445767163,0.4336664441167067,0.3844906058233528,3748.696353563197,16.855899077766246,40.0,2.6034154940429284,gas_rich_late_proxy,86.5,0.4746643735159519,0.0,0.9244370536065237
NGC2955,unknown,24,0.2383985593050502,0.375936620365237,0.0419889032570388,0.0898104679393003,0.5217681530329168,0.3837500478362807,19617.13569127471,48.805018783844226,40.0,2.182848963179174,bulge_proxy,276.0,0.01813710470360096,0.4087196416799743,0.375936620365237
NGC2976,unknown,27,0.3767075259436274,0.4281215669834,0.098461283413032,0.2016628168564881,0.5010666895463552,0.4740443341088238,1566.5632199936142,23.8631048980641,40.0,1.5359033321311415,disk_proxy,88.7,0.06968749132844565,0.0,0.42812156698339987
NGC2998,unknown,13,0.6183769535194982,0.610418933550939,0.2192397196669427,0.4179795768976578,0.6638309933933039,0.5393085184143376,5703.082015850467,2.6202410130077327,18.865847602107618,3.323345815508711,disk_proxy,214.0,0.04327246600091152,0.0,0.610418933550939
NGC3109,unknown,25,0.8581754070961091,0.8847003512955545,0.2774817200165959,0.5314614631870481,0.5934399998767532,0.5381262619934384,872.6351481215477,15.004653329386894,40.0,1.909406756434175,dwarf_proxy,67.3,0.6973410424417175,0.0,0.8847003512955545
NGC3198,unknown,43,0.5613371779047641,0.7177299324881569,0.1339113915744646,0.2411801182084525,0.5420195421155644,0.4135493539990236,2667.9695169555416,113.15637079607932,40.0,2.486119781190071,disk_proxy,157.0,0.016403463104842104,0.0,0.7177299324881569
NGC3521,unknown,41,0.251215767633711,0.3323367439915682,0.06051610383672,0.1568721592385114,0.5915231503421108,0.4314689100096053,2111.865762712662,1.6725810936552437,26.870060044702917,0.6236738291509711,disk_proxy,220.0,0.0035356871813247127,0.0,0.3323367439915682
NGC3726,unknown,12,0.4334231862930134,0.5975368722411306,0.1214510651204249,0.195565223299104,0.6418016835994769,0.5009047207011682,4099.510293288435,8.435576369407746,40.0,4.3860823298297555,disk_proxy,169.0,0.11821261121286739,0.0,0.5975368722411306
NGC3741,unknown,21,0.8530254291067078,0.9120970381402236,0.2423163230483939,0.3853031948961963,0.5843973853011649,0.4913986950141241,88.61271777046974,0.3838886226146829,26.870060044702917,1.0382548486076986,dwarf_proxy,51.6,0.825697390250987,0.0,0.9120970381402235
NGC3769,unknown,12,0.5756104627450703,0.7701207763487482,0.1234743623333946,0.2060797865302702,0.5724198080479062,0.4396404647554569,8406.25839674544,48.855295611325545,40.0,2.0152947144183586,dm_dominated_disk_proxy,126.0,0.25458208137182126,0.0,0.7701207763487482
NGC3877,unknown,13,0.3263116141436966,0.3078496117009255,0.1012186559215079,0.1862103052746753,0.6162519920850639,0.4842341785385774,8693.698020754293,61.45105345949923,40.0,3.296930479950708,disk_proxy,171.0,0.028813315891044314,0.0,0.3078496117009255
NGC3893,unknown,10,0.4840821823028646,0.6441863175752598,0.1522125462607144,0.2513325228068035,0.6923074768857937,0.5267932086149625,5759.502621763023,21.513184449559688,40.0,0.7864238389090961,disk_proxy,194.0,0.1365390276431055,0.0,0.6441863175752598
NGC3917,unknown,17,0.6229499438706995,0.6762951209964155,0.2002006141687999,0.3596522138311355,0.623361093750154,0.5213187628160231,9659.927181390472,137.94304013960846,40.0,1.2394979082325566,disk_proxy,138.0,0.07086264731839396,0.0,0.6762951209964155
NGC3949,unknown,7,0.2763717323725502,0.3745815891600093,0.1112419673526081,0.2237981089969165,0.7525519735259831,0.5542446886558264,3570.172199141195,2.337839877433447,30.68073468374589,1.219342272005801,disk_proxy,169.0,0.05603348517884643,0.0,0.3745815891600093
NGC3953,unknown,8,0.4092744432408652,0.4139515972610965,0.1918499277525375,0.3253113228071568,0.7459958918074339,0.6140607701209237,1152.7756071661186,0.4983399371630323,7.455838546382704,1.4738809677601226,disk_proxy,224.0,0.007307877126146505,0.0,0.4139515972610964
NGC3972,unknown,10,0.6077216592639894,0.6448638046183709,0.2080848421127866,0.3039194671312363,0.6292562705944118,0.5660478444164702,1023.7818627532932,4.003615780914556,40.0,1.23667895520538,disk_proxy,134.0,0.07416545410152597,0.0,0.6448638046183709
NGC3992,unknown,9,0.654842179225257,0.7051379777938822,0.2510110323461418,0.5009855995128442,0.7259730076270107,0.521878655603298,1992.823795633116,0.5088041860192107,11.600771931139898,2.359767808518354,disk_proxy,272.0,0.11330355617026505,0.0,0.7051379777938822
NGC4010,unknown,12,0.511738706010835,0.6288355940926701,0.1577795621200532,0.3732521521371556,0.6152893703688989,0.5270357729734523,1962.3965715724864,7.6602846274040415,40.0,1.635753892013774,disk_proxy,129.0,0.10733736073567487,0.0,0.6288355940926701
NGC4013,unknown,36,0.5622682585094778,0.7123193768001025,0.1112127462649065,0.3024372266527465,0.5415274957273917,0.3777884752799068,2124.301623722247,1.9166782295133376,40.0,2.1980894396577444,bulge_proxy,198.0,0.07319293367828986,0.22013278710449818,0.7123193768001025
NGC4051,unknown,7,0.2679603284714393,0.2882653190264911,0.0954802571034137,0.1435718325353809,0.7226630283206227,0.5585398263882839,1936.6824331675568,3.3094776750131554,20.60982957919629,2.8590899490163584,disk_proxy,161.0,0.020277352220636976,0.0,0.2882653190264911
NGC4068,unknown,6,0.3726912131478601,0.5716013221872803,0.1273060384391099,0.2071780967745695,0.6334029315178002,0.5523079218815873,384.0469424066043,11.729336682807686,40.0,4.499846746381794,dwarf_proxy,41.9,0.2843744413320323,0.0,0.5716013221872803
