galaxy,n_points,rho_Dstruct_nfw_radius,rho_Dstruct_rar_radius,rho_Dstruct_radius
NGC1705,14,-0.2175824175824176,0.3010989010989011,-0.8549450549450549
NGC2366,26,-0.1569230769230769,0.08512820512820513,-0.18974358974358974
NGC2403,73,-0.4533197581142787,0.39648895470813283,0.15515858324077503
NGC2683,11,0.03636363636363637,0.0,-0.5
NGC2841,50,-0.04403361344537814,0.3072749099639856,0.2670348139255702
NGC2903,34,0.8209650009635381,-0.46228057183799603,0.8151501510033118
NGC2915,30,0.4650127962916518,0.36711536549340934,0.1481811111627943
NGC2955,24,0.670145699686402,-0.49575995953439217,0.31789520212249184
NGC2976,27,-0.06902872393641588,-0.08735493383103954,0.1240073536202869
NGC2998,13,0.24175824175824176,0.34065934065934067,-0.24725274725274726
NGC3109,25,-0.1453846153846154,-0.3869230769230769,-0.5684615384615384
NGC3198,43,-0.3748678490120836,0.2720132941461574,0.518501742811637
NGC3521,41,0.30766550522648095,0.6621951219512197,0.055400696864111504
NGC3726,12,-0.04195804195804196,-0.013986013986013986,0.5034965034965035
NGC3741,21,-0.24545454545454545,0.05714285714285714,-0.06623376623376624
NGC3769,12,0.06293706293706294,-0.4055944055944056,0.034965034965034975
NGC3877,13,0.7895468267088467,-0.6767544228932972,-0.10178826685793495
NGC3893,10,0.6969696969696969,0.2606060606060606,-0.10303030303030303
NGC3917,17,0.17156862745098042,-0.2132352941176471,0.029411764705882353
NGC3949,7,0.642857142857143,-0.9642857142857145,0.7142857142857144
NGC3953,8,0.023809523809523815,-0.04761904761904763,-0.6190476190476191
NGC3972,10,0.18787878787878787,0.18787878787878787,0.2121212121212121
NGC3992,9,-0.03333333333333333,0.8333333333333333,-0.7333333333333334
NGC4010,12,-0.35664335664335667,-0.9230769230769231,0.23076923076923078
NGC4013,36,-0.3045045045045045,-0.21081081081081082,0.5230373230373231
NGC4051,7,0.5357142857142858,-0.28571428571428575,0.0
NGC4068,6,-0.48571428571428577,0.08571428571428573,0.942857142857143
NGC4085,7,0.9189562119494703,-0.9549937104572924,0.8108437164260032
NGC4088,12,0.9296005160692783,0.02816971260815995,0.9084732316131584
NGC4100,24,-0.2226086956521739,0.17304347826086955,-0.3078260869565217
NGC4138,7,-0.42857142857142866,0.0,0.21428571428571433
NGC4157,17,0.8890253050520981,-0.30533420821789303,0.8792153706515233
NGC4183,23,0.14031620553359686,-0.2806324110671937,-0.4535573122529644
NGC4214,14,0.1824175824175824,0.2879120879120879,-0.2879120879120879
NGC4217,19,0.956984523380828,-0.9442247297357503,0.956984523380828
NGC4389,6,0.6546536707079772,-0.6546536707079772,0.6546536707079772
NGC4559,32,-0.13013196480938416,0.44758064516129026,0.20307917888563048
NGC5005,18,0.9791981798470976,-0.4431940643610399,0.972941322467883
NGC5033,22,0.7720983081114483,0.4032759268409467,0.7105337758626202
NGC5055,28,0.9506503588678943,-0.03547408050157893,0.9523003161005258
NGC5371,19,0.5,-0.7228070175438598,-0.5263157894736842
NGC5585,24,-0.508695652173913,-0.33739130434782605,0.37739130434782603
NGC5907,19,0.03684210526315789,0.019298245614035085,-0.612280701754386
NGC5985,33,0.3542780748663102,-0.06417112299465241,-0.5755347593582888
NGC6015,44,-0.24186046511627904,0.3680056377730796,-0.3069767441860465
NGC6195,23,0.9050449531147362,0.10682497807255903,0.7645898893526678
NGC6503,31,-0.03951612903225807,0.1641129032258065,0.2830645161290323
NGC6674,15,-0.1857142857142857,0.6035714285714285,-0.6857142857142856
NGC6946,58,0.7290429767389954,-0.19094348945605064,0.7488540943819302
NGC7331,36,0.8227347178784218,-0.10779144699476649,0.8227347178784218
NGC7793,46,0.1990129644333534,-0.2196792208143743,0.24583591545781566
NGC7814,18,0.9994838709333603,0.6360351905939565,0.9994838709333603
PGC51017,6,0.5428571428571429,-0.3142857142857143,-0.2
UGC00128,22,-0.20045172219085267,0.1485036702428007,-0.6849237718802937
UGC00191,9,-0.09999999999999999,-0.5,-0.016666666666666666
UGC00731,12,0.0979020979020979,-0.07692307692307693,-0.8321678321678322
UGC00891,5,0.3,-0.7,-0.09999999999999999
UGC01230,11,0.08181818181818183,0.22727272727272727,0.15454545454545454
UGC01281,25,-0.4646153846153846,-0.01923076923076923,0.18923076923076923
UGC02023,5,0.6,-0.8999999999999998,0.7
UGC02259,8,-0.2142857142857143,0.5952380952380953,-0.9047619047619048
UGC02455,8,0.5773502691896258,-0.4123930494211612,0.5773502691896258
UGC02487,17,-0.29656862745098045,0.08333333333333334,-0.47794117647058826
UGC02885,19,0.30701754385964913,-0.6684210526315789,0.763157894736842
UGC02916,43,0.9054680294619118,-0.6784157536583951,0.6275536073684055
UGC02953,115,0.793433329266257,0.7379716071116932,0.7616653725746221
UGC03205,48,0.19089749511738835,0.23632860214418785,0.6409748421499115
UGC03546,30,0.930406276601434,0.26511704533876795,0.930406276601434
UGC03580,47,0.9346055558792562,-0.3441228031082681,0.8981123059663738
UGC04278,25,0.22384615384615386,0.04923076923076923,-0.08076923076923077
UGC04305,22,0.8557775685706495,-0.7683258462349627,-0.6502092342490999
UGC04325,8,0.8571428571428572,0.523809523809524,-0.8095238095238096
UGC04483,8,0.6190476190476191,-0.38095238095238104,-0.5000000000000001
UGC04499,9,-0.25,-0.3,0.19999999999999998
UGC05005,11,-0.3181818181818182,-0.27272727272727276,-0.4727272727272727
UGC05253,73,0.4072874244107121,0.5340923114895718,0.8171664815500432
UGC05414,6,0.3714285714285715,-0.942857142857143,0.08571428571428573
UGC05716,12,0.34965034965034975,-0.3636363636363637,-0.7062937062937064
UGC05721,23,0.3181818181818182,-0.28952569169960474,-0.17588932806324112
UGC05750,11,0.43636363636363645,-0.3454545454545455,0.9
UGC05764,10,0.16363636363636364,0.12727272727272726,-0.6727272727272726
UGC05829,11,0.26363636363636367,-0.6727272727272727,-0.7272727272727273
UGC05918,8,0.28571428571428575,-0.7619047619047621,-0.4285714285714286
UGC05986,15,-0.09285714285714285,0.06428571428571428,0.0
UGC05999,5,0.6,-0.3,-0.6
UGC06399,9,0.65,0.21666666666666667,-0.65
UGC06446,17,0.08578431372549021,0.25000000000000006,-0.6593137254901962
UGC06614,13,0.8516483516483516,-0.7527472527472527,0.8516483516483516
UGC06628,7,0.8829187134416479,-0.9549937104572924,-0.9549937104572924
UGC06667,9,0.45,-0.03333333333333333,-0.6
UGC06786,45,-0.5421607378129117,0.6379446640316205,0.8067193675889326
UGC06787,71,0.9403358610032891,0.7974330062097619,0.9316510639512869
