r_kpc,v_obs_km_s,v_baryon_km_s,v_dark_residual_km_s,residual_fraction,rho_residual_norm,slope_dlnv_dlnr,H,B,S_eff,V,R_resp,R_rob,structural_dark_support,structural_warning
8.830125523012553,199.00479627772245,146.68468560340895,134.48610318901683,0.45669655170195605,0.13467924182614494,0.10641753605810322,1.0,0.9038179235325182,0.7539723112554381,0.5305308224117958,0.7827033451841151,0.7754195418825415,0.18787763927727869,0.1134798482431276
8.94560669456067,199.2754307793144,145.82035897031875,135.82017604924798,0.46453780645004106,0.1330748543093354,0.10280298121583087,0.9999999999999816,0.9067802835439459,0.7546454863014819,0.5345924685985907,0.7855520534281029,0.7777087242437303,0.19313495012746418,0.11387841520905129
9.061087866108787,199.53384834269295,144.9383423643789,137.13727993186563,0.4723652108437402,0.1314571279746802,0.09930090733308816,1.0,0.9096690390495603,0.7555701378506063,0.5386367115433554,0.7883634012876396,0.7800340073958338,0.19846658278879337,0.11422207200047255
9.176569037656904,199.780600462876,144.03966546595686,138.4372171555125,0.48017450013086094,0.12982798128472317,0.09590831292700841,1.0,0.9124850940578674,0.7567388134592696,0.5426623505171255,0.7911372319445653,0.7823937454920454,0.20387039040294697,0.11451033574591146
9.292050209205021,200.01621373938406,143.1253256907934,139.71981571897126,0.48796155259220186,0.1281892734954667,0.09262225267463009,1.0,0.9152293919990188,0.7581441792116713,0.5466682911657196,0.7938734556225969,0.7847862980723055,0.20934418421304643,0.11474283174230242
9.407531380753138,200.2411910000684,142.1962890521493,140.98492810553714,0.49572239009017965,0.12654280218105707,0.08943983753232487,1.0,0.9179029126244237,0.7597790085360322,0.5506535254971948,0.7965720380032388,0.7872100241037228,0.21488572930261482,0.1149192948270938
9.523012552301255,200.45601237420826,141.25349100178647,142.23243011626062,0.503453178334828,0.12489030132032047,0.08635823478689986,0.9999999999999818,0.9205066689591211,0.7616361705739356,0.5546171144256214,0.7992329901400905,0.7896632769451858,0.22049274064926588,0.11503957039466207
9.638493723849374,200.6611363171656,140.29783725027224,143.46221973395032,0.5111502268798087,0.12323343988544576,0.08337466803857296,0.999999999999982,0.923041704316826,0.7637086182625648,0.5585581725890443,0.8018563596970554,0.7921444001207082,0.22616287948740788,0.11510361508007326
9.75397489539749,200.85700058878592,139.3302045670837,144.6742160193659,0.518809988861206,0.12157382087829703,0.08048641712056792,0.999999999999982,0.9255090893830397,0.7659893762640986,0.5624758551975315,0.8044422233582235,0.794651723802148,0.231893749979329,0.1151114971306167
9.869456066945608,201.04402318763164,138.35144156097888,145.86835804062514,0.5264290604919274,0.11991298076464323,0.07769081795780153,1.0,0.9279099193727717,0.7684715288550802,0.5663693466875462,0.8069906802721999,0.7971835619125823,0.23768289619219957,0.1150633964844879
