z,E_H_over_H0,Omega_m_z,Omega_L_z,D_growth_norm,sigma8_z,Gamma_inst,Gamma_prod,Gamma_coh,U_struct,CCI_cos_v02,CCI_cos_v02_normalized
2.113459399332591748e-01,1.115753554939443060e+00,4.497576503341439991e-01,5.502423496658558344e-01,8.950647042954675836e-01,7.258974751836242412e-01,1.115753554939443060e+00,1.211345939933259119e+00,8.950647042954675836e-01,1.097507691312659267e-01,7.914762342718258958e-01,1.582952469335128010e+00
2.224694104560623054e-01,1.122707653290838659e+00,4.565529880915399907e-01,5.434470119084598982e-01,8.898189088341903474e-01,7.216431350645283738e-01,1.122707653290838659e+00,1.222469410456062278e+00,8.898189088341903474e-01,1.157195878672136607e-01,8.102882687438174303e-01,1.620576538297923141e+00
2.335928809788654081e-01,1.129745472196781453e+00,4.633027714787090190e-01,5.366972285212910920e-01,8.846058196930309814e-01,7.174153197710482210e-01,1.129745472196781453e+00,1.233592880978865436e+00,8.846058196930309814e-01,1.216965746585692149e-01,8.294826937881435436e-01,1.658965388405769792e+00
2.447163515016685387e-01,1.136866600876168532e+00,4.700052644644003297e-01,5.299947355355997258e-01,8.794258838277122514e-01,7.132143917842747038e-01,1.136866600876168532e+00,1.244716351501668594e+00,8.794258838277122514e-01,1.276802442471954291e-01,8.490644759792128626e-01,1.698128952807490322e+00
2.558398220244716414e-01,1.144070620515815762e+00,4.766588249586845571e-01,5.233411750413153873e-01,8.742795093499944326e-01,7.090406820828455414e-01,1.144070620515815762e+00,1.255839822024471530e+00,8.742795093499944326e-01,1.336691325454465173e-01,8.690385616260367652e-01,1.738077124121112149e+00
2.669632925472747442e-01,1.151357104821118194e+00,4.832619036265417001e-01,5.167380963734583554e-01,8.691670672837322753e-01,7.048944915671069289e-01,1.151357104821118194e+00,1.266963292547274689e+00,8.691670672837322753e-01,1.396617973165631132e-01,8.894098754253468853e-01,1.778819751740103650e+00
2.780867630700778470e-01,1.158725620552774505e+00,4.898130425480111128e-01,5.101869574519890538e-01,8.640888932506748388e-01,7.007760924262973479e-01,1.158725620552774505e+00,1.278086763070077847e+00,8.640888932506748388e-01,1.456568188263809294e-01,9.101833191680498425e-01,1.820366639246283169e+00
2.892102335928810053e-01,1.166175728049287930e+00,4.963108737377729396e-01,5.036891262622272825e-01,8.590452890890931670e-01,6.966857294512546206e-01,1.166175728049287930e+00,1.289210233592881005e+00,8.590452890890931670e-01,1.516528004644719929e-01,9.313637704995860744e-01,1.862727541930536024e+00
3.003337041156841081e-01,1.173706981735006316e+00,5.027541175367723492e-01,4.972458824632278729e-01,8.540365244081334906e-01,6.926236212949963278e-01,1.173706981735006316e+00,1.300333704115684164e+00,8.540365244081334906e-01,1.576483693330879565e-01,9.529560817346190982e-01,1.905912164422194355e+00
3.114571746384872108e-01,1.181318930613513452e+00,5.091415808882046035e-01,4.908584191117955631e-01,8.490628380806121145e-01,6.885899616833764947e-01,1.181318930613513452e+00,1.311457174638487100e+00,8.490628380806121145e-01,1.636421768025208834e-01,9.749650787263491880e-01,1.949930158427663596e+00
3.225806451612903136e-01,1.189011118746231332e+00,5.154721555098363828e-01,4.845278444901638948e-01,8.441244396768226022e-01,6.845849205779032109e-01,1.189011118746231332e+00,1.322580645161290258e+00,8.441244396768226022e-01,1.696328990317191310e-01,9.973955597906035697e-01,1.994791120578602861e+00
3.337041156840934719e-01,1.196783085716135897e+00,5.217448159742585911e-01,4.782551840257414644e-01,8.392215108417595548e-01,6.806086452926670693e-01,1.196783085716135897e+00,1.333704115684093416e+00,8.392215108417595548e-01,1.756192374532242473e-01,1.020252294684742989e+00,2.040504590389738304e+00
3.448275862068965747e-01,1.204634367076531376e+00,5.279586177082642440e-01,4.720413822917359226e-01,8.343542066180580363e-01,6.766612615672451536e-01,1.204634367076531376e+00,1.344827586206896575e+00,8.343542066180580363e-01,1.815999192216836422e-01,1.043540023641275960e+00,2.087080048326091841e+00
3.559510567296996775e-01,1.212564494784871938e+00,5.341126949221006726e-01,4.658873050778994385e-01,8.295226567167902632e-01,6.727428745973169644e-01,1.212564494784871938e+00,1.355951056729699733e+00,8.295226567167902632e-01,1.875736976254101518e-01,1.067263456455985970e+00,2.134526913979235552e+00
3.670745272525027803e-01,1.220572997621646838e+00,5.402062584789000255e-01,4.597937415210998635e-01,8.247269667381782465e-01,6.688535700246626137e-01,1.220572997621646838e+00,1.367074527252502669e+00,8.247269667381782465e-01,1.935393524606197901e-01,1.091427271630235341e+00,2.182854544351898074e+00
3.781979977753058830e-01,1.228659401594390799e+00,5.462385937141120973e-01,4.537614062858879582e-01,8.199672193441602808e-01,6.649934148881140317e-01,1.228659401594390799e+00,1.378197997775305828e+00,8.199672193441602808e-01,1.994956903681638083e-01,1.116036115567017983e+00,2.232072232250072119e+00
3.893214682981090413e-01,1.236823230326905332e+00,5.522090582142806792e-01,4.477909417857191543e-01,8.152434753846536930e-01,6.611624585369542118e-01,1.236823230326905332e+00,1.389321468298108986e+00,8.152434753846536930e-01,2.054415451327281927e-01,1.141094601820225263e+00,2.282189204781545300e+00
4.004449388209121441e-01,1.245064005433810461e+00,5.581170795640195692e-01,4.418829204359804308e-01,8.105557749792767774e-01,6.573607335081934622e-01,1.245064005433810461e+00,1.400444938820912144e+00,8.105557749792767774e-01,2.113757779446164276e-01,1.166607310396497343e+00,2.333214621959601942e+00
4.115684093437152469e-01,1.253381246880574063e+00,5.639621530695335672e-01,4.360378469304665994e-01,8.059041385561970250e-01,6.535882563690758040e-01,1.253381246880574063e+00,1.411568409343715302e+00,8.059041385561970250e-01,2.172972776243786985e-01,1.192578787108947935e+00,2.385157575410474795e+00
4.226918798665183497e-01,1.261774473329186463e+00,5.697438394665449435e-01,4.302561605334550010e-01,8.012885678497116970e-01,6.498450285261162529e-01,1.261774473329186463e+00,1.422691879866518239e+00,8.012885678497116970e-01,2.232049608106662086e-01,1.219013542981939979e+00,2.438027087182893737e+00
