instance_id,n_vars,n_clauses,alpha,satisfiable,dpll_nodes,dpll_timed_out,solve_time_s,log_nodes,degree_cv,max_degree_norm,literal_imbalance,expansion_defect,interaction_cycle_density,backdoor_density,propagation_depth,contradiction_rate,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_MAAT,F_MAAT_primary,density_peak
297,36,170,4.721212606994062,True,30,False,0.0017666660714894533,3.4339872044851463,0.2197828434229495,1.411764705782699,0.24602599816784299,0.0,0.19439630271516545,0.3055555555555556,0.0,0.0,2.8398939804516217,0.5848043860667983,0.6735499292594882,0.5407860502624139,0.6122809913457895,0.6224584939035861,0.6009511467842322,2.546208163156722,2.036966530521192,0.4787604325285059
298,24,117,4.866006220079871,True,13,False,0.0005444999551400542,2.6390573296152584,0.26097550344437453,1.572649572542041,0.22337661123515998,0.0,0.24011665586511985,0.2916666666666667,0.0,0.0,3.0403009536340395,0.5681575299611721,0.6728926180914405,0.5392222286610088,0.5835781192875052,0.6065098293691312,0.5889390202009938,2.6471631502786637,2.1177305202184487,0.2803773508321469
299,35,180,5.151345508111336,False,21,False,0.001703792018815875,3.091042453358316,0.2598538155929509,1.749999999886574,0.2000207093273365,0.0,0.2000592329334814,0.2857142857142857,0.0,0.0,3.052608899990927,0.567166002924839,0.6873242974846301,0.5375088065941727,0.6139904247056327,0.6208849914863805,0.5989006265708801,2.5632979591702245,2.0506383673305217,0.06386219295896356
300,27,88,3.2641338672914144,True,21,False,0.0005435419734567404,3.091042453358316,0.33556416042553094,1.8409090907208159,0.25625197844284825,0.0,0.1887580706417817,0.25925925925925924,0.0,0.0,2.816658572095958,0.5867977628179926,0.6309941716090257,0.5366347281333893,0.6309452596788822,0.6158881190950329,0.5950398662072777,2.595634359842111,2.076507487870666,0.03225651759353896
301,36,121,3.3559488664746846,True,12,False,0.00040074996650218964,2.5649493574615367,0.28280890298465816,1.6859504130559386,0.2715690128381575,0.0,0.15412888997790883,0.2777777777777778,0.0,0.0,2.6243576944122258,0.6038321275093701,0.6389178698423651,0.5381263463437836,0.6533897852810171,0.6317004661500375,0.6068822868547538,2.4971021559068785,1.9976817247217125,0.05901194395727368
302,25,92,3.6946214151836108,True,14,False,0.000480332993902266,2.70805020110221,0.36455829643379783,1.9927536230079028,0.21774050783166746,0.0,0.21628688830772647,0.24,0.0,0.0,3.0161482957196526,0.5701133772272577,0.6424747582843726,0.5351810862268254,0.6155460677712924,0.6086383134433591,0.5893789962216941,2.6434292173878022,2.114743373906879,0.3306048167000145
303,27,106,3.9286443944977667,True,10,False,0.0003178339684382081,2.3978952727983707,0.2513757093083592,1.6132075470328406,0.28444398354184447,0.0,0.20373891001260971,0.25925925925925924,0.0,0.0,2.5797483459737376,0.607925985869607,0.6417212666377564,0.5388294262948214,0.6192390536569696,0.6228046207042904,0.6006572118082206,2.5486543427296207,2.03892347418077,0.6837370152971294
304,25,102,4.06468958016527,True,13,False,0.0003880830481648445,2.6390573296152584,0.2979775764476781,1.6339869279710795,0.2311088519135408,0.0,0.21153139919198988,0.28,0.0,0.0,2.964636873760344,0.5743300149746818,0.6562004058848276,0.5386284004461762,0.6071413919257679,0.6116400991453246,0.5925080766875602,2.6169538641714123,2.0935630913335794,0.8762664725591832
305,31,133,4.277365996257916,True,12,False,0.0005168329225853086,2.5649493574615367,0.2746848873735509,1.7092731828245928,0.24255456804147674,0.0,0.19375841939825014,0.25806451612903225,0.0,0.0,2.85586196931004,0.5834423181076022,0.6573175929747421,0.5379013135921399,0.6273649888952642,0.6219629101613258,0.5997897178784022,2.5558807686328455,2.044704614902408,0.9989563004836423
306,26,115,4.436419468478614,False,31,False,0.0012991669354960322,3.4657359027997265,0.24780489779571904,1.5072463766980044,0.23664977554376115,0.0,0.23166666666660232,0.2692307692307692,0.0,0.0,2.9038634760382727,0.579385732913619,0.6695688541421151,0.5398568638220137,0.5956926836719565,0.6136608757399199,0.5943140309493149,2.601737129993174,2.081389703990524,0.8978345319624271
