instance_id,family,theta,phi,T,gamma_z,gamma_x,gamma_y,gamma_m,gamma_p,hx,hy,hz,pointer_axis_x,pointer_axis_y,pointer_axis_z,pointer_robustness,fidelity_retention,probability_stability,purity_final,purity_loss,coherence_loss,entropy_final,decoherence_time_frac,H_stationarity,B_pop,B_stat,S_coh,V_align,R_resp_pop,R_rob_pop,F_scalar_pop,R_resp_stat,R_rob_stat,F_scalar_stat,lindblad_norm0,dpdt_norm0,purity_decay_pressure,h_misalignment,channel_conflict,damping_pressure,excitation_pressure,decoherence_pressure,coherence_exposure,transverse_hamiltonian_pressure,pointer_alignment_loss,B_stat_gain
3629,depolarizing,0.9820085012789717,2.850734278746351,1.4313896559708983,1.0051195334792207,1.3164024820260942,1.4330074622159232,0.09485776389209308,0.029613796868340828,-0.5696474339245547,0.15096522167044063,0.5465785226149135,0.5906514503515565,0.6429704801374422,0.487565201659665,0.6674909101950259,0.5036438474400837,0.9733105199344576,0.5000686966528269,0.49993130334717306,0.9905334936455382,0.9999008894100465,0.1,0.21664814051967135,0.9535472178281715,0.34520801318044436,1.0,0.046452782171828466,0.21250523493459023,0.21250523493459023,6.195154620449429,0.15145461851130762,0.15145461851130762,7.549876983080789,3.615779288948946,0.055867575139101344,5.100197099070677,0.9994316195252556,0.6305730656004433,0.02445417336799093,0.007634387455376627,5.552361962126177,5.552361962126177,0.9994316195252556,0.9535472178281715,-0.6083392046477272
3630,z_dephasing,2.135034889077167,6.12845078194545,0.8089951829901455,1.0618362292310832,0.1465971692463404,0.12467072666787649,0.002767655914030431,0.054584615737454024,-0.19465284797177276,-0.3459709326983686,1.0566395182135673,0.13860062644554721,0.11787022153581338,0.9833089429187555,0.6897453444969075,0.5899885828684283,0.8955136536178063,0.5421418286430744,0.45785817135692564,0.7862762743649826,0.9383179840423568,0.4666666666666667,0.362806761419757,0.5745209701634566,0.38975801734397747,1.0,0.4254790298365434,0.44595031245211963,0.44595031245211963,3.2301909598963556,0.3918467026957745,0.3918467026957745,3.7475383197933834,1.756288212729941,0.4574450540888052,1.859441109007299,0.5095155095303617,0.23633978627385555,0.0019904658069158265,0.039256618085454366,1.1248725272473326,1.1248725272473326,0.5095155095303617,0.5745209701634566,-0.18476295281947913
3631,x_dephasing,1.6046040308146088,6.201194825980742,1.2998050005548096,0.0753329178082952,2.444606258429669,0.13070061594961005,0.03969361941502557,0.05398516705751588,0.2672097987519293,0.14287704447735228,0.47367987880756174,0.9978886712838956,0.053352012634428674,0.03703731187757791,0.7021709614274139,0.71503223744338,0.7270809215055649,0.6011768011918417,0.3988231988081583,0.46876865696023884,0.8486619217507949,1.0,0.4952240448280717,0.011650745900697035,0.6692478142820667,1.0,0.988349254099303,0.17865779274497307,0.17865779274497307,6.889132291594343,0.6893393036547755,0.6893393036547755,1.4880866835085584,1.0192880584931467,0.1605006294721245,0.4948958786858717,0.8548005333675354,0.10921192701536009,0.014463925479438748,0.01967161082366261,3.5670790117878663,3.5670790117878663,0.8548005333675354,0.011650745900697035,0.6575970683813697
3632,amplitude_damping,0.8108764227953342,4.192749583341913,0.4688401360061286,0.2099057134692207,0.19429328261141637,0.010334400835217007,1.7356625007746658,0.024484786920580603,-0.179998064193919,0.10012869052190057,0.7580552300992585,0.09992917908095425,0.0053152027588219,0.9949803554783578,0.8667647127688781,0.8332779313292369,0.9227743128235766,0.8476982507733861,0.15230174922661388,0.6940581451165942,0.4128283451778366,0.6583333333333333,0.43748593624579235,0.35390903532482265,0.5221854175756739,1.0,0.6460909646751773,0.4642121160644172,0.4642121160644172,3.069654737118833,0.5284787160744393,0.5284787160744393,2.5510109863807164,1.2857877640166488,0.33672042016248555,0.6902506918076597,0.34677691256671755,0.19061805253994046,0.7981229212072773,0.011259026252782177,1.0195775879898534,1.0195775879898534,0.34677691256671755,0.35390903532482265,0.1682763822508513
3633,thermal_relaxation,2.2911360668402354,4.56720954558681,1.3639588043826234,0.18684318122744178,0.20414615819995102,0.1682160000799878,0.8444701651572181,0.6969663131576298,0.46066418156531974,0.17367821261931532,0.7270678677523573,0.26690111818171935,0.2199259536073685,0.9382943930575506,0.523457099557747,0.48761060520331223,0.5844722250063651,0.5005767880257543,0.49942321197424566,0.9524639745137299,0.9991677107143406,0.25,0.3969236478688797,0.18848949732683518,0.30692502859882304,1.0,0.8115105026731648,0.39303336989885984,0.39303336989885984,3.735443038873719,0.46239288337661494,0.46239288337661494,3.0853614084384113,1.5193762210165453,0.784610651052582,1.9682952668552585,0.27840736712626246,0.2662068967857155,0.4020057860185295,0.33178731719575505,2.8651889024093427,2.8651889024093427,0.27840736712626246,0.18848949732683518,0.11843553127198786
3634,mixed_zx,0.3966728789850552,1.6162523590994982,1.5616685918182853,1.576031907189767,1.6973072478112345,0.12607995130090277,0.4095008663047563,0.04470453246867368,-0.6329676290240002,0.0075524773331127944,0.9070771808946942,0.6528294540446695,0.048493698403685136,0.7559510997061062,0.583961981492128,0.5422383374136972,0.6779250863840227,0.503793550339143,0.49620644966085703,0.9115095578178177,0.9945201220298711,0.13333333333333333,0.25088494524434884,0.2954921252659286,0.1698438382930634,1.0,0.7045078747340714,0.3737966931530668,0.3737966931530668,3.9361729210227656,0.3107921802381204,0.3107921802381204,4.674523282105627,2.985890819499162,1.7154425952183578,4.162503537823457,0.9690980331981236,0.5595556221080212,0.10626382143740407,0.011600645680095834,6.018084354393601,6.018084354393601,0.9690980331981236,0.2954921252659286,-0.1256482869728652
3635,depolarizing,1.4435007757013925,5.958043645045508,0.8103414803566098,1.0518456536347403,0.83173639611421,1.0929174457577826,0.16210508694965117,0.07701547908988565,0.5479278617762822,0.3201186485303437,0.4938468394914742,0.4594606208538712,0.603739995647545,0.6514552598145769,0.6281825199918876,0.510253945523007,0.8513932384871536,0.5004527583992018,0.4995472416007982,0.9840900432853491,0.9993467090875943,0.2,0.23998477823999645,0.6767318727962599,0.25489850403018544,1.0,0.3232681272037401,0.3744447434774999,0.3744447434774999,3.9292441362298103,0.2704194696260683,0.2704194696260683,5.231123735813607,3.166930950095307,0.701947560504559,4.340671440217696,0.3012975062608376,0.6601223326121892,0.050411766266522114,0.02395042872398824,2.605750321018851,2.605750321018851,0.3012975062608376,0.6767318727962599,-0.42183336876607447
3636,z_dephasing,0.48537547851905016,5.879029095947838,1.1900029721674585,1.6789271802081605,0.0484357188364849,0.07246683118616469,0.1531606451998497,0.03402794784911688,-0.426769237196312,-0.28086167847677834,0.1571119504842343,0.02662963976740639,0.03984178734061428,0.9988510871332942,0.7429485442824387,0.706030837446853,0.8297378388674099,0.6634992130361252,0.33650078696387475,0.6386116303412838,0.7492115703139607,0.1,0.3600085861185339,0.11240302870547669,0.66680822372087,1.0,0.8875969712945233,0.32994044915177345,0.32994044915177345,4.435372390003999,0.5972780287249423,0.5972780287249423,2.06149025615875,1.7777115284432328,0.0728427975535573,1.01141705467477,0.9678826745847543,0.15505198897591188,0.07708064057473529,0.017125130376874312,2.364557710573134,2.364557710573134,0.9678826745847543,0.11240302870547669,0.5544051950153933
3637,x_dephasing,0.5693339861872477,4.392631451834922,1.3872085846500721,0.06556186715586003,2.2174989827124976,0.05896150589610078,0.05485463600461714,0.04135610850961166,0.2632386705800909,0.2685379790413723,0.48854252298064726,0.9985955893547678,0.02655184971383371,0.04584591800780043,0.6404354350872493,0.4946752459912119,0.9085193340022547,0.5007736346056948,0.4992263653943052,0.9933201880746765,0.998883593189909,0.11666666666666667,0.23700450074372434,0.8558146521529433,0.29094738797520564,1.0,0.14418534784705667,0.3080958251926965,0.3080958251926965,4.709377692907416,0.21502917821736303,0.21502917821736303,6.147926187670571,3.219329155615114,0.4303828781406026,4.503662198839667,0.8803742022000411,0.0905303589028903,0.022497699664604486,0.01696150729115627,3.3823378882232755,3.3823378882232755,0.8803742022000411,0.8558146521529433,-0.5648672641777377
3638,amplitude_damping,0.7949060717507993,2.146591813376784,1.4816543269379228,0.07173694788987338,0.07188026425459071,0.03505492040488154,1.1381069013543152,0.023333755270125878,0.3613378756061297,0.14032916320454622,0.35246478198081443,0.059800204265588124,0.029163657402552848,0.9977842535622119,0.7784136221460303,0.614469611387312,0.9867663408301234,0.8387373144122069,0.1612626855877931,0.44547399582590047,0.43129425009028205,0.275,0.48940195817063453,0.3069817847726186,0.5641459808295829,0.9999999999999999,0.6930182152273814,0.47044369571284783,0.47044369571284783,3.016315983676093,0.5762363049942895,0.5762363049942895,2.204949801961691,1.0433101733756054,0.3294291352304487,0.324950208602902,0.6936484709572417,0.133326190212817,0.8492620251546592,0.017411784632523766,1.985583912812355,1.9855839128123545,0.6936484709572417,0.3069817847726186,0.2571641960569643
3639,thermal_relaxation,1.6252796498381998,2.404102367857454,1.1638708571167222,0.18245489231714035,0.19117604358215676,0.17791160949213364,0.8485375307168317,0.17034229636934942,0.5460808791814727,-0.04358391214204353,0.2532868686158033,0.19321926389036087,0.17981306433327532,0.9645380127069874,0.6390978339743395,0.5128749517668229,0.8402712279516769,0.5904361887189413,0.4095638112810587,0.6513018907474736,0.8652793597311722,0.5083333333333333,0.421953236715487,0.9254068110130613,0.36465164136429706,1.0,0.0745931889869387,0.30767961929985027,0.30767961929985027,4.714784935758978,0.2255695933333279,0.2255695933333279,5.956506196668657,1.3699308667094692,0.6470618923099499,1.2806273001814317,0.8239741073727695,0.35120650031631717,0.5403244028700923,0.10846909681359046,1.8277688328071815,1.8277688328071815,0.8239741073727695,0.9254068110130613,-0.5607551696487643
3640,mixed_zx,1.7345710576464166,3.5339641737964427,1.3911983777651764,0.41196179743245137,0.24620496197373506,0.2494684746191786,0.02290916769921447,0.09659290004931934,0.25390049005231785,-0.2610402326784344,1.183194729191107,0.4686018636125335,0.4748133066936077,0.7449594735323141,0.5179741452833244,0.44261877694032425,0.6253496141364021,0.5186159457694771,0.4813840542305229,0.7203968881881612,0.9729736777186861,0.175,0.3369724443688242,0.27221264082539487,0.6314232612111951,1.0,0.7277873591746051,0.40566642214427384,0.40566642214427384,3.6088963085707184,0.536998605350181,0.536998605350181,2.4870391254808526,1.9676017036736588,0.05343405530245943,1.362444615738207,0.7062239307588696,0.5989223673593858,0.022303900031105106,0.09404088418665764,1.4289517481090686,1.4289517481090686,0.7062239307588696,0.27221264082539487,0.3592106203858002
3641,depolarizing,2.892234569242511,5.106571602411624,0.9027396224934078,1.068271578828881,1.3212228711248875,1.2142289338375607,0.15709992024323058,0.09983756783518562,0.41178700450233396,-0.010794229631763174,0.4984401892024411,0.6151259630309435,0.5653124530238811,0.5495833695276601,0.567571228872681,0.4977466909416432,0.6962735452504691,0.5000142837613011,0.4999857162386989,0.9961199926794139,0.9999793927902887,0.15833333333333333,0.20678121836389052,0.3969046968194069,0.15021317317822425,1.0,0.6030953031805931,0.3671648444972757,0.3671648444972757,4.007777455548733,0.2655838642080178,0.2655838642080178,5.303298460025131,3.8360291515461276,1.8913364272767588,5.355808268751374,0.5920185043817426,0.6577728749195245,0.04069249422653297,0.025860227340882072,3.4851715381370383,3.4851715381370383,0.5920185043817426,0.3969046968194069,-0.24669152364118263
3642,z_dephasing,0.005638183578952368,1.4098780111678488,1.5397239533701692,1.3490638616833388,0.06521981642426694,0.08848973627861385,0.1727531017593233,0.06469482811880947,0.6431984809510803,-0.13952239871187166,0.5196350707238263,0.043574389765386565,0.05912139086312872,0.9972993200132964,0.6181504759105384,0.6318039918481069,0.6293253455048536,0.5465640603985745,0.4534359396014255,0.0,0.9317386723229005,1.0,0.5024083068271454,0.002348138726003257,0.598574762564566,1.0,0.9976518612739967,0.1055811836647583,0.1055811836647583,8.993100390385173,0.6694498935338539,0.6694498935338539,1.605195832380316,0.990412949808276,0.2588623377793471,0.4368868872878867,0.7670527944171235,0.22477455752842224,0.09927076364094622,0.03717620653735887,2.679460488083831,2.679460488083831,0.7670527944171235,0.002348138726003257,0.5962266238385627
3643,x_dephasing,1.2590918959566078,1.3035227820344404,1.5394025777908802,0.17396452679089872,2.6558863650904474,0.1368809937645263,0.021340433011325145,0.07717781318431519,-0.3085327693539949,0.08787258017495203,0.228705406818325,0.9968590336648484,0.05137684238479945,0.060270117532256876,0.633122357307273,0.5069777187610929,0.8696661486060321,0.5016689727641019,0.49833102723589806,0.9833268786769123,0.9975908399501775,0.08333333333333333,0.20396561873810737,0.6837647421881549,0.26152365293639757,1.0,0.31623525781184514,0.3533116730574862,0.3533116730574862,4.161618739027061,0.25646380219341264,0.25646380219341264,5.443070983852963,3.902787078463473,0.4659296167970786,5.405390522766052,0.6789199089005967,0.13354987333179769,0.006962052717638489,0.02517830841277256,4.7186539546846005,4.7186539546846005,0.6789199089005967,0.6837647421881549,-0.4222410892517573
3644,amplitude_damping,0.3526714583242333,4.396589252768449,1.119541906492305,0.03889770362212955,0.033777647268883236,0.03783199142953623,1.3442493062758027,0.04543224223312404,0.34698290514166813,0.3488292065722318,0.8383839190261955,0.024770100410027158,0.027743265212085387,0.999308137343557,0.8069777938401614,0.75673579802308,0.8560021323374245,0.8600609900701525,0.13993900992984754,0.0,0.3868435858869719,1.0,0.4954415864692543,0.07396198299351553,0.7369994317733523,0.9999999999999996,0.9260380170064845,0.32375012156528776,0.32375012156528776,4.511133159838142,0.696673795918409,0.696673795918409,1.4457519567831247,1.0184014166563249,0.13791914756272447,0.23147101179554408,0.47376390480957864,0.07366228552197962,0.8960533666150152,0.030284347863005084,1.6795243310497618,1.6795243310497612,0.47376390480957864,0.07396198299351553,0.6630374487798367
3645,thermal_relaxation,0.4030190726993161,5.928970473866686,0.7436305085951798,0.2778339269217225,0.06117072969451134,0.11645201480700429,0.9759549452352466,0.19557663639402798,0.5442675894420365,0.28430899351036437,1.0899253711843073,0.052141087422344246,0.09926209340453485,0.993694290924208,0.7888246054133432,0.802217969439496,0.8089170921411121,0.6972975896280398,0.3027024103719602,0.17208311839957408,0.6928493167045563,1.0,0.5784272781097695,0.08024246266792834,0.4472889120566733,0.9999999999999991,0.9197575373320717,0.3494959306115042,0.3494959306115042,4.2050534414214145,0.6196837168958738,0.6196837168958738,1.9141842598116552,0.7288257968536327,0.4807458742933235,0.7834277415437155,0.4124183550342104,0.27993851254963165,0.5998537133530006,0.1202077740973676,1.209878102170186,1.209878102170185,0.4124183550342104,0.08024246266792834,0.367046449388745
3646,mixed_zx,1.8178034060147985,1.4713409507035133,1.3795383273546071,0.8704445273151188,0.929251255227715,0.09933003711918886,0.2172181416608896,0.1446281237430802,-0.6383540616147538,-0.2704910737195291,0.5111727153247083,0.6707963079657412,0.07170312850782648,0.7381673079876409,0.6643876120860845,0.49785742780897907,0.9727225726965754,0.5000399849186249,0.4999600150813751,0.9956878829459679,0.9999423131873075,0.13333333333333333,0.2594463153693426,0.9532819858375454,0.2730078746558749,1.0,0.046718014162454524,0.22607424501269513,0.22607424501269513,5.94756726044565,0.149016955097111,0.149016955097111,7.614780743986724,2.854361926768626,0.6837221683444656,3.701296201178556,0.9966668893195084,0.5889854798399664,0.09607714787851057,0.06397006035503404,3.118959694732616,3.118959694732616,0.9966668893195084,0.9532819858375454,-0.6802741111816706
3647,depolarizing,1.8368753730032237,1.0886060327908145,0.8391337919087124,0.44190807662306447,0.3863374716255771,0.5704625229012814,0.052415506913427466,0.10432031044377037,-0.6795066314340749,-0.0038978826818840237,0.9526515018605415,0.4702933508532949,0.69443103797987,0.5446004936036875,0.532124689627783,0.49541956374562934,0.5885887459595198,0.5227256444609099,0.47727435553909014,0.8153701288797639,0.9669608346119367,0.6333333333333333,0.3331756796027085,0.3391908984034431,0.25691086112798706,1.0,0.6608091015965569,0.42111220905521013,0.42111220905521013,3.4594238028769104,0.3838638879448023,0.3838638879448023,3.8298689896257483,2.001419554970034,1.1280295600327368,1.818118625297934,0.9857939462121851,0.6332477647830016,0.033698102064205517,0.06706787124104349,1.305225528348126,1.305225528348126,0.9857939462121851,0.3391908984034431,-0.08228003727545602
