dataset_id,family,split,policy,n_vars,n_clauses,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,search_cost,structural_update_s,support_evaluation_s,gate_calculation_s,arbitration_s,structural_overhead_s,total_cost,activations,activation_rate,audit_max_abs_error
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,state_gate_value_only_z_R,100,160,1,0,0,73,227,25,24,30,0.06845166708808392,47.808,0.004783898,0.021489042,0.000151669,0.000754757,0.027179366000000003,55.1176934951442,0,0.0,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,state_gate_response_only_0_5z_t,100,160,1,0,0,74,211,25,24,32,0.06745920807588845,48.044000000000004,0.004642579,0.021207198,0.000159293,0.000751793,0.026760863000000003,55.241140146519434,17,0.22972972972972974,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,Paper68_hard_threshold_0_5,100,160,1,0,0,71,244,28,27,32,0.06733516696840525,50.275999999999996,0.005055792,0.021241917,0.000143871,0.000719961,0.027161541,57.5808995905862,10,0.14084507042253522,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,closure_HBV,100,160,1,0,0,71,229,24,23,27,0.0691248329821974,46.215999999999994,0.004750077,0.022142002,0.000155413,0.000767462,0.027814954,53.69663028113073,6,0.08450704225352113,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,closure_HSV,100,160,1,0,0,80,337,37,36,31,0.08074337500147521,62.348,0.007758657,0.024250132,0.000168044,0.000850791,0.033027624000000005,71.23054009725129,3,0.0375,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,closure_BSV,100,160,1,0,0,73,228,25,24,30,0.06898220803122967,47.812,0.004899221,0.021514545,0.000146039,0.000769463,0.027329268,55.162008551584776,1,0.0136986301369863,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,closure_HBS,100,160,1,0,0,80,337,37,36,31,0.08052037504967302,62.348,0.00730188,0.024411171,0.000171248,0.000854625,0.032738923999999996,71.15289632469059,3,0.0375,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,jeroslow_wang,100,157,1,0,0,95,223,26,25,23,0.058539749938063323,55.392,0.00523053,0.0,0.0,0.000730544,0.005961073999999999,55.392,0,0.0,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,vsids,100,157,1,0,0,124,518,47,46,27,0.08826112502720207,86.27199999999999,0.011489669,0.0,0.0,0.000871713,0.012361381999999999,86.27199999999999,0,0.0,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,score_with_R_Paper69,100,157,1,0,0,188,199,28,27,36,0.1044137499993667,85.19600000000001,0.006449325,0.0,0.0,0.002016365,0.00846569,85.19600000000001,188,1.0,0.0
