galaxy,r_kpc,v_obs_km_s,e_v_obs_km_s,v_gas_km_s,v_disk_km_s,v_bulge_km_s,upsilon_disk,upsilon_bulge,v_baryon_km_s,v_residual_km_s,residual_fraction,H,B,S_eff,V,R_resp,R_rob,D_struct,v_nfw_like_km_s,v_rar_km_s,nfw_fractional_residual,rar_sigma_residual
DDO064,1.29,35.3,4.62,9.29,17.34,0.0,0.5,0.7,15.383169374351956,31.77181297943194,0.8100924491810383,1.0,0.337136135057517,0.5308694981543403,0.5341806922681019,0.5647173922901019,0.556058284915705,0.24062629635584482,28.50790608790621,34.436696699966525,0.15789179793042218,0.18686218615443118
DDO064,1.48,40.5,4.62,13.62,18.34,0.0,0.5,0.7,18.806440386208124,35.868757993551995,0.7843729919219631,1.0,0.3513423586933415,0.9985540788425554,0.5731142551776225,0.5861254436557471,0.5861254436557471,0.2634841023822436,30.437570336746408,39.7054930165925,0.21955318518251188,0.1719712085297622
DDO064,1.68,44.2,4.89,16.26,19.12,0.0,0.5,0.7,21.14650798595362,38.813209091751226,0.771106856943961,1.0,0.40299480785727343,0.9709632162350363,0.6381723488165765,0.6359346338316161,0.6359346338316161,0.31294284448680093,32.32032862928678,43.60533281753461,0.23641078054037876,0.12160883077001909
DDO064,1.88,46.3,4.62,18.16,19.54,0.0,0.5,0.7,22.818663413968835,40.28645678140484,0.7571050851569023,1.0,0.4796726511766308,0.9983188220459414,0.6377879504896243,0.6738146087475959,0.6738146087475959,0.32536654504485873,34.076009484324686,46.648237784387575,0.21543421745878077,0.07537614380683509
DDO064,2.08,46.4,4.62,19.64,19.1,0.0,0.5,0.7,23.835574253623513,39.809865611428535,0.7361146514565993,1.0,0.7820417441228016,0.981551678889141,0.4879798953700448,0.7253438866239953,0.7253438866239953,0.2605501614057649,35.723727219479926,48.874582486213114,0.14335645508889577,0.5356239147647437
DDO064,2.27,46.3,4.62,20.17,18.77,0.0,0.5,0.7,24.145089562890423,39.50575464410216,0.7280458695053855,1.0,0.8370096398920562,0.8942278291136271,0.4125195880229485,0.7015495413837328,0.7015495413837328,0.21069860619976954,37.20245671565236,50.17883835320681,0.08241950296918513,0.839575401127015
DDO064,2.37,46.4,6.73,20.59,18.61,0.0,0.5,0.7,24.435919258337716,39.44421186942389,0.7226543224212247,1.0,0.8237252604605416,0.890774220526345,0.43896563819311707,0.7124225156104684,0.7124225156104684,0.22599496665191846,37.95037398638109,50.996500709504886,0.05370047018700284,0.6829867324672938
DDO064,2.98,46.9,8.65,22.17,17.21,0.0,0.5,0.7,25.290333133432625,39.496949882237736,0.7092207482235486,1.0,0.95149689261764,0.5582540277500712,0.40510110626161544,0.7277634957890176,0.6810839830396026,0.19567958953863127,42.13201318449165,54.67389914845155,0.09778891938942746,0.8987166645608726
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,0.5,0.7,9.473945851650198,10.034159157597612,0.5286932892249528,1.0,0.6007466119032001,0.2709933166691583,0.8840436920038215,0.8098197296056656,0.6159293650614213,0.2878779739635822,16.416184403020036,21.215270681423313,0.8864039086009149,4.63454417588957
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,0.5,0.7,12.70837715839438,17.465885319673895,0.6538433427640603,1.0,0.586392729180661,0.29722190090205164,0.6257906871151191,0.715933290780247,0.5746780639497837,0.23514049169624088,22.971583997645638,29.20637247978193,0.47718733144909364,7.606372479781928
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,0.5,0.7,14.212957116659432,25.163502339698262,0.758134900204739,1.0,0.5707045352563738,0.49031169982173994,0.6239018293098931,0.7087763115013077,0.646397934208317,0.30574735478886794,27.668014017364793,34.00577444808947,0.15842380917984064,5.10577444808947
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,0.5,0.7,15.620761825211982,30.53656496726506,0.7925964521585394,1.0,0.6174971878252972,0.869485329564763,0.6529877450416683,0.7387769523374142,0.7387769523374142,0.3823582744422586,31.454690839097935,38.20812032294826,0.048377611185162456,3.908120322948264
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,0.5,0.7,16.430736441194593,34.48580722558195,0.8149933527041474,1.0,0.6332467202438115,0.9874830442529404,0.5946243358373985,0.7221130763970486,0.7221130763970486,0.34994674263262476,34.70605835833307,41.35447196450095,0.010443509478920808,3.1544719645009494
DDO154,2.96,42.0,0.2,16.2,9.16,0.0,0.5,0.7,17.446856450375236,38.2048059803999,0.8274417233560091,1.0,0.6092158812229079,0.8198240154615152,0.6107970442279949,0.7192657506686351,0.7192657506686351,0.36351616155803085,37.459085641909816,44.53044639145823,0.031986452875320724,2.530446391458227
DDO154,3.46,44.6,0.2,17.6,8.37,0.0,0.5,0.7,18.56848001318363,40.55085140906415,0.8266663063805828,1.0,0.6321150872021237,0.7054449307158651,0.5567149476952524,0.7060080930285846,0.7058672603165776,0.3248524584759101,39.92988380688063,47.73732245226986,0.025124137409264113,3.1373224522698564
DDO154,3.95,46.3,0.2,17.91,7.77,0.0,0.5,0.7,18.733780985161538,42.34070677256108,0.836284840625277,1.0,0.690401041574671,0.9981655091485813,0.5156136860255481,0.7087209836302274,0.7087209836302274,0.3056004238193168,42.08650886670938,49.45341720792256,0.010011345582799955,3.1534172079225655
DDO154,4.44,47.4,0.3,17.48,7.29,0.0,0.5,0.7,18.224227006926796,43.7565715064606,0.8521771573287756,1.0,0.6231471861585366,0.9984323907762184,0.571777675551305,0.7089342269595426,0.7089342269595426,0.3454323664900093,44.02784821688811,50.06708208403666,0.010599204458570356,2.6670820840366645
