galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual
F568-V1,unknown,15,0.8727503026148751,0.8809036744742559,0.2959877390502939,0.47159863714276207,0.6440279424464946,0.5222518958818391,1066.9318329865453,0.2886677246969804,8.513215225639529,2.32138042318285
F571-8,unknown,13,0.46290402797723534,0.7897357528157505,0.08905485446927451,0.17328090669484472,0.43448568258773435,0.35729507300373375,9959.091573408185,94.09997360717352,40.0,5.470376042635479
F571-V1,unknown,7,0.7775003736058581,0.8088066488146157,0.34872587632165974,0.4640432560741359,0.7089462998189803,0.6404149510774664,427.1394208936942,0.3829201898937784,32.06747718590482,0.7975711183891109
F574-1,unknown,14,0.7972629027384123,0.814325621677835,0.29450483094597707,0.44610942778848606,0.7000638261686353,0.5301430271813544,863.9646360558539,2.619835726603185,23.532687018360203,1.6350112119435334
F574-2,unknown,5,0.14038063019294503,0.0966653855452675,0.04218027778461504,0.1283165331150888,0.5888284269683615,0.5403726877777961,110.95428155702146,0.29441452777096033,40.0,4.386392505324629
F579-V1,unknown,14,0.8008248758105977,0.7541957989138132,0.33877422693839054,0.7295526148490451,0.7471361259118214,0.5495488443908486,593.9722348577064,0.20713157184288952,4.386397874286246,1.4381897368033145
F583-1,unknown,25,0.8350897232863769,0.8738959260785356,0.19316564227250324,0.32841010409397514,0.4889243425551492,0.4739127681335083,878.2954367446969,3.5286985381489724,40.0,1.5270110810618878
F583-4,unknown,12,0.7690992225164018,0.7809040088534261,0.2643409555454944,0.6212263214472361,0.6030720323949904,0.546092576634532,146.78575352729027,0.16168652839641157,29.353961188694857,0.9988651167293474
IC2574,unknown,34,0.7320097960528666,0.7603469182302218,0.21146962046578366,0.37280365987244124,0.5171075439747828,0.5503569318911992,736.5209807996075,50.258904167042886,40.0,7.127028801159668
IC4202,unknown,32,0.43143387776534514,0.5374452138026675,0.07983441927730921,0.18354558361477985,0.4619261164220222,0.3863314385706832,26747.584600106944,194.0928343313137,40.0,3.1710759244395095
