d_H,d_B,d_S,d_V,d_R,label,source,alpha,runtime,C_hat
0.5,0.020370370370370372,0.0,0.861904761904762,0.2658049361863335,sat,sat_hardness_atlas,3.0,7.009506225585938e-05,0.0390043176918474
0.5,0.03703703703703698,0.0,0.8620448179271709,0.22336369300108505,sat,sat_hardness_atlas,3.0,7.200241088867188e-05,0.0373868680705454
0.5,0.014814814814814836,0.0,0.8613445378151261,0.2537623466923863,sat,sat_hardness_atlas,3.0,9.083747863769533e-05,0.0391130355090202
0.5,0.0037037037037036535,0.0,0.8634453781512605,0.267629984525278,sat,sat_hardness_atlas,3.0,8.225440979003906e-05,0.0392666884786443
0.5,0.00925925925925919,0.0,0.8623249299719888,0.233100617480116,sat,sat_hardness_atlas,3.0,8.797645568847656e-05,0.0385987752738797
0.5,0.02592592592592602,0.0,0.8638655462184874,0.27553507517658593,sat,sat_hardness_atlas,3.0,8.58306884765625e-05,0.038448171243412
0.5,0.024074074074074026,0.0,0.8614845938375351,0.25741526889121913,sat,sat_hardness_atlas,3.0,7.700920104980469e-05,0.0387874337144183
0.5,0.020370370370370372,0.0,0.8628851540616247,0.2457621676451287,sat,sat_hardness_atlas,3.0,7.486343383789062e-05,0.0382849368467609
0.5,0.0018518518518519933,0.0,0.8609243697478992,0.23643877049559647,sat,sat_hardness_atlas,3.0,9.41753387451172e-05,0.0393573197214151
0.5,0.01851851851851838,0.0,0.8623249299719888,0.2366323252047955,sat,sat_hardness_atlas,3.0,7.486343383789062e-05,0.0383146229661343
0.5,0.011111111111111183,0.0,0.8620448179271709,0.23527097621028492,sat,sat_hardness_atlas,3.0,7.796287536621094e-05,0.0386524923676266
0.5,0.02962962962962956,0.0,0.8606442577030813,0.24044072013825635,sat,sat_hardness_atlas,3.0,8.797645568847656e-05,0.0384262946786432
0.5,0.007407407407407418,0.0,0.8621848739495799,0.23149755710939202,sat,sat_hardness_atlas,3.0,7.295608520507812e-05,0.0386751732664493
0.5,0.012962962962962954,0.0,0.8606442577030813,0.2452221494959862,sat,sat_hardness_atlas,3.0,7.987022399902344e-05,0.039192790825601
0.5,0.02592592592592602,0.0,0.861624649859944,0.2664161922224023,sat,sat_hardness_atlas,3.0,7.82012939453125e-05,0.0388754913159671
