d_H,d_B,d_S,d_V,d_R,label,source
0.5,0.0037037037037036,0.0,0.8623249299719888,0.2529171284720374,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8637254901960785,0.2783437117313648,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8630252100840337,0.2396884129732692,sat,sat_hardness_atlas
0.5,0.0370370370370369,0.0,0.8627450980392157,0.2691311762465619,sat,sat_hardness_atlas
0.5,0.0462962962962963,0.0,0.8612044817927171,0.2459416534148388,sat,sat_hardness_atlas
0.5,0.0222222222222223,0.0,0.8638655462184874,0.2667207247102368,sat,sat_hardness_atlas
0.5,0.0425925925925926,0.0,0.8647058823529412,0.2554359163887488,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.861764705882353,0.2402530733520421,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8635854341736695,0.2435878532113083,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8610644257703082,0.2402530733520421,sat,sat_hardness_atlas
0.5,0.0,0.0,0.8627450980392157,0.2300773335481225,sat,sat_hardness_atlas
0.5,0.0462962962962963,0.0,0.8620448179271709,0.2530866279994203,sat,sat_hardness_atlas
0.5,0.0296296296296295,0.0,0.8589635854341737,0.2598465895616443,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8621848739495799,0.2720817263637769,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0027777777777777,0.8638655462184874,0.2448608284672285,sat,sat_hardness_atlas
0.5,0.0425925925925926,0.0,0.8628851540616247,0.2296684845121643,sat,sat_hardness_atlas
0.5,0.062962962962963,0.0,0.8623249299719888,0.2529171284720374,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8606442577030813,0.2540988476279413,sat,sat_hardness_atlas
0.5,0.0481481481481481,0.0,0.8623249299719888,0.2554359163887488,sat,sat_hardness_atlas
0.5,0.0222222222222223,0.0,0.8612044817927171,0.247722410475065,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8614845938375351,0.233100617480116,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8630252100840337,0.2619165954916435,sat,sat_hardness_atlas
0.5,0.0,0.0,0.8600840336134454,0.2374035038553578,sat,sat_hardness_atlas
0.5,0.0166666666666668,0.0,0.861624649859944,0.2525774409246271,sat,sat_hardness_atlas
0.5,0.0277777777777777,0.0,0.8595238095238096,0.2419317100951358,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8623249299719888,0.2547691587434443,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8591036414565827,0.2300773335481225,sat,sat_hardness_atlas
0.5,0.0166666666666668,0.0,0.8613445378151261,0.2512094113150533,sat,sat_hardness_atlas
0.5,0.0444444444444444,0.0,0.8645658263305322,0.249478078320234,sat,sat_hardness_atlas
0.5,0.0351851851851852,0.0,0.8648459383753502,0.2430382642565698,sat,sat_hardness_atlas
0.5,0.0314814814814814,0.0,0.8630252100840337,0.2637978455223057,sat,sat_hardness_atlas
0.5,0.0018518518518519,0.0027777777777777,0.8610644257703082,0.2574152688912191,sat,sat_hardness_atlas
0.5,0.0555555555555555,0.0,0.8614845938375351,0.2391211523659686,sat,sat_hardness_atlas
0.5454545454545454,0.0114379084967319,0.0,0.8469187675070029,0.2330827067669173,sat,sat_hardness_atlas
0.5454545454545454,0.0179738562091503,0.0,0.8449579831932773,0.255939406708946,sat,sat_hardness_atlas
0.5454545454545454,0.0163398692810458,0.0,0.8436974789915967,0.2373476296568487,sat,sat_hardness_atlas
0.5454545454545454,0.0506535947712419,0.0,0.8441176470588236,0.2329276001954875,sat,sat_hardness_atlas
0.5454545454545454,0.0261437908496732,0.0,0.846358543417367,0.2577314291944507,sat,sat_hardness_atlas
0.5454545454545454,0.0065359477124183,0.0,0.8442577030812325,0.2670402806069665,sat,sat_hardness_atlas
0.5454545454545454,0.0424836601307188,0.0,0.846358543417367,0.2556813108260197,sat,sat_hardness_atlas
0.5454545454545454,0.0212418300653596,0.0,0.8466386554621849,0.2391309888147501,sat,sat_hardness_atlas
0.5454545454545454,0.0032679738562092,0.0,0.8452380952380953,0.2421910488714133,sat,sat_hardness_atlas
0.5454545454545454,0.0294117647058823,0.0,0.8446778711484594,0.2347759917525432,sat,sat_hardness_atlas
0.5454545454545454,0.0522875816993464,0.0,0.8415966386554622,0.2302600913847821,sat,sat_hardness_atlas
0.5454545454545454,0.0049019607843135,0.0,0.8441176470588236,0.2293044547844225,sat,sat_hardness_atlas
0.5454545454545454,0.0375816993464052,0.0,0.8413165266106443,0.2373476296568487,sat,sat_hardness_atlas
0.5454545454545454,0.0179738562091503,0.0,0.8446778711484594,0.2254045683345363,sat,sat_hardness_atlas
0.5454545454545454,0.0359477124183006,0.0,0.8445378151260505,0.2323051920790982,sat,sat_hardness_atlas
0.5454545454545454,0.045751633986928,0.0,0.8449579831932773,0.2355379775576348,sat,sat_hardness_atlas
0.5454545454545454,0.0163398692810458,0.0,0.8432773109243699,0.2520112129022742,sat,sat_hardness_atlas
0.5454545454545454,0.0310457516339868,0.0,0.8435574229691877,0.2394257173831723,sat,sat_hardness_atlas
0.5454545454545454,0.0114379084967319,0.0,0.846218487394958,0.2371978411938025,sat,sat_hardness_atlas
0.5454545454545454,0.0032679738562092,0.0,0.8431372549019608,0.2283412206518972,sat,sat_hardness_atlas
0.5454545454545454,0.0277777777777777,0.0,0.8438375350140056,0.2350813559133575,sat,sat_hardness_atlas
0.5454545454545454,0.0277777777777777,0.0,0.8457983193277311,0.2397197422010866,sat,sat_hardness_atlas
0.5454545454545454,0.0114379084967319,0.0,0.8466386554621849,0.2579853670195507,sat,sat_hardness_atlas
0.5454545454545454,0.0375816993464052,0.0,0.8453781512605043,0.2403056952045223,sat,sat_hardness_atlas
0.5454545454545454,0.068627450980392,0.0,0.8441176470588236,0.2361441688223575,sat,sat_hardness_atlas
