source_domain,target_domain,transfer,fit_rule,is_cross_domain,spearman,pearson,mutual_info,score_mean,score_std,quality_mean,quality_std,source_quality_label,target_quality_label,dominant_sector,v_weight
SAT-Frustration,Active-Significance,SAT-Frustration->Active-Significance,response_top20,True,0.9613320843327418,0.8430314722598384,1.4765905809738715,-0.3605686074030974,0.3374875477695782,0.42764126164245453,0.33842713239672106,1 - minmax(log DPLL nodes),minmax(active significance R_sig),V,0.8264498877807888
SAT-Frustration,Societal-CCI,SAT-Frustration->Societal-CCI,response_top20,True,0.37560788280031526,0.35360764534947986,0.11146274455703509,-0.7525317077400252,0.4286200094168244,0.3794947870383546,0.21856253280103527,1 - minmax(log DPLL nodes),minmax(societal constructive-impact ASI_soc),V,0.8264498877807888
SAT-Frustration,SAT-Frustration,SAT-Frustration->SAT-Frustration,v_only,False,0.16004437902688984,0.25338895659087857,0.028019694692181574,-0.7941427856881128,0.023603595092574675,0.6020963304392412,0.17777924688593708,1 - minmax(log DPLL nodes),1 - minmax(log DPLL nodes),V,1.0
SAT-Frustration,Quantum-Pointer,SAT-Frustration->Quantum-Pointer,v_only,True,0.603448095815005,0.477594073266966,0.33714878066661225,-0.8882786122772317,0.581453815437522,0.49155158461081316,0.1292109864594332,1 - minmax(log DPLL nodes),minmax(pointer robustness target),V,1.0
SAT-Frustration,Active-Significance,SAT-Frustration->Active-Significance,v_only,True,0.8334706917947551,0.6666956202810358,0.732198870585723,-0.200404448578027,0.2084598692070664,0.42764126164245453,0.33842713239672106,1 - minmax(log DPLL nodes),minmax(active significance R_sig),V,1.0
SAT-Frustration,Societal-CCI,SAT-Frustration->Societal-CCI,v_only,True,0.21345548399421932,0.2260212247609746,0.03302593386657904,-0.7071245896899391,0.48349187130010973,0.3794947870383546,0.21856253280103527,1 - minmax(log DPLL nodes),minmax(societal constructive-impact ASI_soc),V,1.0
Quantum-Pointer,SAT-Frustration,Quantum-Pointer->SAT-Frustration,equal,True,-0.2683245685215357,-0.3083069293516405,0.038168029956416216,-0.6398494682801088,0.016797553926516145,0.6020963304392412,0.17777924688593708,minmax(pointer robustness target),1 - minmax(log DPLL nodes),H,0.2
Quantum-Pointer,Quantum-Pointer,Quantum-Pointer->Quantum-Pointer,equal,False,0.3771438857143697,0.3830591116425921,0.20426266921623792,-0.6531833429929268,0.24158424530508318,0.49155158461081316,0.1292109864594332,minmax(pointer robustness target),minmax(pointer robustness target),H,0.2
Quantum-Pointer,Active-Significance,Quantum-Pointer->Active-Significance,equal,True,0.9985482573471512,0.7992870650673997,3.0308220391831058,-1.1230116341799419,1.2234646736480415,0.42764126164245453,0.33842713239672106,minmax(pointer robustness target),minmax(active significance R_sig),H,0.2
Quantum-Pointer,Societal-CCI,Quantum-Pointer->Societal-CCI,equal,True,0.9551051677402066,0.9093208036086022,1.4109513355889947,-0.9305120521420311,0.4173214287780572,0.3794947870383546,0.21856253280103527,minmax(pointer robustness target),minmax(societal constructive-impact ASI_soc),H,0.2
