transfer,source_domain,target_domain,fit_rule,n_null,real_spearman,shuffle_spearman_mean,shuffle_spearman_p95,shuffle_spearman_p_value_greater,real_mutual_info,shuffle_mi_mean,shuffle_mi_p95,shuffle_mi_p_value_greater
Quantum-Pointer->Societal-CCI,Quantum-Pointer,Societal-CCI,nnls,200,0.9156899476355976,0.0012396132351845293,0.024264000053759987,0.004975124378109453,0.8984113717245252,0.0029947379095109383,0.013248449773242835,0.004975124378109453
Quantum-Pointer->SAT-Frustration,Quantum-Pointer,SAT-Frustration,ridge_pos,200,-0.27457118052250357,-0.00022297288357924633,0.0813366040949274,1.0,0.05909358666716491,0.008097088436126696,0.04127616359774737,0.009950248756218905
Quantum-Pointer->Active-Significance,Quantum-Pointer,Active-Significance,ridge_pos,200,0.9989644540257835,-0.0011358237368298905,0.02175312232316116,0.004975124378109453,3.340965777720884,0.002749707355953319,0.011274538748053108,0.004975124378109453
Quantum-Pointer->Societal-CCI,Quantum-Pointer,Societal-CCI,ridge_pos,200,0.9199654135986165,0.00014275982827039325,0.022071949348477962,0.004975124378109453,1.0578218245492579,0.003157787662777083,0.013982741600110503,0.004975124378109453
Quantum-Pointer->SAT-Frustration,Quantum-Pointer,SAT-Frustration,response_top20,200,-0.12153470783142327,-0.002529799551295174,0.07207874749364541,0.9950248756218906,0.0012775037241130605,0.009414048419565224,0.03902327052451769,0.44776119402985076
Quantum-Pointer->Active-Significance,Quantum-Pointer,Active-Significance,response_top20,200,0.9984335410660753,0.0006614860398072792,0.024201093234017,0.004975124378109453,2.8203955162781416,0.0029393765773211024,0.012541487553744221,0.004975124378109453
Quantum-Pointer->Societal-CCI,Quantum-Pointer,Societal-CCI,response_top20,200,0.8797128973965157,-0.0024158106745524265,0.019739383456775332,0.004975124378109453,0.7962963393933373,0.003282414971097598,0.013402824428353987,0.004975124378109453
Quantum-Pointer->SAT-Frustration,Quantum-Pointer,SAT-Frustration,v_only,200,0.16004437902688984,-0.002075799855920435,0.06295200630318915,0.004975124378109453,0.028019694692181574,0.009871603130138075,0.03772871340666308,0.14427860696517414
Quantum-Pointer->Active-Significance,Quantum-Pointer,Active-Significance,v_only,200,0.8334706917947551,-0.000673862677589889,0.023913686865990134,0.004975124378109453,0.732198870585723,0.004055594871262729,0.015398067483589666,0.004975124378109453
Quantum-Pointer->Societal-CCI,Quantum-Pointer,Societal-CCI,v_only,200,0.21345548399421932,0.0007229222185168888,0.022028375892335028,0.004975124378109453,0.03302593386657904,0.003107330192771447,0.013793654295162083,0.004975124378109453
Active-Significance->SAT-Frustration,Active-Significance,SAT-Frustration,nnls,200,-0.019901805868639672,-0.0010085282427084652,0.07704866499767261,0.6865671641791045,0.03365049202879611,0.009820670284021898,0.04322231077271249,0.0945273631840796
Active-Significance->Quantum-Pointer,Active-Significance,Quantum-Pointer,nnls,200,0.5517824457898207,-6.547989805666822e-05,0.027903615642277647,0.004975124378109453,0.27227111677253024,0.003954703088232448,0.01713700416046383,0.004975124378109453
Active-Significance->Societal-CCI,Active-Significance,Societal-CCI,nnls,200,0.2824196227847849,0.00031063182618527277,0.023475685251027372,0.004975124378109453,0.09412226051825723,0.0030011623090877926,0.012392037226493485,0.004975124378109453
Active-Significance->SAT-Frustration,Active-Significance,SAT-Frustration,ridge_pos,200,-0.04669051788799578,0.0015514563980054755,0.07086263248096233,0.8855721393034826,0.04240828657002105,0.009991990515187963,0.04169813621371651,0.05472636815920398
Active-Significance->Quantum-Pointer,Active-Significance,Quantum-Pointer,ridge_pos,200,0.5300960470982197,-8.39779660390172e-06,0.025818352577591453,0.004975124378109453,0.2649285275958464,0.0037957783417832537,0.013796392672512193,0.004975124378109453
Active-Significance->Societal-CCI,Active-Significance,Societal-CCI,ridge_pos,200,0.36392303391692127,0.00070188274535531,0.023822964842518588,0.004975124378109453,0.14681904352757247,0.003721369979420137,0.014947209031612856,0.004975124378109453
Active-Significance->SAT-Frustration,Active-Significance,SAT-Frustration,response_top20,200,-0.22300027371956424,-0.0019904270620396862,0.061491496538488455,1.0,0.02466150879965623,0.008710786318537991,0.04122561486848979,0.12437810945273632
Active-Significance->Quantum-Pointer,Active-Significance,Quantum-Pointer,response_top20,200,0.41462419422005087,0.0019404484914651832,0.027559879791477046,0.004975124378109453,0.19288289104129852,0.0035810237320533967,0.0152563031225569,0.004975124378109453
Active-Significance->Societal-CCI,Active-Significance,Societal-CCI,response_top20,200,0.555539700429588,-0.0019959827977593116,0.023449414600376577,0.004975124378109453,0.35946784313401636,0.003378058211616386,0.013127761345075668,0.004975124378109453
Active-Significance->SAT-Frustration,Active-Significance,SAT-Frustration,v_only,200,0.16004437902688984,0.000645938539533934,0.06507666381809976,0.004975124378109453,0.028019694692181574,0.008578231067876625,0.03677090768727222,0.13432835820895522
Active-Significance->Quantum-Pointer,Active-Significance,Quantum-Pointer,v_only,200,0.603448095815005,0.00013421141153912412,0.026544950145943432,0.004975124378109453,0.33714878066661225,0.004659527579742581,0.015976310501945874,0.004975124378109453
Active-Significance->Societal-CCI,Active-Significance,Societal-CCI,v_only,200,0.21345548399421932,-0.0024870306582012256,0.021941876173675025,0.004975124378109453,0.03302593386657904,0.003535730251254754,0.01399874852868521,0.004975124378109453
Societal-CCI->SAT-Frustration,Societal-CCI,SAT-Frustration,nnls,200,-0.2567986603446582,-0.0037082312883207143,0.056595700218526855,1.0,0.019978765694252054,0.010902308720260077,0.03854054320022495,0.24378109452736318
Societal-CCI->Quantum-Pointer,Societal-CCI,Quantum-Pointer,nnls,200,0.37709074509195595,0.0005759250298714313,0.02652140302332153,0.004975124378109453,0.2052463976062775,0.004090376696653717,0.016883754863147873,0.004975124378109453
Societal-CCI->Active-Significance,Societal-CCI,Active-Significance,nnls,200,0.997671682655283,0.0006562627896596497,0.019845724985917364,0.004975124378109453,2.8076836819351327,0.003450704903704289,0.013974447418854783,0.004975124378109453
Societal-CCI->SAT-Frustration,Societal-CCI,SAT-Frustration,ridge_pos,200,-0.2593871909968288,0.002683339692218688,0.07227972761020938,1.0,0.027506888706870125,0.00837347656631723,0.039922296143840644,0.11940298507462686
Societal-CCI->Quantum-Pointer,Societal-CCI,Quantum-Pointer,ridge_pos,200,0.3772221931726572,-0.0010981589052724474,0.02207872414870051,0.004975124378109453,0.20567803686537012,0.003906915641316408,0.016045607877177702,0.004975124378109453
Societal-CCI->Active-Significance,Societal-CCI,Active-Significance,ridge_pos,200,0.9975867832083979,-0.001471337895474536,0.0213175937608514,0.004975124378109453,2.7952300891711697,0.002695640874797989,0.011694892611997916,0.004975124378109453
Societal-CCI->SAT-Frustration,Societal-CCI,SAT-Frustration,response_top20,200,-0.26573026392674204,-0.0011861253351349705,0.06399802818362718,1.0,0.045040155217674904,0.010292686733095295,0.041860116298687466,0.03980099502487562
Societal-CCI->Quantum-Pointer,Societal-CCI,Quantum-Pointer,response_top20,200,0.3852328508528275,-0.0023504112029490197,0.02688332722312875,0.004975124378109453,0.20375551341924414,0.004111148644762448,0.015643975684614106,0.004975124378109453
Societal-CCI->Active-Significance,Societal-CCI,Active-Significance,response_top20,200,0.9977246194345827,-0.0004215898533046575,0.019929923839686038,0.004975124378109453,2.821702940333086,0.0036927652349923656,0.014444097092552918,0.004975124378109453
Societal-CCI->SAT-Frustration,Societal-CCI,SAT-Frustration,v_only,200,0.16004437902688984,-0.00140580833446906,0.06860117402609944,0.004975124378109453,0.028019694692181574,0.010297263238333094,0.03856262449332615,0.15422885572139303
Societal-CCI->Quantum-Pointer,Societal-CCI,Quantum-Pointer,v_only,200,0.603448095815005,0.0027450455260095473,0.028062272280302093,0.004975124378109453,0.33714878066661225,0.0036766294135255426,0.015212667679302381,0.004975124378109453
Societal-CCI->Active-Significance,Societal-CCI,Active-Significance,v_only,200,0.8334706917947551,1.5758382045503276e-05,0.01812763959621407,0.004975124378109453,0.732198870585723,0.002525374351874108,0.011136961867574326,0.004975124378109453
