set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
jittered_zero,6,37.51017958860205,-0.01,0.49,HBR,10.0,0.002,0.24374705429397728,0.8689559086158688,0.9090909090909091,0.992057726437119
jittered_zero,6,37.51017958860205,-0.005,0.495,HBR,10.0,0.002,0.1957354479932208,0.8701920379527224,0.9523809523809523,0.9921272284706433
jittered_zero,6,37.51017958860205,-0.002,0.498,HBR,10.0,0.002,0.16612368912010103,0.8706990558073804,0.9803921568627451,0.992168641858378
jittered_zero,6,37.51017958860205,0.0,0.5,HBR,10.0,0.002,0.14601776704935374,0.870939043528588,1.0,0.9921961315279826
jittered_zero,6,37.51017958860205,0.002,0.502,HBR,10.0,0.002,0.16560704582985605,0.8711008257169223,0.9803921568627451,0.992223526169063
jittered_zero,6,37.51017958860205,0.005,0.505,HBR,10.0,0.002,0.19444201098860572,0.8711978172307685,0.9523809523809523,0.9922644406541471
jittered_zero,6,37.51017958860205,0.01,0.51,HBR,10.0,0.002,0.24114718480551678,0.8709770801973388,0.9090909090909091,0.9923321608527587
jittered_zero,6,37.51017958860205,0.02,0.52,HBR,10.0,0.002,0.33010287245994374,0.8691681754282807,0.8333333333333333,0.9924658542767644
jittered_zero,6,37.51017958860205,0.05,0.55,HBR,10.0,0.002,0.5693712412647707,0.8549316273080342,0.6666666666666665,0.9928533080750632
known_zero,7,40.9187190121475,-0.05,0.45,HBR,10.0,0.002,0.4872320772451572,0.9275224294682839,0.6666666666666666,0.9934925983805438
known_zero,7,40.9187190121475,-0.02,0.48,HBR,10.0,0.002,0.21841895370703793,0.9705173092650679,0.8333333333333333,0.9938476479093483
known_zero,7,40.9187190121475,-0.01,0.49,HBR,10.0,0.002,0.1163017152389495,0.9851763566587973,0.9090909090909091,0.993961382290428
known_zero,7,40.9187190121475,-0.005,0.495,HBR,10.0,0.002,0.062250908293846434,0.9925675724503821,0.9523809523809523,0.9940174089322616
