set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
random_critical_line,28,81.56375628658915,-0.002,0.498,HBR,10.0,0.001,1.5690257649562878,0.2145175136581164,0.9803921568627451,0.9901892005211851
random_critical_line,28,81.56375628658915,0.0,0.5,HBR,10.0,0.001,1.5471685623370843,0.214950141777553,1.0,0.9902286668705753
random_critical_line,28,81.56375628658915,0.002,0.502,HBR,10.0,0.001,1.564921273631552,0.21538267685725912,0.9803921568627451,0.9902679600939444
random_critical_line,28,81.56375628658915,0.005,0.505,HBR,10.0,0.001,1.5908426622450642,0.21603129800434756,0.9523809523809523,0.9903265770367133
random_critical_line,28,81.56375628658915,0.01,0.51,HBR,10.0,0.001,1.6322756591093581,0.2171118226613076,0.9090909090909091,0.9904234173994282
random_critical_line,28,81.56375628658915,0.02,0.52,HBR,10.0,0.001,1.7091998284385994,0.21927077837589162,0.8333333333333333,0.9906139370013255
random_critical_line,28,81.56375628658915,0.05,0.55,HBR,10.0,0.001,1.9027706712412913,0.2257273735388865,0.6666666666666665,0.9911610517510957
random_critical_line,29,119.75687489087834,-0.05,0.45,HBR,10.0,0.001,1.7817254253995658,0.25489584684143146,0.6666666666666666,0.9906836126933947
random_critical_line,29,119.75687489087834,-0.02,0.48,HBR,10.0,0.001,1.5236692855420604,0.2637626232024927,0.8333333333333333,0.9913952407910743
random_critical_line,29,119.75687489087834,-0.01,0.49,HBR,10.0,0.001,1.4253972193043196,0.26668913772871694,0.9090909090909091,0.9916198484262796
random_critical_line,29,119.75687489087834,-0.005,0.495,HBR,10.0,0.001,1.3733167459867406,0.26814642683386536,0.9523809523809523,0.991729884199462
random_critical_line,29,119.75687489087834,-0.002,0.498,HBR,10.0,0.001,1.3410151945538948,0.26901882667064064,0.9803921568627451,0.9917951916360846
random_critical_line,29,119.75687489087834,0.0,0.5,HBR,10.0,0.001,1.3190124747368064,0.26959958967102404,1.0,0.9918384350987935
random_critical_line,29,119.75687489087834,0.002,0.502,HBR,10.0,0.001,1.3366223960465835,0.2701796750897906,0.9803921568627451,0.9918814441892537
random_critical_line,29,119.75687489087834,0.005,0.505,HBR,10.0,0.001,1.3623346974199209,0.27104851774476646,0.9523809523809523,0.9919455211529173
random_critical_line,29,119.75687489087834,0.01,0.51,HBR,10.0,0.001,1.403432748631802,0.2724931042978977,0.9090909090909091,0.9920511621240051
random_critical_line,29,119.75687489087834,0.02,0.52,HBR,10.0,0.001,1.4797373565774137,0.2753688346784614,0.8333333333333333,0.9922581865534671
random_critical_line,29,119.75687489087834,0.05,0.55,HBR,10.0,0.001,1.671843396923006,0.2838812865566438,0.6666666666666665,0.992846553049085
random_critical_line,30,17.246610081763357,-0.05,0.45,HBR,10.0,0.001,1.5998444257884163,0.30363684134630653,0.6666666666666666,0.9975465893722046
random_critical_line,30,17.246610081763357,-0.02,0.48,HBR,10.0,0.001,1.3659461626119558,0.3068991124929326,0.8333333333333333,0.9976144533314497
random_critical_line,30,17.246610081763357,-0.01,0.49,HBR,10.0,0.001,1.2753929193170663,0.30798118642035993,0.9090909090909091,0.9976366385535418
random_critical_line,30,17.246610081763357,-0.005,0.495,HBR,10.0,0.001,1.2271100035833278,0.30852119983778736,0.9523809523809523,0.9976476506137758
random_critical_line,30,17.246610081763357,-0.002,0.498,HBR,10.0,0.001,1.1970672925001244,0.308844877773518,0.9803921568627451,0.9976542322276092
random_critical_line,30,17.246610081763357,0.0,0.5,HBR,10.0,0.001,1.1765622837348888,0.3090605249228005,1.0,0.9976586093296603
random_critical_line,30,17.246610081763357,0.002,0.502,HBR,10.0,0.001,1.1956633833478119,0.30927606122809537,0.9803921568627451,0.9976629779391039
random_critical_line,30,17.246610081763357,0.005,0.505,HBR,10.0,0.001,1.2236002283839862,0.3095991572348969,0.9523809523809523,0.9976695149666527
random_critical_line,30,17.246610081763357,0.01,0.51,HBR,10.0,0.001,1.2683733523573573,0.3101370923622331,0.9090909090909091,0.9976803677888689
random_critical_line,30,17.246610081763357,0.02,0.52,HBR,10.0,0.001,1.3519068962078549,0.31121085355916117,0.8333333333333333,0.9977019160387726
random_critical_line,30,17.246610081763357,0.05,0.55,HBR,10.0,0.001,1.5647439416907634,0.31441495484517945,0.6666666666666665,0.9977653202913723
random_critical_line,31,74.17271923470066,-0.05,0.45,HBR,10.0,0.001,1.9394052086501572,0.21775631926571432,0.6666666666666666,0.9904841077798245
random_critical_line,31,74.17271923470066,-0.02,0.48,HBR,10.0,0.001,1.6860783817606038,0.22430677146816475,0.8333333333333333,0.9910243474388498
random_critical_line,31,74.17271923470066,-0.01,0.49,HBR,10.0,0.001,1.5892194838923244,0.22648712052949185,0.9090909090909091,0.9911968710372547
random_critical_line,31,74.17271923470066,-0.005,0.495,HBR,10.0,0.001,1.5378154671985518,0.2275764985766075,0.9523809523809523,0.9912817627667793
random_critical_line,31,74.17271923470066,-0.002,0.498,HBR,10.0,0.001,1.5059102149892278,0.22822984411065525,0.9803921568627451,0.9913322652053932
random_critical_line,31,74.17271923470066,0.0,0.5,HBR,10.0,0.001,1.4841677208360589,0.22866528450853246,1.0,0.9913657545811488
random_critical_line,31,74.17271923470066,0.002,0.502,HBR,10.0,0.001,1.5020346976467656,0.22910062287570238,0.9803921568627451,0.9913991015650562
random_critical_line,31,74.17271923470066,0.005,0.505,HBR,10.0,0.001,1.5281266550758292,0.22975343276509647,0.9523809523809523,0.9914488564387204
random_critical_line,31,74.17271923470066,0.01,0.51,HBR,10.0,0.001,1.5698417256032793,0.23084089802268495,0.9090909090909091,0.9915310781871941
random_critical_line,31,74.17271923470066,0.02,0.52,HBR,10.0,0.001,1.6473217929370574,0.23301359947333583,0.8333333333333333,0.9916929202014385
random_critical_line,31,74.17271923470066,0.05,0.55,HBR,10.0,0.001,1.8424949838580378,0.23951067707515913,0.6666666666666665,0.992158314380397
random_critical_line,32,25.70418411220618,-0.05,0.45,HBR,10.0,0.001,1.1218600194468742,0.49020479297476427,0.6666666666666666,0.9965431078598809
random_critical_line,32,25.70418411220618,-0.02,0.48,HBR,10.0,0.001,0.8866832456637919,0.4960727058397206,0.8333333333333333,0.9966766244497841
random_critical_line,32,25.70418411220618,-0.01,0.49,HBR,10.0,0.001,0.7959165270240135,0.4979174957591617,0.9090909090909091,0.9967199308441188
random_critical_line,32,25.70418411220618,-0.005,0.495,HBR,10.0,0.001,0.747566233762816,0.49881893116873943,0.9523809523809523,0.9967413637907324
random_critical_line,32,25.70418411220618,-0.002,0.498,HBR,10.0,0.001,0.7174956165752698,0.4993530772736719,0.9803921568627451,0.9967541536561529
random_critical_line,32,25.70418411220618,0.0,0.5,HBR,10.0,0.001,0.6969772024757533,0.4997063754446353,1.0,0.99676265123984
random_critical_line,32,25.70418411220618,0.002,0.502,HBR,10.0,0.001,0.7160690453453823,0.500057433731685,0.9803921568627451,0.996771125702984
random_critical_line,32,25.70418411220618,0.005,0.505,HBR,10.0,0.001,0.7439997639774765,0.5005798207669221,0.9523809523809523,0.9967837941850811
random_critical_line,32,25.70418411220618,0.01,0.51,HBR,10.0,0.001,0.7887832895489478,0.5014392638987163,0.9090909090909091,0.9968047936133428
