series,spacing_center,P_empirical,P_GUE_proxy,abs_diff,V_bin
jittered_zeta_spacings,3.8125,0.0,5.4051375412111495e-08,5.4051375412111495e-08,0.9999999459486275
jittered_zeta_spacings,3.9375,0.0,1.6793735102046393e-08,1.6793735102046393e-08,0.9999999832062653
poisson_unit_mean_control,0.0625,0.1116751269035533,0.0015752891439932263,0.11009983775956007,0.9008198776231089
poisson_unit_mean_control,0.1875,0.09137055837563451,0.013624568638373536,0.07774598973726098,0.9278624179745597
poisson_unit_mean_control,0.3125,0.07106598984771574,0.034951048088815724,0.03611494175890002,0.965143884811089
poisson_unit_mean_control,0.4375,0.116751269035533,0.060796165672641636,0.05595510336289136,0.9470099598129773
poisson_unit_mean_control,0.5625,0.06598984771573604,0.08571266827507568,0.019722820559339632,0.9806586455047449
poisson_unit_mean_control,0.6875,0.08121827411167512,0.10494100634369743,0.023722732232022314,0.9768269947661514
poisson_unit_mean_control,0.8125,0.03553299492385787,0.11544267687003044,0.07990968194617257,0.9260033655757559
poisson_unit_mean_control,0.9375,0.030456852791878174,0.11633275235946404,0.08587589956758587,0.9209155488193603
poisson_unit_mean_control,1.0625,0.04060913705583756,0.10868687473205,0.06807773767621245,0.9362614393364969
poisson_unit_mean_control,1.1875,0.03553299492385787,0.09489999827748423,0.05936700335362636,0.9439599278005744
poisson_unit_mean_control,1.3125,0.04568527918781726,0.07787486525624683,0.032189586068429574,0.9688142696817563
poisson_unit_mean_control,1.4375,0.050761421319796954,0.06030232798823592,0.009540906668438966,0.9905492619413268
poisson_unit_mean_control,1.5625,0.025380710659898477,0.044197538538573826,0.01881682787867535,0.9815307056540725
poisson_unit_mean_control,1.6875,0.03553299492385787,0.030733019046333233,0.004799975877524638,0.9952229538288627
poisson_unit_mean_control,1.8125,0.01015228426395939,0.020312028402782862,0.010159744138823472,0.9899424381165726
poisson_unit_mean_control,1.9375,0.01015228426395939,0.012778511295694713,0.0026262270317353228,0.9973806519708642
poisson_unit_mean_control,2.0625,0.015228426395939087,0.007661332289213287,0.0075670941067258,0.9924897367619626
poisson_unit_mean_control,2.1875,0.04060913705583756,0.004381794696964028,0.03622734235887353,0.9650391947037362
poisson_unit_mean_control,2.3125,0.01015228426395939,0.0023926483460129867,0.007759635917946404,0.9923001124063892
poisson_unit_mean_control,2.4375,0.0,0.0012481997763131333,0.0012481997763131333,0.9987533562840941
poisson_unit_mean_control,2.5625,0.015228426395939087,0.0006224751693707325,0.014605951226568355,0.985604311497571
poisson_unit_mean_control,2.6875,0.005076142131979695,0.00029690029807544747,0.004779241833904248,0.9952434906744477
poisson_unit_mean_control,2.8125,0.005076142131979695,0.00013549963503891273,0.004940642496940782,0.9950836474434303
poisson_unit_mean_control,2.9375,0.01015228426395939,5.9192701450321945e-05,0.010093091562509067,0.9900077610204263
poisson_unit_mean_control,3.0625,0.005076142131979695,2.4759617074972935e-05,0.005051382514904722,0.994974005704798
poisson_unit_mean_control,3.1875,0.015228426395939087,9.91953710226861e-06,0.015218506858836819,0.9850096242769214
poisson_unit_mean_control,3.3125,0.005076142131979695,3.8073434498653872e-06,0.0050723347885298295,0.9949532639463239
poisson_unit_mean_control,3.4375,0.01015228426395939,1.400344623790132e-06,0.0101508839193356,0.9899511210840596
poisson_unit_mean_control,3.5625,0.0,4.936492322092337e-07,4.936492322092337e-07,0.9999995063510115
poisson_unit_mean_control,3.6875,0.0,1.6682147413389726e-07,1.6682147413389726e-07,0.9999998331785537
poisson_unit_mean_control,3.8125,0.005076142131979695,5.4051375412111495e-08,0.005076088080604283,0.9949495484562785
poisson_unit_mean_control,3.9375,0.0,1.6793735102046393e-08,1.6793735102046393e-08,0.9999999832062653
uniform_points_control,0.0625,0.11794871794871795,0.0015752891439932263,0.11637342880472472,0.8957576149682074
uniform_points_control,0.1875,0.10256410256410256,0.013624568638373536,0.08893953392572902,0.9183246349729872
uniform_points_control,0.3125,0.12307692307692308,0.034951048088815724,0.08812587498810737,0.9190113230336789
uniform_points_control,0.4375,0.06666666666666667,0.060796165672641636,0.00587050099402503,0.9941637606548521
