set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,BR,5.0,0.001,-0.002,0.014063181319254308,0.013780550057770697,0.0014029896821127462,0.8594465753298236,0.9900990099009901,0.9958965510459452
jittered_zero,BR,5.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169
jittered_zero,BR,5.0,0.001,0.002,0.014022551968236712,0.013734267815193903,0.0013850742455067257,0.8600072776802227,0.9900990099009901,0.9959369902592291
jittered_zero,BR,5.0,0.001,0.005,0.028734653032135227,0.02844222510863484,0.0013717785823762348,0.8599369485364905,0.9756097560975612,0.9959670309737076
jittered_zero,BR,5.0,0.001,0.01,0.05278245251926831,0.05248329801192247,0.0013498841759940442,0.8591036540259818,0.9523809523809523,0.996016554729805
jittered_zero,BR,5.0,0.001,0.02,0.09920499009257143,0.09889303998587315,0.0013070705910484016,0.855638454617325,0.909090909090909,0.996113594012157
jittered_zero,BR,5.0,0.001,0.05,0.22676150122062083,0.22645151246431883,0.00118607364651261,0.8381556567268396,0.7999999999999998,0.9963892701195458
jittered_zero,BR,5.0,0.002,-0.05,0.2323931817973212,0.23178295038377644,0.0032545673591502533,0.8214002277480669,0.8,0.9907981280086032
jittered_zero,BR,5.0,0.002,-0.02,0.10389226187958693,0.10337460647364377,0.002958437269050728,0.8497522067529146,0.909090909090909,0.9914588662198607
jittered_zero,BR,5.0,0.002,-0.01,0.05716158710640225,0.056624019610969065,0.002865507140748138,0.8562582644403356,0.9523809523809523,0.9916674867135266
jittered_zero,BR,5.0,0.002,-0.005,0.032960842336887154,0.03240840881673773,0.0028200756802588024,0.8585300784244148,0.9756097560975612,0.9917697005645572
jittered_zero,BR,5.0,0.002,-0.002,0.01815731754742917,0.017596189719522988,0.002793141384162648,0.8594465753298236,0.9900990099009901,0.9918303683990637
jittered_zero,BR,5.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,BR,5.0,0.002,0.002,0.01807643688148448,0.017503975267774755,0.002757602950091956,0.8600072776802227,0.9900990099009901,0.9919104962497242
