set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
random_critical_line,BR,10.0,0.002,-0.01,0.10487086582514274,0.10388916067637129,0.004879352069421723,0.46054414324614007,0.909090909090909,0.9904963443157427
random_critical_line,BR,10.0,0.002,-0.005,0.058243894707854425,0.05728961876695145,0.004826758101076754,0.4618124809568108,0.9523809523809523,0.9906020431204021
random_critical_line,BR,10.0,0.002,-0.002,0.02919280405310911,0.02826733478157411,0.004795569252900275,0.46254060881112197,0.980392156862745,0.9906648570683798
random_critical_line,BR,10.0,0.002,0.0,0.009348063576100994,0.008441628934318074,0.004774928272931704,0.4630122710470371,1.0,0.9907064828363884
random_critical_line,BR,10.0,0.002,0.002,0.02910878131765931,0.02822124638248079,0.004754407698600708,0.46347295813370515,0.980392156862745,0.9907479095728411
random_critical_line,BR,10.0,0.002,0.005,0.058033833460815754,0.05717439683663469,0.004723850990947037,0.464143565565413,0.9523809523809523,0.9908096785927187
random_critical_line,BR,10.0,0.002,0.01,0.10445071184149819,0.1036374422828856,0.004673514817159795,0.465207804087653,0.909090909090909,0.9909116453408391
random_critical_line,BR,10.0,0.002,0.02,0.1912595237874266,0.19052186930956994,0.004575020811689631,0.4671467601551371,0.8333333333333333,0.9911119507416567
random_critical_line,BR,10.0,0.002,0.05,0.41382398014109895,0.4132474114202559,0.004296182835441775,0.4717403389186353,0.6666666666666665,0.9916848720818707
random_critical_line,HBR,10.0,0.002,-0.05,1.3018373281351727,1.3087186209265385,0.4140898622003568,0.44823200478233527,0.6666666666666666,0.9896035510915878
random_critical_line,HBR,10.0,0.002,-0.02,1.0560341924746317,1.0589486124050271,0.4113220729403654,0.45780801354462436,0.8333333333333333,0.9902811080251009
random_critical_line,HBR,10.0,0.002,-0.01,0.9622285426248208,0.9635412888107566,0.4096761890132583,0.46054414324614007,0.909090909090909,0.9904963443157427
random_critical_line,HBR,10.0,0.002,-0.005,0.912465885421313,0.9129115398096245,0.4086905955877967,0.4618124809568108,0.9523809523809523,0.9906020431204021
random_critical_line,HBR,10.0,0.002,-0.002,0.8815828599491331,0.8814861717256235,0.40804545860174446,0.46254060881112197,0.980392156862745,0.9906648570683798
random_critical_line,HBR,10.0,0.002,0.0,0.8605374308871332,0.8600699399230483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884
random_critical_line,HBR,10.0,0.002,0.002,0.8791138691128705,0.8782682250775695,0.40712242819698224,0.46347295813370515,0.980392156862745,0.9907479095728411
random_critical_line,HBR,10.0,0.002,0.005,0.9062930328468818,0.9048665575165089,0.4063835521172438,0.464143565565413,0.9523809523809523,0.9908096785927187
random_critical_line,HBR,10.0,0.002,0.01,0.9498801743711903,0.9474504980875462,0.40506586629143343,0.465207804087653,0.909090909090909,0.9909116453408391
random_critical_line,HBR,10.0,0.002,0.02,1.0313166968976566,1.0267604249416618,0.4021304015616203,0.4671467601551371,0.8333333333333333,0.9911119507416567
random_critical_line,HBR,10.0,0.002,0.05,1.2397223826725976,1.2281328902562438,0.39153134866892464,0.4717403389186353,0.6666666666666665,0.9916848720818707
random_critical_line,HR,10.0,0.002,-0.05,0.8963722200285084,0.9032535128198739,0.4140898622003569,0.44823200478233527,0.6666666666666666,0.9896035510915878
random_critical_line,HR,10.0,0.002,-0.02,0.873712635681877,0.8766270556122722,0.4113220729403654,0.45780801354462436,0.8333333333333333,0.9902811080251009
random_critical_line,HR,10.0,0.002,-0.01,0.866918362821596,0.8682311090075316,0.4096761890132582,0.46054414324614007,0.909090909090909,0.9904963443157427
random_critical_line,HR,10.0,0.002,-0.005,0.8636757212529309,0.8641213756412424,0.4086905955877967,0.4618124809568108,0.9523809523809523,0.9906020431204021
random_critical_line,HR,10.0,0.002,-0.002,0.8617802326539733,0.8616835444304637,0.4080454586017445,0.46254060881112197,0.980392156862745,0.9906648570683798
random_critical_line,HR,10.0,0.002,0.0,0.8605374308881333,0.8600699399240483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884
random_critical_line,HR,10.0,0.002,0.002,0.8593112418177107,0.8584655977824096,0.40712242819698224,0.46347295813370515,0.980392156862745,0.9907479095728411
random_critical_line,HR,10.0,0.002,0.005,0.8575028686784997,0.8560763933481268,0.4063835521172438,0.464143565565413,0.9523809523809523,0.9908096785927187
random_critical_line,HR,10.0,0.002,0.01,0.8545699945679655,0.8521403182843215,0.40506586629143343,0.465207804087653,0.909090909090909,0.9909116453408391
random_critical_line,HR,10.0,0.002,0.02,0.8489951401049017,0.8444388681489069,0.4021304015616202,0.4671467601551371,0.8333333333333333,0.9911119507416567
random_critical_line,HR,10.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,0.6666666666666665,0.9916848720818707
