dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,runtime_budget_exceeded,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
dubois_dubois20,satlib_dimacs_dubois,calibration,score_with_R,60,160,2.6666666666666665,1,0,0,0,504,1413,131,130,24,0.5,0.20453175000147894,287.852
dubois_dubois20,satlib_dimacs_dubois,calibration,frozen_gate_v17,60,160,2.6666666666666665,1,0,0,0,395,1297,135,134,23,0.5,0.1719738329993561,258.688
dubois_dubois20,satlib_dimacs_dubois,calibration,gate_plus_L,60,160,2.6666666666666665,1,0,0,0,571,2237,201,200,22,0.4999999999996649,0.30732995900325477,381.24799999999993
dubois_dubois20,satlib_dimacs_dubois,calibration,gate_shuffled_L,60,160,2.6666666666666665,1,0,0,0,445,1268,130,129,23,0.5000000000003976,0.1921257089707069,268.572
dubois_dubois21,satlib_dimacs_dubois,test,vsids,63,168,2.6666666666666665,1,0,0,0,557,1752,171,170,23,0.4996365487580128,0.2460118749877438,345.108
dubois_dubois21,satlib_dimacs_dubois,test,moms,63,168,2.6666666666666665,1,0,0,0,70,1353,46,45,22,0.4996365487580128,0.052839041978586465,72.412
dubois_dubois21,satlib_dimacs_dubois,test,jeroslow_wang,63,168,2.6666666666666665,1,0,0,0,417,2305,262,261,22,0.4996365487580128,0.28743329201824963,396.32000000000005
dubois_dubois21,satlib_dimacs_dubois,test,score_with_R,63,168,2.6666666666666665,1,0,0,0,705,2539,255,254,25,0.4996365487580128,0.4173316250089556,476.656
dubois_dubois21,satlib_dimacs_dubois,test,frozen_gate_v17,63,168,2.6666666666666665,1,0,0,0,675,2361,208,207,26,0.4996365487580128,0.33132304198807105,419.944
dubois_dubois21,satlib_dimacs_dubois,test,gate_plus_L,63,168,2.6666666666666665,1,0,0,0,466,1571,157,156,26,0.49963654875806157,0.22079520899569616,303.08399999999995
dubois_dubois21,satlib_dimacs_dubois,test,gate_shuffled_L,63,168,2.6666666666666665,1,0,0,0,546,1972,175,174,25,0.49963654222785137,0.27517037501093,346.68799999999993
dubois_dubois22,satlib_dimacs_dubois,test,vsids,66,176,2.6666666666666665,1,0,0,0,581,1614,177,176,33,0.4993060256651834,0.258124666986987,357.756
dubois_dubois22,satlib_dimacs_dubois,test,moms,66,176,2.6666666666666665,1,0,0,0,73,1483,48,47,23,0.4993060256651834,0.058513332973234355,75.83200000000001
dubois_dubois22,satlib_dimacs_dubois,test,jeroslow_wang,66,176,2.6666666666666665,1,0,0,0,455,2499,280,279,23,0.4993060256651834,0.33101158298086375,426.496
dubois_dubois22,satlib_dimacs_dubois,test,score_with_R,66,176,2.6666666666666665,1,0,0,0,650,2834,237,236,25,0.4993060256651834,0.37051283300388604,443.336
dubois_dubois22,satlib_dimacs_dubois,test,frozen_gate_v17,66,176,2.6666666666666665,1,0,0,0,474,1471,154,153,26,0.4993060256651834,0.2431751670083031,302.084
dubois_dubois22,satlib_dimacs_dubois,test,gate_plus_L,66,176,2.6666666666666665,1,0,0,0,533,1618,153,152,26,0.49930602566558097,0.25607674999628216,319.37199999999996
dubois_dubois22,satlib_dimacs_dubois,test,gate_shuffled_L,66,176,2.6666666666666665,1,0,0,0,494,1607,160,159,26,0.4993060256661905,0.2458019590121694,314.628
dubois_dubois23,satlib_dimacs_dubois,calibration,vsids,69,184,2.6666666666666665,1,0,0,0,672,2081,197,196,25,0.49900415000969706,0.3259880000259727,406.92400000000004
dubois_dubois23,satlib_dimacs_dubois,calibration,moms,69,184,2.6666666666666665,1,0,0,0,76,1619,50,49,24,0.49900415000969706,0.065136999997776,79.276
dubois_dubois23,satlib_dimacs_dubois,calibration,jeroslow_wang,69,184,2.6666666666666665,1,0,0,0,495,2665,298,297,24,0.49900415000969706,0.3787949169636704,457.16
dubois_dubois23,satlib_dimacs_dubois,calibration,score_with_R,69,184,2.6666666666666665,1,0,0,0,739,2133,186,185,28,0.49900415000969706,0.38118983298772946,416.23199999999997
dubois_dubois23,satlib_dimacs_dubois,calibration,frozen_gate_v17,69,184,2.6666666666666665,1,0,0,0,572,1992,221,220,27,0.49900415000969706,0.33426274999510497,400.56800000000004
