epsilon,chi2
-7.239999999999999908e-03,1.238793532583290080e+01
-7.219999999999999855e-03,1.238802926419814732e+01
-7.199999999999999803e-03,1.238812343774256419e+01
-7.180000000000000618e-03,1.238821784646612478e+01
-7.159999999999999698e-03,1.238831249036883975e+01
-7.140000000000000513e-03,1.238840736945072329e+01
-7.119999999999999593e-03,1.238850248371174878e+01
-7.100000000000000408e-03,1.238859783315194463e+01
-7.079999999999999488e-03,1.238869341777128419e+01
-7.060000000000000303e-03,1.238878923756977990e+01
-7.039999999999999383e-03,1.238888529254743531e+01
-7.020000000000000198e-03,1.238898158270424865e+01
-7.000000000000000146e-03,1.238907810804021636e+01
-6.980000000000000093e-03,1.238917486855533490e+01
-6.960000000000000041e-03,1.238927186424961668e+01
-6.939999999999999988e-03,1.238936909512304929e+01
-6.919999999999999936e-03,1.238946656117564338e+01
-6.899999999999999883e-03,1.238956426240739006e+01
-6.879999999999999831e-03,1.238966219881829112e+01
-6.859999999999999779e-03,1.238976037040834299e+01
-6.840000000000000593e-03,1.238985877717757056e+01
-6.819999999999999674e-03,1.238995741912593473e+01
-6.800000000000000488e-03,1.239005629625346927e+01
-6.779999999999999569e-03,1.239015540856014219e+01
-6.760000000000000384e-03,1.239025475604599080e+01
-6.739999999999999464e-03,1.239035433871099023e+01
-6.720000000000000279e-03,1.239045415655512983e+01
-6.699999999999999359e-03,1.239055420957843978e+01
-6.680000000000000174e-03,1.239065449778090056e+01
-6.660000000000000121e-03,1.239075502116252636e+01
-6.640000000000000069e-03,1.239085577972329766e+01
-6.620000000000000016e-03,1.239095677346322510e+01
-6.599999999999999964e-03,1.239105800238230515e+01
-6.579999999999999911e-03,1.239115946648055377e+01
-6.559999999999999859e-03,1.239126116575795855e+01
-6.539999999999999807e-03,1.239136310021450171e+01
-6.519999999999999754e-03,1.239146526985021168e+01
-6.500000000000000569e-03,1.239156767466508846e+01
-6.479999999999999649e-03,1.239167031465910718e+01
-6.460000000000000464e-03,1.239177318983228027e+01
-6.439999999999999544e-03,1.239187630018461839e+01
-6.420000000000000359e-03,1.239197964571610200e+01
-6.399999999999999439e-03,1.239208322642675242e+01
-6.380000000000000254e-03,1.239218704231655188e+01
-6.359999999999999334e-03,1.239229109338551282e+01
-6.340000000000000149e-03,1.239239537963362636e+01
-6.320000000000000097e-03,1.239249990106088894e+01
-6.300000000000000044e-03,1.239260465766732366e+01
-6.279999999999999992e-03,1.239270964945290743e+01
-6.259999999999999939e-03,1.239281487641764556e+01
-6.239999999999999887e-03,1.239292033856153097e+01
-6.219999999999999835e-03,1.239302603588459384e+01
-6.199999999999999782e-03,1.239313196838679509e+01
-6.179999999999999730e-03,1.239323813606815250e+01
-6.159999999999999677e-03,1.239334453892866961e+01
-6.139999999999999625e-03,1.239345117696834642e+01
-6.120000000000000440e-03,1.239355805018717760e+01
-6.099999999999999520e-03,1.239366515858516671e+01
-6.079999999999999467e-03,1.239377250216229776e+01
-6.060000000000000282e-03,1.239388008091860449e+01
-6.040000000000000230e-03,1.239398789485405850e+01
-6.020000000000000177e-03,1.239409594396866332e+01
-6.000000000000000125e-03,1.239420422826242429e+01
-5.980000000000000072e-03,1.239431274773534497e+01
-5.960000000000000020e-03,1.239442150238742890e+01
-5.939999999999999968e-03,1.239453049221866898e+01
-5.919999999999999915e-03,1.239463971722904390e+01
-5.899999999999999863e-03,1.239474917741859628e+01
-5.879999999999999810e-03,1.239485887278729770e+01
