z,C_proj_norm,R_proj,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
1.727158948685857398e-01,1.720865531684223404e+00,6.635393295191956975e-01,9.657423410689031096e-01,5.231112211246474741e-01,5.037918655258116774e-01,5.943753978616220790e-01,6.696358730989414587e-01,6.236512844481717499e-01,2.418322110461767205e-01,1.861153135786620949e-01
1.752190237797246475e-01,1.734152654743583932e+00,6.611447994077843671e-01,9.655075428766534129e-01,5.232229518419265757e-01,5.038213669869506806e-01,5.952467123319844511e-01,6.699563189086359394e-01,6.238842345582034099e-01,2.417595380996336030e-01,1.860587691988550563e-01
1.777221526908635829e-01,1.747534072466255806e+00,6.587375502640714364e-01,9.652713301603483842e-01,5.233355237265819859e-01,5.038510813031844560e-01,5.961252337331641726e-01,6.702791487911773372e-01,6.241188948901431610e-01,2.416862503796030626e-01,1.860017714359797625e-01
1.802252816020025183e-01,1.761010398947437272e+00,6.563175650365329350e-01,9.650336964531140982e-01,5.234489430032470692e-01,5.038810099131073583e-01,5.970110208561408838e-01,6.706043782118015217e-01,6.243552762381239241e-01,2.416123431597300419e-01,1.859443170859232108e-01
1.827284105131414260e-01,1.774582251748502371e+00,6.538848273216542051e-01,9.647946352731816555e-01,5.235632159433510902e-01,5.039111542642142894e-01,5.979041329810990124e-01,6.709320227124272451e-01,6.245933894457150748e-01,2.415378116846504386e-01,1.858864029277887131e-01
1.852315394242803614e-01,1.788250251914401678e+00,6.514393213710215624e-01,9.645541401239127177e-01,5.236783488655286645e-01,5.039415158129567640e-01,5.988046298820790536e-01,6.712620979119368059e-01,6.248332454060537833e-01,2.414626511699039524e-01,1.858280257238689448e-01
1.877346683354192691e-01,1.802015023991194287e+00,6.489810320983756542e-01,9.643122044938449156e-01,5.237943481360347597e-01,5.039720960247979775e-01,5.997125718316888010e-01,6.715946195064668167e-01,6.250748550619843469e-01,2.413868568018442684e-01,1.857691822196167464e-01
1.902377972465582046e-01,1.815877196043658826e+00,6.465099450866407249e-01,9.640688218567358136e-01,5.239112201691632498e-01,5.040028963742697599e-01,6.006280196058666476e-01,6.719296032696996379e-01,6.253182294061967461e-01,2.413104237375519601e-01,1.857098691436178117e-01
1.927409261576971400e-01,1.829837399673038156e+00,6.440260465949099178e-01,9.638239856715844489e-01,5.240289714276710198e-01,5.040339183450295302e-01,6.015510344887068372e-01,6.722670650531559211e-01,6.255633794813653115e-01,2.412333471047496125e-01,1.856500832075646812e-01
1.952440550688360477e-01,1.843896270034883322e+00,6.415293235653989345e-01,9.635776893826920597e-01,5.241476084232068455e-01,5.040651634299175843e-01,6.024816782773391166e-01,6.726070207864982553e-01,6.258103163802948288e-01,2.411556220017146701e-01,1.855898211062291803e-01
1.977471839799749831e-01,1.858054445856999415e+00,6.390197636303602824e-01,9.633299264196946154e-01,5.242671377167446023e-01,5.040966331310149373e-01,6.034200132868695610e-01,6.729494864778328145e-01,6.260590512460645352e-01,2.410772434971958367e-01,1.855290795174367457e-01
