source,target,source_candidate_id,target_candidate_id,source_background_id,target_background_id,source_type,target_type,feature_distance,tunnel_barrier_proxy,delta_F_bridge,structural_uphill,structural_downhill,avg_control,avg_tadpole,stability_loss,gamma_proxy,transition_weight,structural_action,energy_action,P_structural,P_energy,source_F_bridge,target_F_bridge,source_abs_energy,target_abs_energy
1,51,2,109,1,60,dS minimum,dS minimum,5.565795298305865,0.4774784515252544,-0.3101599837878408,0.0,0.3101599837878408,0.007986356214117167,0.14,1.6415783787859795e-08,0.6203456529547909,0.5614326516263953,0.5772634556726212,0.7759893755038603,0.1878250504772196,0.1285085286061076,-1.2891084946868416,-1.5992684784746825,5.405006277784081e-15,8.330637062225764e-15
2,67,5,142,3,79,dS minimum,dS minimum,3.8412556887599236,0.36157578724928,0.002644803703007348,0.002644803703007348,0.0,0.008104954212358694,0.2,0.0,0.6965778023594252,0.6048714517158029,0.5027393200304309,0.36157578724928,0.1720616866407099,0.18482485242317964,-1.0431561128576954,-1.040511309154688,6.819406431689692e-15,5.434840828007613e-15
2,71,5,150,3,83,dS minimum,dS minimum,4.57749986022218,0.39259233981015185,-0.001932538354435076,0.0,0.001932538354435076,0.007628987344326821,0.2,6.785831729860803e-09,0.6753039860315938,0.5880259314336576,0.5309842309782852,0.39259233981015185,0.16726981123666446,0.17918021380571125,-1.0431561128576954,-1.0450886512121305,6.819406431689692e-15,6.604578519424716e-15
2,57,5,122,3,68,dS minimum,dS minimum,4.985840386020582,0.39850113337071197,-0.5560039084949082,0.0,0.5560039084949082,0.007808704672655537,0.16,0.0,0.6713255197308275,0.5998409702323285,0.5110907085106331,0.39850113337071197,0.17063071626476273,0.17812459669529077,-1.0431561128576954,-1.5991600213526036,6.819406431689692e-15,4.973486642754688e-15
2,45,5,97,3,53,dS minimum,dS minimum,5.201392264191182,0.4044929043620699,-0.00015190735193648663,0.0,0.00015190735193648663,0.007813842306492489,0.2,4.605082870590138e-09,0.6673151176595633,0.5809514233293844,0.5430881343530238,0.6307271204779485,0.16525739720534965,0.14121129287739664,-1.0431561128576954,-1.0433080202096319,6.819406431689692e-15,9.292743553264648e-15
2,1,5,2,3,1,dS minimum,dS minimum,5.300824757880507,0.45065525957289154,-0.24595238182914625,0.0,0.24595238182914625,0.008014307726497975,0.18,0.0,0.6372104765292239,0.5618777395317457,0.5764709980720393,0.45065525957289154,0.1598316985790319,0.16907276098678892,-1.0431561128576954,-1.2891084946868416,6.819406431689692e-15,5.405006277784081e-15
2,51,5,109,3,60,dS minimum,dS minimum,5.51337279123329,0.4323760299152281,-0.5561123656169871,0.0,0.5561123656169871,0.007801715240837006,0.16,3.784755731039979e-09,0.6489653004311298,0.5798661838745476,0.5449579195187156,0.5865714445468744,0.16494869007348129,0.14758628321163278,-1.0431561128576954,-1.5992684784746825,6.819406431689692e-15,8.330637062225764e-15
3,46,7,99,4,54,dS minimum,dS minimum,4.608121765821576,0.44900414325058013,-0.6320733117352276,0.0,0.6320733117352276,0.008650829507426828,0.22000000000000003,1.9893727221109714e-08,0.6382634542028636,0.5479780373701005,0.6015200706290451,1.1233472610380333,0.17703218676691163,0.1682675549239714,-0.6557016446748484,-1.287774956410076,1.1764708817581917e-15,5.692918130497444e-15
3,62,7,132,4,73,dS minimum,AdS minimum,5.369689632584382,0.5258571949875241,-0.3798442983446081,0.0,0.3798442983446081,0.00914790061461268,0.24000000000000002,0.0,0.5910485033440369,0.5006140241654629,0.6919198856635981,1.2503381966511244,0.16173056104498376,0.14820024496540524,-0.6557016446748484,-1.0355459430194565,1.1764708817581917e-15,7.96692343588014e-15
3,64,7,136,4,76,dS minimum,dS minimum,5.452831030793598,0.5074547243268636,-0.6320874691426973,0.0,0.6320874691426973,0.008649664317275759,0.22000000000000003,1.4485019850241088e-08,0.6020259523859556,0.5168671679892024,0.6599693659396318,1.0937594241976005,0.16698137293292514,0.1733206137931365,-0.6557016446748484,-1.2877891138175457,1.1764708817581917e-15,3.792256627267396e-15
3,10,7,24,4,13,dS minimum,dS minimum,5.700959957021284,0.5343656351915808,-1.344181457178228,0.0,1.344181457178228,0.008625511998518678,0.18000000000000002,1.091592427560073e-08,0.586040935998896,0.5164102833990633,0.6608537065768946,0.9835559466357002,0.16683376979452091,0.1935133719591142,-0.6557016446748484,-1.9998831018530765,1.1764708817581917e-15,2.494950291988872e-15
3,11,7,26,4,14,dS minimum,AdS minimum,5.78687750407225,0.5263192395443879,-0.9322002849392189,0.0,0.9322002849392189,0.009056489274120217,0.2,0.0,0.5907754756805546,0.5136149710729289,0.6662813777459201,1.1476083400703576,0.16593070394143117,0.16423432555160936,-0.6557016446748484,-1.5879019296140673,1.1764708817581917e-15,4.372333158560342e-15
3,20,7,45,4,27,dS minimum,AdS minimum,5.82773481997671,0.5404027383374994,-0.626894145699988,0.0,0.626894145699988,0.009088154387878843,0.22000000000000003,0.0,0.5825136045656536,0.4998737521390954,0.6933997081641662,1.221974789152278,0.16149140551922736,0.15246388880676337,-0.6557016446748484,-1.2825957903748364,1.1764708817581917e-15,5.937258360812534e-15
4,15,9,35,5,21,AdS minimum,AdS minimum,3.64153572518258,0.3307859094876632,1.0239524174929,1.0239524174929,0.0,0.009148442425229868,0.08,0.0,0.7183589464137241,0.2827453100537678,1.263208751024381,0.8315348553329098,0.14142769243497785,0.11748864947791303,-2.611664655946333,-1.587712238453433,2.5887126899882362e-15,6.300355461532837e-15
4,49,9,105,5,57,AdS minimum,AdS minimum,3.9803060630800586,0.31410305092810975,1.0226113875676797,1.0226113875676797,0.0,0.00906185625562932,0.08,3.109407176182799e-11,0.7304437513743092,0.28785719507199137,1.24529077226515,0.31551291407323223,0.14398462999119344,0.19683457791847203,-2.611664655946333,-1.5890532683786533,2.5887126899882362e-15,2.5930136245105868e-15
4,73,9,156,5,86,AdS minimum,dS minimum,4.385960246285286,0.3878325590015497,0.6148517317686006,0.6148517317686006,0.0,0.008841104104323368,0.06,1.7176328859225265e-08,0.6785259468149017,0.38320631307410574,0.9591817584018626,0.3878325590015497,0.1916777490465903,0.18310211909833018,-2.611664655946333,-1.9968129241777324,2.5887126899882362e-15,2.3460428573554022e-15
4,34,9,75,5,41,AdS minimum,AdS minimum,4.457025553959736,0.3596995589755131,1.0215431363916332,1.0215431363916332,0.0,0.008992936297762027,0.08,0.0,0.69788596815216,0.27529736043560327,1.2899034548359394,0.47834562084934323,0.13770226785527864,0.1672569015807412,-2.611664655946333,-1.5901215195546998,2.5887126899882362e-15,3.0086742844753736e-15
4,0,9,0,5,0,AdS minimum,AdS minimum,4.629721839577177,0.3577642793096703,0.6192563162742861,0.6192563162742861,0.0,0.009036755415568915,0.06,0.0,0.6992378804176166,0.39334327342123265,0.9330725790999393,0.5538283461569119,0.19674820241653798,0.15509661385090123,-2.611664655946333,-1.992408339672047,2.5887126899882362e-15,3.364864469033528e-15
4,48,9,103,5,56,AdS minimum,AdS minimum,4.647989315418362,0.4036919423629788,0.6160458797290183,0.6160458797290183,0.0,0.008894072521303736,0.06,2.5041991813523623e-09,0.6678498258221006,0.376772236324883,0.9761144217842278,0.4036919423629788,0.18845945825542176,0.1802211380736424,-2.611664655946333,-1.9956187762173148,2.5887126899882362e-15,1.7341339890211448e-15
5,9,12,22,6,11,AdS minimum,AdS minimum,4.12508149237634,0.3116565567444436,5.345225236919049e-05,5.345225236919049e-05,0.0,0.009753026420389277,0.16,0.0,0.7322329655221244,0.652835353413641,0.4264303202213856,0.3677475713682856,0.19199257689307136,0.18250570877586741,-1.2799385632796478,-1.2798851110272786,1.4122724124775823e-14,1.5120518506755212e-14
5,50,12,107,6,58,AdS minimum,AdS minimum,4.480953935341576,0.3761594199111705,-0.00115726311440989,0.0,0.00115726311440989,0.00965035057414131,0.16,8.048014144002025e-09,0.6864928836837932,0.6121519080031934,0.4907748115787366,0.3761594199111705,0.18002796823577738,0.18097693730700204,-1.2799385632796478,-1.2810958263940577,1.4122724124775823e-14,8.353761732959093e-15
5,62,12,132,6,73,AdS minimum,AdS minimum,4.856257971730685,0.4314301679403353,0.24439262026019137,0.24439262026019137,0.0,0.009583035242523345,0.18,7.504887211684519e-09,0.6495794224233671,0.46454110132239085,0.766705239556939,0.4314301679403353,0.136617054590058,0.1712456125939702,-1.2799385632796478,-1.0355459430194565,1.4122724124775823e-14,7.96692343588014e-15
5,0,12,0,6,0,AdS minimum,AdS minimum,5.2873691326783145,0.5423830653783289,-0.7124697763923991,0.0,0.7124697763923991,0.009392180359284321,0.12,1.6320824469673312e-08,0.5813611785896645,0.5322114128450299,0.6307144760141601,0.5423830653783289,0.1565182401193846,0.15326155313622866,-1.2799385632796478,-1.992408339672047,1.4122724124775823e-14,3.364864469033528e-15
5,56,12,120,6,67,AdS minimum,AdS minimum,5.314181045382082,0.41847750863053046,-0.7038277133438462,0.0,0.7038277133438462,0.009778530357405078,0.12,0.0,0.6580479298248582,0.6021589138441519,0.5072338920236761,0.5278558070017121,0.17708912509647792,0.15550427416972087,-1.2799385632796478,-1.983766276623494,1.4122724124775823e-14,1.6208430673390828e-14
5,38,12,82,6,44,AdS minimum,AdS minimum,5.4693666258107045,0.5214352263516842,-0.3084192134019552,0.0,0.3084192134019552,0.009462160307669353,0.14,1.050641623701054e-08,0.593667888439208,0.5364169059877225,0.6228436105699325,0.5214352263516842,0.15775503506523078,0.15650591401721078,-1.2799385632796478,-1.588357776681603,1.4122724124775823e-14,5.733906855106525e-15
6,20,14,45,7,27,AdS minimum,AdS minimum,3.187889536382722,0.28882133630976253,0.7090805592882985,0.7090805592882985,0.0,0.00919957801370705,0.12,0.0,0.7491460386425337,0.3754389712868291,0.979659347519894,0.6877133716726862,0.14876490314070714,0.1426187947505033,-1.991676349663135,-1.2825957903748364,3.1509935702007135e-15,5.937258360812534e-15
6,11,14,26,7,14,AdS minimum,AdS minimum,3.4573797808672255,0.29001390454582315,0.4037744200490676,0.4037744200490676,0.0,0.009167912899948423,0.1,0.0,0.748253163385835,0.4924773221739475,0.7083068657774738,0.5274474697518898,0.19514048017202285,0.1674092145614643,-1.991676349663135,-1.5879019296140673,3.1509935702007135e-15,4.372333158560342e-15
6,74,14,158,7,87,AdS minimum,dS minimum,4.136233688609524,0.4410328203231801,0.9522130566381464,0.9522130566381464,0.0,0.008849994021538812,0.14,1.2263092930009378e-08,0.6433715905629138,0.25894258507954776,1.351148921086617,0.4410328203231801,0.10260407558738327,0.1825192872753915,-1.991676349663135,-1.0394632930249885,3.1509935702007135e-15,3.204880241365777e-16
6,75,14,159,7,87,AdS minimum,dS minimum,4.158532925321436,0.4746036534631405,0.948389783090648,0.948389783090648,0.0,0.008451972215210109,0.14,2.4994475100736935e-08,0.6221315873060699,0.2513190183898805,1.3810321572727788,0.4746036534631405,0.09958329392402042,0.17649367111044045,-1.991676349663135,-1.0432865665724869,3.1509935702007135e-15,1.467861398419798e-15
6,16,14,37,7,22,AdS minimum,AdS minimum,4.240035212008127,0.3304546064175631,0.40277352239301245,0.40277352239301245,0.0,0.009103263655515302,0.1,0.0,0.7185969803666172,0.47339474123196384,0.7478256904726905,0.5801117683489947,0.18757914924311378,0.15882086043291818,-1.991676349663135,-1.5889028272701224,3.1509935702007135e-15,4.461358351983369e-15
6,14,14,33,7,20,AdS minimum,AdS minimum,4.375757576672979,0.36135986503424056,-2.327309001631779,0.0,2.327309001631779,0.009034283175356244,0.04,0.0,0.6967282252206922,0.6721339845734745,0.39729757652713243,0.499591192320196,0.2663280979327525,0.1721381718692823,-1.991676349663135,-4.318985351294914,3.1509935702007135e-15,3.7629424240572614e-15
7,50,17,107,8,58,AdS minimum,AdS minimum,4.5168361170570535,0.4068105109947487,0.30650894558381325,0.30650894558381325,0.0,0.009412699001066279,0.14,0.0,0.6657703345080854,0.46361672878597926,0.7686970836421628,0.9809438281827341,0.1450832170288392,0.12146218091260684,-1.587604771977871,-1.2810958263940577,2.7112053391451424e-15,8.353761732959093e-15
7,13,17,31,8,19,AdS minimum,dS minimum,4.612592364108977,0.4798209790094967,0.5484674062690502,0.5484674062690502,0.0,0.008970051480067319,0.16,1.1051245418780553e-08,0.6188941769379851,0.34649553748901357,1.0598853392546976,0.4798209790094967,0.10843156457421413,0.20048226626741394,-1.587604771977871,-1.0391373657088208,2.7112053391451424e-15,4.589950657555417e-16
