node_id,candidate_id,background_id,vacuum_type,tau,W0,D,energy,abs_energy,lambda_min,F_bridge,F_pheno,Delta_Q_10,Delta_dim,Delta_E,R_support,rank_energy_minima,rank_bridge_minima,rank_pheno_minima
22,49,29,AdS minimum,107.05878971411559,-0.00019587603952929351,3.84375e-10,-7.559212298511566e-16,7.559212298511566e-16,2.7486724241201315e-12,-1.9956561480822945,-1.9188561480777233,0.08,0.008747209989111044,1.9702163279934988e-08,0.3678794921819575,8.0,20.0,20.0
23,52,30,AdS minimum,102.80798420736481,-0.0002824077478744785,5.53125e-10,-8.103679040829958e-15,8.103679040829958e-15,6.398442205557025e-12,-1.0351740085001124,-0.5551740079747555,0.2,0.009495487086006723,1.016082606020672e-07,0.36787950878235465,67.0,75.0,75.0
24,55,31,dS minimum,105.89799724876994,-0.00022269930531276482,6.28125e-10,1.80631788727262e-15,1.80631788727262e-15,3.3486771872594336e-12,-1.2846998976267308,-0.9774998976006285,0.16,0.00894228931194011,3.6421385105931826e-08,0.36787948628752637,18.0,52.0,52.0
25,57,32,AdS minimum,106.22038582293978,-0.00020824169130337808,3.46875e-10,-2.852763637513903e-15,2.852763637513903e-15,3.2888409062003286e-12,-1.9940767240723865,-1.9172767240072803,0.08,0.008887444362284478,6.578553719271776e-08,0.36787949944359627,31.0,23.0,23.0
26,59,33,AdS minimum,103.18535528435234,-0.0002716550018252747,4.6875e-10,-8.386726975100753e-15,8.386726975100753e-15,5.978660927941941e-12,-1.0355097976413472,-0.5555097970786496,0.2,0.00942514060978779,1.1364676904744985e-07,0.36787951014870174,70.0,74.0,74.0
27,61,34,AdS minimum,106.91556813118238,-0.0001992500062499375,4.171875e-10,-3.719613372784768e-16,3.719613372784768e-16,2.8125688146965908e-12,-1.285714916204596,-0.9785149162034891,0.16,0.008770924021300886,9.369169868654157e-09,0.3678794909784243,4.0,50.0,50.0
28,63,35,dS minimum,115.60099701912388,-0.0001134954097975703,3.9375e-10,4.967725246209075e-15,4.967725246209075e-15,3.618020010015058e-13,-2.64367277368573,-2.6244727734883035,0.04,0.007492558083927945,3.856567822527865e-07,0.36787944727957095,48.0,8.0,8.0
29,65,36,AdS minimum,106.16242954494663,-0.00020786777281162059,3.046875e-10,-3.747526190918694e-15,3.747526190918694e-15,3.3522783824146113e-12,-4.32684681550815,-4.326846815395798,0.0,0.00889726574018497,8.673020063344804e-08,0.3678795025446742,36.0,2.0,2.0
30,67,37,dS minimum,106.47092139909999,-0.00021010965062987023,5.296875e-10,9.897236789312433e-16,9.897236789312433e-16,3.0195665256479282e-12,-4.332725445574565,-4.332725445566728,0.0,0.008845179199550034,2.241929541124068e-08,0.3678794874023946,11.0,1.0,1.0
31,69,38,AdS minimum,106.1574494962708,-0.00021234700044506843,4.40625e-10,-1.2193220110405903e-15,1.2193220110405903e-15,3.277053196034785e-12,-1.2849614925848356,-0.9777614925729416,0.16,0.008898110446528655,2.704121196356024e-08,0.36787949415439514,15.0,51.0,51.0
32,71,39,dS minimum,109.99742281338142,-0.00015561775937580492,3.5625e-10,1.9996712722978376e-15,1.9996712722978376e-15,1.4864847852613387e-12,-1.040985484558028,-0.5609854845260384,0.2,0.008281556084902456,8.257342364280203e-08,0.36787947674452975,21.0,63.0,63.0
33,73,40,AdS minimum,105.70662383148577,-0.00021606317094533545,3.09375e-10,-4.55916425813923e-15,4.55916425813923e-15,3.6724097425283025e-12,-4.318136468460865,-4.318136468294577,0.0,0.008975092354929102,9.766158047603304e-08,0.3678795046935445,46.0,5.0,5.0
34,75,41,AdS minimum,105.86327000854743,-0.00021532138079220257,3.75e-10,-3.0086742844753736e-15,3.0086742844753736e-15,3.520205499735694e-12,-1.5901215195546998,-1.4173215194822828,0.12,0.008948228154935524,6.489344972104176e-08,0.36787949972292067,33.0,35.0,35.0
35,77,42,dS minimum,107.95093042611546,-0.0001839368290546645,4.171875e-10,1.0627557417675658e-15,1.0627557417675658e-15,2.2629908245617408e-12,-1.5928128591346473,-1.4200128591256116,0.12,0.008601683966561515,3.1412034767674e-08,0.3678794847328147,12.0,33.0,33.0
36,78,42,dS minimum,113.29411764705883,-0.0001839368290546645,4.171875e-10,2.2029285171196132e-15,2.2029285171196132e-15,4.769727377752782e-14,-1.5990434811355303,-1.426243481096707,0.12,0.007802872106565794,6.511229669328491e-08,0.3678794723356888,23.0,30.0,30.0
37,80,43,AdS minimum,104.67279464461349,-0.00023849485648860984,4.078125e-10,-5.0773683766666424e-15,5.0773683766666424e-15,4.4610232729601235e-12,-4.298231344254834,-4.298231344048596,0.0,0.009155542947863585,8.926488283554576e-08,0.36787950465061536,50.0,6.0,6.0
38,82,44,AdS minimum,104.55854823318836,-0.00024024067730324018,3.890625e-10,-5.733906855106525e-15,5.733906855106525e-15,4.576235754990821e-12,-1.588357776681603,-1.4155577764185814,0.12,0.009175826287319359,9.934763808961036e-08,0.36787950629467286,56.0,40.0,40.0
39,84,46,AdS minimum,103.47510480755133,-0.00027107476875002604,7.03125e-10,-2.810295884989643e-15,2.810295884989643e-15,5.5014496062330365e-12,-2.6048763447016996,-2.5856763446385176,0.04,0.009371671967580533,3.824492869593572e-08,0.3678794988060829,30.0,14.0,14.0
40,86,48,AdS minimum,102.4705027202791,-0.000292070394730035,6.234375e-10,-8.034396336308792e-15,8.034396336308792e-15,6.806530281067366e-12,-1.0348705061778882,-0.5548705056614759,0.2,0.0095590865087561,9.418422671737187e-08,0.36787950809339054,66.0,76.0,76.0
41,88,49,AdS minimum,107.80078506767981,-0.0001839368290546645,3.609375e-10,-1.4566635011556548e-16,1.4566635011556548e-16,2.368109508613436e-12,-1.5926246734184046,-1.419824673418235,0.12,0.00862591454539307,4.305482694170246e-09,0.3678794893761645,2.0,34.0,34.0
42,91,50,AdS minimum,103.81854888667664,-0.0002563493991748521,4.171875e-10,-7.303787176939063e-15,7.303787176939063e-15,5.293194251995465e-12,-1.0360650169484318,-0.5560650165216693,0.2,0.009308898358956074,1.1114335494339779e-07,0.36787950898307376,64.0,71.0,71.0
43,93,51,AdS minimum,104.92953199217686,-0.0002367377993605563,5.203125e-10,-2.2918728242450003e-15,2.2918728242450003e-15,4.169266682040343e-12,-2.6101860904523018,-2.59098609041028,0.04,0.00911021281299268,4.089359603796332e-08,0.36787949743901605,24.0,10.0,10.0
44,95,52,AdS minimum,103.0015806786938,-0.0002739481950012986,3.890625e-10,-1.0620665293874206e-14,1.0620665293874206e-14,6.141526588146578e-12,-4.265587494853379,-4.26558749395099,0.0,0.009459297568306801,1.4151902761812568e-07,0.3678795147775069,73.0,7.0,7.0
45,97,53,dS minimum,113.32912366340477,-0.00014559387986329235,6.890625e-10,9.292743553264648e-15,9.292743553264648e-15,5.119063663256273e-13,-1.0433080202096319,-0.5633080195187912,0.2,0.007798017859767165,4.383870467382638e-07,0.36787944556976815,71.0,59.0,59.0
46,99,54,dS minimum,109.07574060625204,-0.00017730069468723515,6.09375e-10,5.692918130497444e-15,5.692918130497444e-15,1.6698030180810348e-12,-1.287774956410076,-0.9805749561508015,0.16,0.008423433942655647,1.810981708581051e-07,0.3678794673171598,55.0,49.0,49.0
47,101,55,dS minimum,109.9933470609404,-0.00016645178929947885,5.90625e-10,6.094414651805033e-15,6.094414651805033e-15,1.3566762007004922e-12,-1.040981846750497,-0.5609818464533618,0.2,0.008282175406962506,2.1996574977162022e-07,0.3678794629313318,58.0,64.0,64.0
48,103,56,AdS minimum,107.03888036184865,-0.0001943776352364394,3.328125e-10,-1.7341339890211448e-15,1.7341339890211448e-15,2.7896250584322356e-12,-1.9956187762173148,-1.918818776193257,0.08,0.008750500602018938,4.589760900519521e-08,0.36787949574464873,17.0,21.0,21.0
49,105,57,AdS minimum,105.06708524079714,-0.0002331917701847666,4.875e-10,-2.5930136245105868e-15,2.5930136245105868e-15,4.071935094526308e-12,-1.5890532683786533,-1.4162532683248634,0.12,0.009086068070670106,4.768462375335758e-08,0.36787949821775384,28.0,37.0,37.0
50,107,58,AdS minimum,102.50684142379097,-0.00029065516656757447,6e-10,-8.353761732959093e-15,8.353761732959093e-15,6.7706621615778045e-12,-1.2810958263940577,-0.973895825835775,0.16,0.009552206820263276,9.888399174918875e-08,0.36787950875307496,69.0,55.0,55.0
51,109,60,dS minimum,113.50452952092006,-0.0001407766656812353,6.28125e-10,8.330637062225764e-15,8.330637062225764e-15,5.160546776445242e-13,-1.5992684784746825,-1.4264684779194863,0.12,0.007773763728456198,4.2035562646770634e-07,0.3678794463900953,68.0,28.0,28.0
