z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,C_hat,mu_eta002,eta_slip_beta003,Sigma_eta002_beta003,Weyl_proxy,EG_proxy,delta_D_pct,delta_fsigma8_pct,delta_mu_pct,delta_slip_pct,delta_Sigma_pct,delta_Weyl_pct,delta_EG_pct
2.790391847395452096e+00,2.638249659298799732e-01,3.324960972107583457e-01,3.301552781089380217e-01,9.788577250155671150e-01,9.904557257767764300e-01,2.639532287400372934e-01,2.652003945203199597e-01,8.723679993725631521e-01,1.017447359987451172e+00,1.026171039981176980e+00,1.030761187755938613e+00,1.023504484600759268e+00,1.018691219630061262e+00,-7.040140084220464223e-01,4.724949894479135715e-01,1.744735998745117200e+00,2.617103998117698005e+00,3.076118775593861265e+00,2.350448460075926782e+00,1.869121963006126208e+00
2.783681595744626147e+00,2.642928520001960324e-01,3.330732595012747543e-01,3.307351716343332471e-01,9.787483534395183815e-01,9.903389278745370339e-01,2.643818673967125443e-01,2.656348712975514781e-01,8.684533988794198578e-01,1.017369067977588415e+00,1.026053601966382622e+00,1.030622132352587261e+00,1.023387432374981421e+00,1.018560097625700767e+00,-7.019740553301784258e-01,4.739371550616842121e-01,1.736906797758841492e+00,2.605360196638262238e+00,3.062213235258726129e+00,2.338743237498142058e+00,1.856009762570076660e+00
2.776983223466442219e+00,2.647615678531448080e-01,3.336513588348881121e-01,3.313160149200703453e-01,9.786384331937876269e-01,9.902214048129288626e-01,2.648109989079971971e-01,2.660698060919816088e-01,8.645561606440730351e-01,1.017291123212881399e+00,1.025936684819322098e+00,1.030483702829014581e+00,1.023270982781584681e+00,1.018429768803915447e+00,-6.999353825420634445e-01,4.753606115967096701e-01,1.729112321288139853e+00,2.593668481932209779e+00,3.048370282901458062e+00,2.327098278158468148e+00,1.842976880391544725e+00
2.770296709530467805e+00,2.652311149603222007e-01,3.342303962874594858e-01,3.318978089660488129e-01,9.785279617023849852e-01,9.901031557229085234e-01,2.652406224071181540e-01,2.665051981762260325e-01,8.606762008948810605e-01,1.017213524017897663e+00,1.025820286026846384e+00,1.030345896088156854e+00,1.023155132469471207e+00,1.018300228334716895e+00,-6.978980210418979091e-01,4.767654960358521654e-01,1.721352401789766340e+00,2.582028602684638408e+00,3.034589608815685402e+00,2.315513246947120685e+00,1.830022833471689481e+00
2.763622032943503282e+00,2.657014947959338014e-01,3.348103729329431344e-01,3.324805547705651509e-01,9.784169363790400364e-01,9.899841797131282428e-01,2.656707370152620040e-01,2.669410468102191847e-01,8.568134361534455179e-01,1.017136268723068948e+00,1.025704403084603422e+00,1.030208709044682536e+00,1.023039878102120825e+00,1.018171471413400475e+00,-6.958620015170816631e-01,4.781519444816405007e-01,1.713626872306894811e+00,2.570440308460342216e+00,3.020870904468253570e+00,2.303987810212082543e+00,1.817147141340047511e+00
2.756959172749509523e+00,2.661727088367999428e-01,3.353912898433599188e-01,3.330642533302848873e-01,9.783053546271788248e-01,9.898644758699836066e-01,2.661013418414999721e-01,2.673773512411398712e-01,8.529677832326574283e-01,1.017059355664653220e+00,1.025589033496979718e+00,1.030072138624912759e+00,1.022925216357488898e+00,1.018043493260368360e+00,-6.938273543602885285e-01,4.795200921609552025e-01,1.705935566465321962e+00,2.558903349697971841e+00,3.007213862491275869e+00,2.292521635748889786e+00,1.804349326036835954e+00
2.750308108029551057e+00,2.666447585623598071e-01,3.359731480887708233e-01,3.336489056402148212e-01,9.781932138399034304e-01,9.897440432576605218e-01,2.665324359827131451e-01,2.678141107033371604e-01,8.491391592347660167e-01,1.016982783184695371e+00,1.025474174777043057e+00,1.029936181766740733e+00,1.022811143927903066e+00,1.017916289120954332e+00,-6.917941096714939064e-01,4.808700734296904589e-01,1.698278318469537140e+00,2.547417477704305711e+00,2.993618176674073261e+00,2.281114392790306589e+00,1.791628912095433179e+00
2.743668817901722790e+00,2.671176454546764223e-01,3.365559487372504210e-01,3.342345126936748789e-01,9.780805113999685441e-01,9.896228809181820685e-01,2.669640185235171437e-01,2.682513244182556100e-01,8.453274815494475902e-01,1.016906549630989032e+00,1.025359824446483437e+00,1.029800835419549587e+00,1.022697657519956227e+00,1.017789854265244376e+00,-6.897622972600878644e-01,4.822020217773528294e-01,1.690654963098903174e+00,2.535982444648343659e+00,2.980083541954958726e+00,2.269765751995622693e+00,1.778985426524437585e+00
2.737041281521088720e+00,2.675913709984412692e-01,3.371396928548597849e-01,3.348210754822697477e-01,9.779672446797607055e-01,9.895009878714560170e-01,2.673960885361863493e-01,2.686889915943602158e-01,8.415326678518956216e-01,1.016830653357037928e+00,1.025245980035556892e+00,1.029666096544134879e+00,1.022584753854409056e+00,1.017664183987905924e+00,-6.877319466468793108e-01,4.835160698317020334e-01,1.683065335703792798e+00,2.524598003555689196e+00,2.966609654413487895e+00,2.258475385440905647e+00,1.766418398790592370e+00
2.730425478079613999e+00,2.680659366809788335e-01,3.377243815056195086e-01,3.354085949958605095e-01,9.778534110412770985e-01,9.893783631153207914e-01,2.678286450805783536e-01,2.691271114270611942e-01,8.377546361009192699e-01,1.016755092722018361e+00,1.025132639083027541e+00,1.029531962112624655e+00,1.022472429666086091e+00,1.017539273608013550e+00,-6.857030870661217081e-01,4.848123493632231495e-01,1.675509272201836097e+00,2.513263908302754146e+00,2.953196211262465454e+00,2.247242966608609116e+00,1.753927360801355029e+00
2.723821386806103639e+00,2.685413439922512691e-01,3.383100157514825623e-01,3.359970722225360529e-01,9.777390078361039016e-01,9.892550056255919877e-01,2.682616872040576306e-01,2.695656830986384311e-01,8.339933045370578890e-01,1.016679866090741235e+00,1.025019799136111631e+00,1.029398429108400626e+00,1.022360681703774477e+00,1.017415118468877333e+00,-6.836757474675425605e-01,4.860909912897456442e-01,1.667986609074123550e+00,2.501979913611163120e+00,2.939842910840062551e+00,2.236068170377447650e+00,1.741511846887733306e+00
2.717228986966131465e+00,2.690175944248632267e-01,3.388965966523067586e-01,3.365865081485842625e-01,9.776240324053956376e-01,9.891309143561083372e-01,2.686952139414190421e-01,2.700047057781654325e-01,8.302485916807017530e-01,1.016604971833614091e+00,1.024907457750421136e+00,1.029265494526021119e+00,1.022249506730126489e+00,1.017291713937874542e+00,-6.816499565183143927e-01,4.873521256809158486e-01,1.660497183361409057e+00,2.490745775042113586e+00,2.926549452602111856e+00,2.224950673012648927e+00,1.729171393787454214e+00
2.710648257861980603e+00,2.694946894740664067e-01,3.394841252658272190e-01,3.371769037584630424e-01,9.775084820798541907e-01,9.890060882387787800e-01,2.691292243148115659e-01,2.704441786214333843e-01,8.265204163302329876e-01,1.016530408326604684e+00,1.024795612489906915e+00,1.029133155371141362e+00,1.022138901521555399e+00,1.017169055406276446e+00,-6.796257426050618111e-01,4.885958817626070982e-01,1.653040832660468418e+00,2.479561248990691524e+00,2.913315537114136156e+00,2.213890152155539859e+00,1.716905540627644555e+00
2.704079178832575092e+00,2.699726306377642771e-01,3.400726026476290076e-01,3.377682600347712838e-01,9.773923541797081560e-01,9.888805261836270954e-01,2.695637173336609127e-01,2.708841007708747139e-01,8.228086975601724973e-01,1.016456173951203468e+00,1.024684260926805202e+00,1.029001408660440209e+00,1.022028862868141319e+00,1.017047138289086217e+00,-6.776031338359240763e-01,4.898223879215374277e-01,1.645617395120346771e+00,2.468426092680520156e+00,2.900140866044020882e+00,2.202886286814131900e+00,1.704713828908621664e+00
2.697521729253415934e+00,2.704514194165167917e-01,3.406620298511187084e-01,3.383605779582196105e-01,9.772756460146928559e-01,9.887542270788379772e-01,2.699986919945926434e-01,2.713244713554859855e-01,8.191133547193427678e-01,1.016382267094386949e+00,1.024573400641580312e+00,1.028870251421541093e+00,1.021919387573531512e+00,1.016925958024868848e+00,-6.755821580423604367e-01,4.910317717094325740e-01,1.638226709438694861e+00,2.457340064158031190e+00,2.887025142154109325e+00,2.191938757353151246e+00,1.692595802486884793e+00
