scenario,t,viscosity,amplitude,BKM_integral,ToE_MAAT_action,warning_action,energy,dissipation,equation_residual_defect,divergence_defect,energy_balance_defect,omega_inf,enstrophy,palinstrophy,vortex_stretch_mean,vortex_stretch_inf,stretch_pressure,activity_pressure,low_mode_fraction,spectral_tail_fraction,DeltaE,DeltaQ,H,B,S_eff,V,R_resp,R_rob,Z_partition,cascade_resistance,ToE_MAAT_integrand,MAAT_warning
taylor_green_low_viscosity_high_stress,0.33,0.006,1.25,0.8105103888299763,0.13960121502100356,0.001908646279933153,0.19301090684175687,0.007071108440754131,0.00804232077627181,2.5722826638916705e-15,0.008342638917409545,2.3848637074608874,0.5892590367295109,1.8521659715197603,0.2661105339638529,0.5961015060685207,0.4516019566545142,1.0536766415744876,0.9999994070226343,8.035819467244801e-09,0.008342638917409545,8.035819724473067e-09,0.9920218421285316,0.9917263848661935,0.9987609563867305,0.9999994070226343,0.9945751750976246,0.9945751750976246,0.9945895680040296,0.9365573173901169,0.4211446346489098,0.005945727989077747
taylor_green_low_viscosity_high_stress,0.34500000000000003,0.006,1.25,0.8461385782957602,0.14591518944390153,0.001998136528897376,0.19290561369730663,0.007078706627171062,0.008031202450415154,2.6594899194422873e-15,0.008357976524490825,2.3752126310522614,0.5898922189309218,1.8621635569262542,0.26827781241935394,0.6192993080033742,0.45479123780460534,1.0593641568279533,0.9999992197692088,1.1792130079830355e-08,0.008357976524490825,1.1792130345779347e-08,0.9920327838752463,0.9917113002335756,0.9984928832058552,0.9999992197692088,0.9945737269426645,0.9945737269426645,0.9945880345652119,0.9361378820049583,0.42093162819319646,0.005966016597614879
taylor_green_low_viscosity_high_stress,0.36,0.006,1.25,0.8816169498237689,0.15222590940426153,0.0020879416020801633,0.19280020159236685,0.007086810237825447,0.008020111733124774,2.535855450811653e-15,0.008372818401213027,2.3652247685339196,0.5905675198187873,1.8726987895245226,0.27047641824611085,0.6420384108160134,0.4579940636231522,1.0653575335949614,0.9999989850965618,1.703166144689019e-08,0.008372818401213027,1.7031661700475734e-08,0.9920436986923428,0.9916967035917447,0.9981838671653924,0.9999989850965618,0.9945724170880313,0.9945724170880313,0.9945866150991238,0.9357170406491203,0.42071466402400104,0.005987004878852484
taylor_green_low_viscosity_high_stress,0.375,0.006,1.25,0.916940558345264,0.15853331431091067,0.0021780722293736478,0.19269466294417317,0.0070954202753147014,0.00800908500810399,2.5517180252262776e-15,0.008387155858066866,2.3549072347663396,0.5912850229428918,1.8837793905253941,0.27270429680544006,0.6643076778358095,0.46120616322682934,1.0716611643865612,0.9999986936956777,2.424090826494495e-08,0.008387155858066866,2.4240908520116752e-08,0.9920545507702025,0.9916826034431885,0.9978300153975633,0.9999986936956777,0.9945712333301008,0.9945712333301008,0.994585292838416,0.9352953571798632,0.4204936604432752,0.006008708486232298
taylor_green_low_viscosity_high_stress,0.39,0.006,1.25,0.9521045674526973,0.16483734206576123,0.002268539390465057,0.19258899015279043,0.00710453783988928,0.00799815910833962,2.5279460375535624e-15,0.008400980102683333,2.344267273828888,0.5920448199907733,1.895413508927183,0.2749594302495061,0.6860966414110422,0.4644233358098239,1.078279685077349,0.9999983349219008,3.4035306931400915e-08,0.008400980102683333,3.4035307184195515e-08,0.9920653038539108,0.9916690083920506,0.9974272753925779,0.9999983349219008,0.9945701629081684,0.9945701629081684,0.9945840497975881,0.9348733840271395,0.4202685169900361,0.0060311440727606035
taylor_green_low_viscosity_high_stress,0.405,0.006,1.25,0.9871042511336982,0.17113792878545192,0.002359354330634441,0.19248317559968,0.007114164125946849,0.0079873712183421,2.63812657168028e-15,0.008414282294233837,2.333312245400051,0.5928470104955708,1.9076097268321723,0.2772398367145301,0.7073955055164122,0.46764145185165573,1.0852179779299573,0.9999978966728369,4.718548186387832e-08,0.008414282294233837,4.718548212769098e-08,0.9920759213394802,0.9916559270907085,0.996971438731684,0.9999978966728369,0.9945691924782382,0.9945691924782382,0.9945828666861921,0.9344516620275338,0.4200391146460465,0.0060543293446255935
taylor_green_low_viscosity_high_stress,0.42,0.006,1.25,1.0219349952964891,0.17743500619348287,0.0024505286110475836,0.1923772116463218,0.007124300418511612,0.007976758776244123,2.5551679027747706e-15,0.008427053571885576,2.322049610852743,0.5936917015426343,1.920377065241927,0.2795451395863158,0.728195146529513,0.4708590988546439,1.0924811748919427,0.9999973652628236,6.464714404309343e-08,0.008427053571885576,6.464714429861022e-08,0.9920863663702613,0.9916433682118735,0.9964581452213077,0.9999973652628236,0.9945683080942589,0.9945683080942589,0.9945817228277363,0.934030374191039,0.4198051605353985,0.006078285360876203
taylor_green_low_viscosity_high_stress,0.435,0.006,1.25,1.0565922990829315,0.18372850159655446,0.00254207412331184,0.19227109063289577,0.007134948089700907,0.007966359377711611,2.694847391642398e-15,0.008439285126367302,2.3104869190961574,0.5945790074750755,1.9337249903348297,0.28187484578062816,0.748487112192256,0.4740746683559462,1.1000746611670078,0.9999967252946742,8.759485851022855e-08,0.008439285126367302,8.759485877971328e-08,0.9920966019316038,0.9916313403783057,0.9958828874552758,0.9999967252946742,0.9945674951736948,0.9945674951736948,0.9945805960616569,0.933609728107228,0.4195663602047727,0.006103034150950404
taylor_green_low_viscosity_high_stress,0.45,0.006,1.25,1.0910717759659059,0.19001834354189465,0.002634003021876257,0.19216480487701895,0.007146108595180497,0.007956210679821057,2.6340678074916454e-15,0.008450968231620263,2.2986317921982824,0.5955090495983747,1.9476634202271699,0.28422450486299616,0.7682636187806948,0.47727990876747645,1.1080040790613077,0.9999959595294616,1.1745986806839798e-07,0.008450968231620263,1.1745986833180477e-07,0.9921065909455952,0.9916198521317903,0.995241015831507,0.9999959595294616,0.9945667384755884,0.9945667384755884,0.9945794626567417,0.9331907979395765,0.41932279635601233,0.0061285932376278105
taylor_green_low_viscosity_high_stress,0.465,0.006,1.25,1.125369154628296,0.19630435758694642,0.0027264907997887303,0.19205834667254007,0.007157783470609863,0.007946350306229213,2.6709840540606934e-15,0.008462094295621416,2.2864919108260047,0.5964819558841552,1.9622027322166589,0.2866111833050316,0.7875175465143822,0.4805026882660887,1.1162753321042076,0.9999950487551864,1.559721250259842e-07,0.008462094295621416,1.559721252930826e-07,0.9921162963645659,0.9916089118832652,0.994527744048867,0.9999950487551864,0.9945660220715327,0.9945564524277495,0.9945687795024727,0.9327699395076942,0.4190676030034509,0.006165851860831541
