z,a,dH,dB,dS,dV,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag,Omega_MAAT
6.088468238624385265e+01,1.615908753895918537e-02,6.160688318887405082e-04,6.160419285599677466e-04,1.577415222349173179e-04,1.348059782592744005e-01,9.993843104752375694e-01,9.993843373454491807e-01,9.998422833562286005e-01,8.812079061602594576e-01,9.583286757835088876e-01,9.583286757835088876e-01,3.471702857925858532e-01,2.604905611926899289e-01,5.204019082811656656e-07
6.031618844795771395e+01,1.630890675549333604e-02,6.160686395942584128e-04,6.160405709080378489e-04,1.612787590490428818e-04,1.348056811697613822e-01,9.993843106672953835e-01,9.993843387014297308e-01,9.998387472475948057e-01,8.812081368584591123e-01,9.583287599077292551e-01,9.583287599077292551e-01,3.471690299707875793e-01,2.604896184537369153e-01,5.320715356692667072e-07
5.975291689016074059e+01,1.646011502308550659e-02,6.160684395481471178e-04,6.160391743653943850e-04,1.648953145435469426e-04,1.348053755699498979e-01,9.993843108670951159e-01,9.993843400962533208e-01,9.998351318714384650e-01,8.812083741652663171e-01,9.583288464424827291e-01,9.583288464424827291e-01,3.471677458232746427e-01,2.604886544479938504e-01,5.440028417330041376e-07
5.919481973827272014e+01,1.661272522034293667e-02,6.160682315591118350e-04,6.160377381985088826e-04,1.685929672904702844e-04,1.348050612993248465e-01,9.993843110748282799e-01,9.993843415306524758e-01,9.998314354515068780e-01,8.812086182053363581e-01,9.583289354332513721e-01,9.583289354332513721e-01,3.471664327181657739e-01,2.604876687010940772e-01,5.562016941239064891e-07
5.864184945842462326e+01,1.676675034527700184e-02,6.160680154326162285e-04,6.160362616804392890e-04,1.723735357397751858e-04,1.348047381988124460e-01,9.993843112906887205e-01,9.993843430053529486e-01,9.998276561717752697e-01,8.812088691022056386e-01,9.583290269251104609e-01,9.583290269251104609e-01,3.471650900099060300e-01,2.604866607284131996e-01,5.686740920539572595e-07
5.809395895340968252e+01,1.692220351641037998e-02,6.160677909704814770e-04,6.160347440518585413e-04,1.762388791133003333e-04,1.348044061022521667e-01,9.993843115148743905e-01,9.993843445211135768e-01,9.998237921755561697e-01,8.812091269849144926e-01,9.583291209651424447e-01,9.583291209651424447e-01,3.471637170381544069e-01,2.604856300342216491e-01,5.814261692448237682e-07
5.755110155867235733e+01,1.707909797389429302e-02,6.160675579710374111e-04,6.160331845350699390e-04,1.801908983187427375e-04,1.348040648394637775e-01,9.993843117475872395e-01,9.993843460787106281e-01,9.998198415645915826e-01,8.812093919856253121e-01,9.583292176015678621e-01,9.583292176015678621e-01,3.471623131277575269e-01,2.604845761116693637e-01,5.944641969431565935e-07
5.701323103833376393e+01,1.723744708063620554e-02,6.160673162286347312e-04,6.160315823443644192e-04,1.842315368841215026e-04,1.348037142385137555e-01,9.993843119890319926e-01,9.993843476789290303e-01,9.998158023981231768e-01,8.812096642378626221e-01,9.583293168831048536e-01,9.583293168831048536e-01,3.471608775886403375e-01,2.604834984427074618e-01,6.077945870034607463e-07
5.648030158125354205e+01,1.739726432343801504e-02,6.160670655344238980e-04,6.160299366564755052e-04,1.883627819131813888e-04,1.348033541192499574e-01,9.993843122394175937e-01,9.993843493225913477e-01,9.998116726919423769e-01,8.812099438815332864e-01,9.583294188607985875e-01,9.583294188607985875e-01,3.471594097148671954e-01,2.604823964973736472e-01,6.214238950400478859e-07
5.595226779712822207e+01,1.755856331414469562e-02,6.160668056749381890e-04,6.160282466289333314e-04,1.925866650622013983e-04,1.348029842973181291e-01,9.993843124989570947e-01,9.993843510105385741e-01,9.998074504174196964e-01,8.812102310598085575e-01,9.583295235868846129e-01,9.583295235868846129e-01,3.471579087846833889e-01,2.604812697338297345e-01,6.353588236496064136e-07
5.542908471262535386e+01,1.772135779080360671e-02,6.160665364324902993e-04,6.160265114238240667e-04,1.969052635386893109e-04,1.348026045893609415e-01,9.993843127678680993e-01,9.993843527436077068e-01,9.998031335005113096e-01,8.812105259150859737e-01,9.583296311133179257e-01,9.583296311133179257e-01,3.471563740606596893e-01,2.604801175984779449e-01,6.496062257059748789e-07
