activity,H,B,S_eff,V,R_resp,R_rob,R_sig
1.793991416309013154e-01,6.547025908359368485e-01,7.533192839296292131e-01,1.364268093137823747e-02,5.523628479384496970e-01,6.482599651470675184e-01,2.469089494828348996e-01,1.140688165505929080e-01
1.825464949928469471e-01,6.548607619419072323e-01,7.534314745864403307e-01,1.409870396257722862e-02,5.555230884008028891e-01,6.495784578702363810e-01,2.493265388957486839e-01,1.158985556705226239e-01
1.856938483547925789e-01,6.550235953251399845e-01,7.535469797792669899e-01,1.456812931432560805e-02,5.586935663948620068e-01,6.508990676086808813e-01,2.517596835567667557e-01,1.177508936210405616e-01
1.888412017167382106e-01,6.551912043959859933e-01,7.536658802046115602e-01,1.505128263453237546e-02,5.618738444759200368e-01,6.522216983696067505e-01,2.542083489764852544e-01,1.196259676022703861e-01
1.919885550786838424e-01,6.553637044897169250e-01,7.537882579277541684e-01,1.554849510297939656e-02,5.650634794725171162e-01,6.535462558852598303e-01,2.566724987297066551e-01,1.215239128480159747e-01
1.951359084406295019e-01,6.555412128709707797e-01,7.539141963858054796e-01,1.606010344465617218e-02,5.682620227192120010e-01,6.548726477048223416e-01,2.591520944801461446e-01,1.234448625752513906e-01
1.982832618025751337e-01,6.557238487371001012e-01,7.540437803899731062e-01,1.658644993997575659e-02,5.714690202960688303e-01,6.562007832850194067e-01,2.616470960064620210e-01,1.253889479340916935e-01
2.014306151645207654e-01,6.559117332203857620e-01,7.541770961270175544e-01,1.712788243176028430e-02,5.746840132746010577e-01,6.575305740793089271e-01,2.641574612295665148e-01,1.273562979582631427e-01
2.045779685264663972e-01,6.561049893890765761e-01,7.543142311598635130e-01,1.768475432888545057e-02,5.779065379699073191e-01,6.588619336255270298e-01,2.666831462411795584e-01,1.293470395160954967e-01
2.077253218884120289e-01,6.563037422472153271e-01,7.544552744273447242e-01,1.825742460647046192e-02,5.811361261987183502e-01,6.601947776318669581e-01,2.692241053335738266e-01,1.313612972620508135e-01
2.108726752503576884e-01,6.565081187332114654e-01,7.546003162430496847e-01,1.884625780250156341e-02,5.843723055430604107e-01,6.615290240610638417e-01,2.717802910304667474e-01,1.333991935888075575e-01
2.140200286123033202e-01,6.567182477171216171e-01,7.547494482932414206e-01,1.945162401077514883e-02,5.876145996192315701e-01,6.628645932126638884e-01,2.743516541190059721e-01,1.354608485799140560e-01
2.171673819742489520e-01,6.569342599965960483e-01,7.549027636338228042e-01,2.007389887004719722e-02,5.908625283517729976e-01,6.642014078032544289e-01,2.769381436827947351e-01,1.375463799630245454e-01
2.203147353361945837e-01,6.571562882914540049e-01,7.550603566863179905e-01,2.071346354927432534e-02,5.941156082521095172e-01,6.655393930445370199e-01,2.795397071358985408e-01,1.396559030637281873e-01
2.234620886981402155e-01,6.573844672368439612e-01,7.552223232328428848e-01,2.137070472883343536e-02,5.973733527015202549e-01,6.668784767191213714e-01,2.821562902577771648e-01,1.417895307599834065e-01
2.266094420600858750e-01,6.576189333749539179e-01,7.553887604100335551e-01,2.204601457760447386e-02,6.006352722380944309e-01,6.682185892539276306e-01,2.847878372290750804e-01,1.439473734371620739e-01
2.297567954220315067e-01,6.578598251452252299e-01,7.555597667019064989e-01,2.273979072580315994e-02,6.039008748473150279e-01,6.695596637910772309e-01,2.874342906682093024e-01,1.461295389437122783e-01
2.329041487839771385e-01,6.581072828730367696e-01,7.557354419316206773e-01,2.345243623344918024e-02,6.071696662559087354e-01,6.709016362561666114e-01,2.900955916686852598e-01,1.483361325474422121e-01
2.360515021459227702e-01,6.583614487568141271e-01,7.559158872521124506e-01,2.418435955435672274e-02,6.104411502285906899e-01,6.722444454238081235e-01,2.927716798370728069e-01,1.505672568924290577e-01
2.391988555078684020e-01,6.586224668535267668e-01,7.561012051355761043e-01,2.493597449553332235e-02,6.137148288673257568e-01,6.735880329803339839e-01,2.954624933315680435e-01,1.528230119565502643e-01
2.423462088698140338e-01,6.588904830625339493e-01,7.562914993617615433e-01,2.570770017187561790e-02,6.169902029127267706e-01,6.749323435835609120e-01,2.981679689010707235e-01,1.551034950096396858e-01
2.454935622317596933e-01,6.591656451077378964e-01,7.564868750050596224e-01,2.649996095604864252e-02,6.202667720471986001e-01,6.762773249195097591e-01,3.008880419246963145e-01,1.574088005722601713e-01
2.486409155937053250e-01,6.594481025180077838e-01,7.566874384203491344e-01,2.731318642343922784e-02,6.235440351994414598e-01,6.776229277559884245e-01,3.036226464516503243e-01,1.597390203750917725e-01
2.517882689556509845e-01,6.597380066058341486e-01,7.568932972275767002e-01,2.814781129207175048e-02,6.268214908499146754e-01,6.789691059929382488e-01,3.063717152413793499e-01,1.620942433189233034e-01
2.549356223175965885e-01,6.600355104441759657e-01,7.571045602950415843e-01,2.900427535737850129e-02,6.300986373368666627e-01,6.803158167094566222e-01,3.091351798039216336e-01,1.644745554352403105e-01
2.580829756795422480e-01,6.603407688414629773e-01,7.573213377213603437e-01,2.988302342171641687e-02,6.333749731625346602e-01,6.816630202074085432e-01,3.119129704403713621e-01,1.668800398473971880e-01
2.612303290414878520e-01,6.606539383147158606e-01,7.575437408160824448e-01,3.078450521852406363e-02,6.366499972991136458e-01,6.830106800515426402e-01,3.147050162833733289e-01,1.693107767323584478e-01
2.643776824034335116e-01,6.609751770607458221e-01,7.577718820789315357e-01,3.170917533101360458e-02,6.399232094940987547e-01,6.843587631060338294e-01,3.175112453375599220e-01,1.717668432829934366e-01
2.675250357653791156e-01,6.613046449254010861e-01,7.580058751776471704e-01,3.265749310529611482e-02,6.431941105746037390e-01,6.857072395673775578e-01,3.203315845198466127e-01,1.742483136709085667e-01
2.706723891273247751e-01,6.616425033708203118e-01,7.582458349243990092e-01,3.362992255783740086e-02,6.464622027502627821e-01,6.870560829935637992e-01,3.231659596994932993e-01,1.767552590097932752e-01
2.738197424892704346e-01,6.619889154406614074e-01,7.584918772507520668e-01,3.462693227714654792e-02,6.497269899143252037e-01,6.884052703294680775e-01,3.260142957378454054e-01,1.792877473192611704e-01
2.769670958512160386e-01,6.623440457232713241e-01,7.587441191811562513e-01,3.564899531959986323e-02,6.529879779425536990e-01,6.897547819283927906e-01,3.288765165276628100e-01,1.818458434891603304e-01
2.801144492131616981e-01,6.627080603127607494e-01,7.590026788049362150e-01,3.669658909930589852e-02,6.562446749895471942e-01,6.911046015697055456e-01,3.317525450319467328e-01,1.844296092443278023e-01
2.832618025751073021e-01,6.630811267679559418e-01,7.592676752467598655e-01,3.777019527191884107e-02,6.594965917821113965e-01,6.924547164725219917e-01,3.346423033221714305e-01,1.870391031097588252e-01
