activity,H,B,S_eff,V,R_resp,R_rob,R_sig
9.167422518496158856e-01,9.282216086937005173e-01,9.555407449254286201e-01,9.639314890573120742e-01,1.000000000000000000e+00,9.608014023598896447e-01,9.608014023598896447e-01,9.622086815951661487e-01
1.134749976898405815e-01,6.871720684781210675e-01,7.675591172652026506e-01,1.942679065567554098e-02,4.370721394045606889e-01,6.131642404236528066e-01,2.586919290203676947e-01,1.297023149555735222e-01
2.052765531252578324e+00,2.874802348108864702e-01,2.808282158058472144e-01,9.999999999999999547e-07,7.828495137877615750e-01,3.983293790605116902e-01,1.585556617181297159e-02,1.202633470707792016e-03
9.099269086443501076e-01,9.733677507944576979e-01,9.945841960542577409e-01,9.593885432390493184e-01,1.000000000000000000e+00,9.892502509278627842e-01,9.816987970191100032e-01,9.756991588253995928e-01
1.724638378652565862e+00,3.099934639013822713e-01,3.912054099011870734e-01,9.999999999999999547e-07,8.065338762121996297e-01,4.607443314490981545e-01,1.768459020429249962e-02,1.302875748969361787e-03
9.158896752099606742e-01,9.800561728207544121e-01,9.523961869091551735e-01,9.714941419352558505e-01,9.652698268628417955e-01,9.658413227759646835e-01,9.658413227759646835e-01,9.683810095269416163e-01
2.062192707473326170e+00,3.147322375519875370e-01,2.794595626133001276e-01,9.999999999999999547e-07,7.750055173318973756e-01,4.084964934405282411e-01,1.615813564540676678e-02,1.219420756336818184e-03
6.390347357435745002e-01,7.929242791895032560e-01,9.112509979662117843e-01,4.376398434479902844e-01,9.418104469416487268e-01,8.795848602417792872e-01,7.387330387390314002e-01,6.424736852629077122e-01
9.069074293129331110e-01,1.000000000000000000e+00,9.944412132260075365e-01,9.440453486341184863e-01,9.233874954620804321e-01,9.719733735251304685e-01,9.649148497977442229e-01,9.593049554798998013e-01
1.669501328570430099e+00,4.518933252208673923e-01,3.935475529196188482e-01,8.636412787440948813e-02,8.724042634183842848e-01,5.373414060308026041e-01,3.402288039851535384e-01,2.360411355901647634e-01
7.560680936178852951e-01,8.643962670110123536e-01,9.560564488722700371e-01,6.902690034621977722e-01,9.342082639961997170e-01,9.173745920067347681e-01,8.544066573521836849e-01,8.071587451406241343e-01
8.015855569373946388e-01,9.746149003644688502e-01,9.088648152283086423e-01,7.629878092783535237e-01,9.641925512209333915e-01,9.487796692845903435e-01,8.984696827606739600e-01,8.601493649296875210e-01
2.188610981511291520e+00,2.785213518481252093e-01,3.047554061537528503e-01,9.111977627454770703e-03,7.761079876451726367e-01,4.038722575620625199e-01,1.565258885071533768e-01,7.332632210691165942e-02
1.222351956518774374e+00,8.636639314461833639e-01,8.968997760842838396e-01,7.831240081302527356e-01,9.925703413307208622e-01,9.161150071342265555e-01,8.808868618998905164e-01,8.536822289810136466e-01
1.516636998074325948e+00,5.469972901256200393e-01,6.020707961195097546e-01,2.007748729815000133e-01,9.000970949974588242e-01,6.667669000851528249e-01,4.939214239139785301e-01,3.885124403469628063e-01
1.415616915137941634e+00,6.541481411632400489e-01,7.531955002524152176e-01,3.308458788575253662e-01,9.829955905577666408e-01,7.853172420354526118e-01,6.326889971134912471e-01,5.322386405568249046e-01
1.821433123744459204e+00,2.415516898185450789e-01,3.187443520913828543e-01,9.999999999999999547e-07,8.486156304141654338e-01,4.027676072159244725e-01,1.598788078341406918e-02,1.209985021587870390e-03
1.896015218771834876e+00,3.047993616396975081e-01,3.423884152501016076e-01,9.999999999999999547e-07,7.747946389737975226e-01,4.324207980979556387e-01,1.686280937210317063e-02,1.258196914147186821e-03
1.239163491434681186e+00,7.976491609564260177e-01,9.075038456924278130e-01,7.113418116058375373e-01,1.000000000000000000e+00,8.978837855873180729e-01,8.470999982762414948e-01,8.085489591781854779e-01
6.480233649260785933e-01,8.644028120988571651e-01,8.392291608029547323e-01,4.316547202603758793e-01,9.363969458652759981e-01,8.790607889555299703e-01,7.358652676274276550e-01,6.382955580694735787e-01
5.016054466493281155e-02,7.065903983854485704e-01,7.246505561045004651e-01,3.237945376834778545e-03,4.418102956500740142e-01,6.093180794709612824e-01,1.645130779779086783e-01,5.771457721812369573e-02
1.351687152341504383e+00,7.535325268681578592e-01,7.457710702589702700e-01,4.903301707177974977e-01,9.787273370986455667e-01,8.193253993141611513e-01,7.206335343412052508e-01,6.503107117420002803e-01
1.816031433184363220e+00,3.272339711240356275e-01,3.614551112705911562e-01,1.806893558503358185e-02,7.785260786833867463e-01,4.515736989719031369e-01,2.019666313943317970e-01,1.061012274132295125e-01
9.911875721256510063e-01,9.533269944569748855e-01,9.363379469589504511e-01,9.725265543437048299e-01,9.332866951788670873e-01,9.409427418131944831e-01,9.409427418131944831e-01,9.550264919776827455e-01
3.623535090799014924e-01,6.529343417790289816e-01,7.877100103823944099e-01,1.292364347890040954e-01,7.391534723588671918e-01,7.244195560994116656e-01,4.708026151612001997e-01,3.335168859561454258e-01
6.337805604584100250e-01,8.655572332050596174e-01,8.054323671684581187e-01,4.692015460957579265e-01,8.986107950783698284e-01,8.556552773165972958e-01,7.363155690986311619e-01,6.529442531504402458e-01
1.121975644926102245e+00,9.195969175101121884e-01,9.916971466559105775e-01,9.220064105674534716e-01,1.000000000000000000e+00,9.697479201723988584e-01,9.575856467103667224e-01,9.479657456091925560e-01
1.840698681750866594e+00,2.445412012919634392e-01,3.578472926364134055e-01,4.291999741484534003e-02,7.839186641190174498e-01,4.093614358203915837e-01,2.329405610793351955e-01,1.483732703345460868e-01
3.778569213505253988e-01,7.154547266344070122e-01,8.378219278287375449e-01,7.803668559416292172e-02,7.541529744553915338e-01,7.674753626390916628e-01,4.333841619346996965e-01,2.743594417504212624e-01
1.346729726560931262e+00,7.818156055093373746e-01,7.843337390030382661e-01,4.826461774299985463e-01,9.568899575930625012e-01,8.371868721703564775e-01,7.294978645530317829e-01,6.534093085429231174e-01
1.657410950691200036e+00,4.788232350841220564e-01,4.375516537291018748e-01,5.293735252819499471e-02,8.972414383438134244e-01,5.728460942459240313e-01,3.158413750342536352e-01,1.961615452667408444e-01
2.059304544736611398e+00,3.217408868950011325e-01,2.613474861129171933e-01,9.999999999999999547e-07,7.539218809313852354e-01,3.987343431132643889e-01,1.586765438140759835e-02,1.203305782617292586e-03
2.567481216934907051e-01,7.022635345039582866e-01,7.655899046843921418e-01,9.430564440419703098e-02,5.755632573862314860e-01,6.763888803170253761e-01,4.133155703113147728e-01,2.787083702459881018e-01
2.038061595162026229e+00,2.893916609073323154e-01,2.908966710540940026e-01,9.999999999999999547e-07,8.387206659836239364e-01,4.133145580777741190e-01,1.630086035483331239e-02,1.227310321057541566e-03
1.323228577383855020e+00,6.829594419472412303e-01,8.262762155331461189e-01,5.210414994491596730e-01,9.580574107172746823e-01,8.146490710263709634e-01,7.285275902625001354e-01,6.662333266247905117e-01
1.686743492351029383e+00,4.016810436289993680e-01,3.931092213759407317e-01,5.654917828483051190e-02,8.737853897566312256e-01,5.167332989905136786e-01,2.972052052408291622e-01,1.909362467260453944e-01
1.183043610508220100e-01,6.741655248443236825e-01,8.224262324158638782e-01,1.992832640928507079e-02,5.235960959751686516e-01,6.621452958684372891e-01,2.757926453308331416e-01,1.368630413163238468e-01
1.113525942409309355e+00,9.443374619511660795e-01,9.954455169614692123e-01,9.188504353496401711e-01,1.000000000000000000e+00,9.795987851593088713e-01,9.640451736912649672e-01,9.517802797664297598e-01
1.369785282977746377e+00,6.969620341898499216e-01,7.298759234636910120e-01,4.161024252525974410e-01,9.315033577365777751e-01,7.796162113242252056e-01,6.663627437144488130e-01,5.877255686886555530e-01
6.750344477202484539e-01,7.931347317521543205e-01,9.383898399978640725e-01,5.133881431420709296e-01,9.117943689601930579e-01,8.787710145365646985e-01,7.682777420547176606e-01,6.899732814857820751e-01
9.496304578227559023e-01,9.506098456461955504e-01,9.575736832338469506e-01,9.959464860611952908e-01,9.100899550854563147e-01,9.391888838298649844e-01,9.391888838298649844e-01,9.643181049339036859e-01
1.219455897615115747e+00,9.290415591269851614e-01,8.871023158505880746e-01,7.354959267934497724e-01,9.371028546374756685e-01,9.174844350024240480e-01,8.681486553418973351e-01,8.305970996129016237e-01
1.215605467500555870e+00,9.339778398973268558e-01,8.383474759059182935e-01,7.417325919928035027e-01,9.745496002706495187e-01,9.138077989987768435e-01,8.673671816315675631e-01,8.319198488034733607e-01
9.209535589504376507e-02,6.516893226650252169e-01,8.158797491448502859e-01,9.999999999999999547e-07,4.457510010134023148e-01,6.188513777084224676e-01,2.206428058130844791e-02,1.532401255628320453e-03
9.668598864735633569e-01,9.977334217886202339e-01,9.283729614868889701e-01,1.000000000000000000e+00,9.408201816233215942e-01,9.551711785324259463e-01,9.551711785324259463e-01,9.750899161784446489e-01
4.703999405429079572e-01,6.737335100750869721e-01,7.408139630541850096e-01,1.805612413816910233e-01,8.311842766128144655e-01,7.458157362308425187e-01,5.231542885814652877e-01,3.939384644395050317e-01
2.016729171787769559e+00,3.124701013935835547e-01,2.727596690107806920e-01,6.592979195982380178e-03,8.382602494619318945e-01,4.149436903986190028e-01,1.473202001366541170e-01,6.433996320815205117e-02
2.148475978271334963e+00,3.404785156540210411e-01,3.274691219147597421e-01,9.999999999999999547e-07,7.831262568063186436e-01,4.436399195289333908e-01,1.718988468764825334e-02,1.276047496509425359e-03
6.592231719745520468e-01,7.619173931197432692e-01,9.007975063550452965e-01,4.517289653223095502e-01,8.895640081106398478e-01,8.483415831820974029e-01,7.246821284664268781e-01,6.388648408606152351e-01
3.854078739523292829e-01,6.974422185308640776e-01,7.764181564084697840e-01,1.114092417497248161e-01,8.041737812007139219e-01,7.579687054831975024e-01,4.693196746822155263e-01,3.198326154996610216e-01
4.829091320863548309e-01,7.319885966318147030e-01,8.304857479770572093e-01,1.777306607027168139e-01,8.112819628006573414e-01,7.900770376843146980e-01,5.441174684119921556e-01,4.037488067914100087e-01
1.051054961776498375e+00,9.966013423448779607e-01,9.715088351390281929e-01,9.990402445309369828e-01,1.000000000000000000e+00,9.892879991610317170e-01,9.892879991610317170e-01,9.936646729502213171e-01
1.923912318048992542e+00,3.624926553201956447e-01,3.281576639377278282e-01,9.999999999999999547e-07,7.901193604034080220e-01,4.546649635634799069e-01,1.750929325606403325e-02,1.293392442133302822e-03
1.100079672862807278e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.767915888858604845e-01,9.846127660857463271e-01,9.948443873662680126e-01,9.903001467442561490e-01,9.866797039437696926e-01
1.218625357736548287e-01,6.443376609835989033e-01,7.431331865476453746e-01,2.984897230533039084e-02,5.515052633112096370e-01,6.415688624916963123e-01,2.979646918952126855e-01,1.613251305675246217e-01
8.774832596891682379e-02,6.752544223342311636e-01,7.243640941443517667e-01,2.928136750566408958e-03,4.192590092339871233e-01,5.897060524479570409e-01,1.565397110120432533e-01,5.417709094785624901e-02
5.002600803702669241e-01,7.235907865748532064e-01,8.166273765539561191e-01,2.150603890191671586e-01,8.134661424288377463e-01,7.833433273729883961e-01,5.670276253591906013e-01,4.378505240054296199e-01
1.854096810740743617e+00,3.006300248543790632e-01,3.607137025144618314e-01,2.806470057235667739e-02,7.970978781071426100e-01,4.421492391523435539e-01,2.219303840840502473e-01,1.278601091867039574e-01
1.367257226577316853e+00,7.156246602176045135e-01,7.435109634766619013e-01,3.896569636608679388e-01,9.404489760585467151e-01,7.939064022045758673e-01,6.645039833452930367e-01,5.763419296242073830e-01
1.238507278329841421e+00,8.695466760213103052e-01,8.990994491986430415e-01,7.376770858221038951e-01,1.000000000000000000e+00,9.212274642442146444e-01,8.714485087436955046e-01,8.335691137520460092e-01
