dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,10,80,0,0,10,0.03492914847942184,0.005260459001874551,3.32
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,jeroslow_wang,90,300,3.3333333333333335,1,1,0,17,73,0,0,17,0.03492914847942184,0.008986417000414804,5.3919999999999995
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,progress_only,90,300,3.3333333333333335,1,1,0,17,73,0,0,17,0.03492914847942184,0.008937416976550594,5.3919999999999995
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,score_with_R,90,300,3.3333333333333335,1,1,0,15,125,2,2,12,0.03492914847942184,0.009444791998248547,7.0
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,gate_v17,90,300,3.3333333333333335,1,1,0,15,86,1,1,14,0.03492914847942184,0.00827958298032172,5.844
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,gate_shuffled_R,90,300,3.3333333333333335,1,1,0,12,78,0,0,12,3.238612151511056e-05,0.006181499978993088,3.9119999999999995
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,12,91,1,1,11,0.03429631491696159,0.0057996670075226575,4.9639999999999995
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,20,148,2,2,14,0.03429631491696159,0.010667374997865409,8.592
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,jeroslow_wang,90,300,3.3333333333333335,1,1,0,25,218,5,5,17,0.03429631491696159,0.014051875012228265,13.372
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,progress_only,90,300,3.3333333333333335,1,1,0,20,147,3,3,16,0.03429631491696159,0.010627874988131225,9.588
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,score_with_R,90,300,3.3333333333333335,1,1,0,20,131,2,2,17,0.03429631491696159,0.010612583020702004,8.524000000000001
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,gate_v17,90,300,3.3333333333333335,1,1,0,12,78,0,0,12,0.03429631491696159,0.005952667008386925,3.9119999999999995
flat30-60_flat30-11,satlib_graph_coloring_flat30,test,gate_shuffled_R,90,300,3.3333333333333335,1,1,0,21,126,3,3,13,0.03262320894272948,0.011204999987967312,9.804
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,6,84,0,0,6,0.03275401455495034,0.0034371249785181135,2.1359999999999997
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,14,76,0,0,14,0.03275401455495034,0.0066538749961182475,4.5040000000000004
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,jeroslow_wang,90,300,3.3333333333333335,1,1,0,18,72,0,0,18,0.03275401455495034,0.009604083985323086,5.688
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,progress_only,90,300,3.3333333333333335,1,1,0,17,73,0,0,17,0.03275401455495034,0.009172916994430125,5.3919999999999995
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,score_with_R,90,300,3.3333333333333335,1,1,0,18,72,0,0,18,0.03275401455495034,0.009682708972832188,5.688
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,gate_v17,90,300,3.3333333333333335,1,1,0,14,76,0,0,14,0.03275401455495034,0.007924791018012911,4.5040000000000004
flat30-60_flat30-12,satlib_graph_coloring_flat30,test,gate_shuffled_R,90,300,3.3333333333333335,1,1,0,20,70,0,0,20,0.22934271765899963,0.010096165991853923,6.28
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,vsids,110,561,5.1,0,0,1,1291,30840,1000,1000,25,0.22934271765899963,4.828907082992373,2510.66
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,moms,110,561,5.1,0,0,1,1146,15038,1000,1000,51,0.22934271765899963,4.3144420000026,2403.952
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,jeroslow_wang,110,561,5.1,0,0,1,1213,13542,1000,1000,47,0.22934271765899963,3.831723540992243,2418.068
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,progress_only,110,561,5.1,0,0,1,1191,17281,1000,1000,46,0.22934271765899963,3.8350262499880046,2426.424
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,score_with_R,110,561,5.1,0,0,1,1229,19289,1000,1000,84,0.22934271765899963,5.526453875005245,2445.8559999999998
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,gate_v17,110,561,5.1,0,0,1,1177,19886,1000,1000,83,0.22934271765899963,6.326439416996436,2432.6440000000002
pigeon-hole_hole10,satlib_dimacs_pigeonhole,calibration,gate_shuffled_R,110,561,5.1,0,0,1,1240,20233,1000,1000,83,0.22998628537476795,5.650553541985573,2452.932
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,vsids,42,133,3.1666666666666665,1,0,0,372,5134,302,301,15,0.16631087304064376,0.3005074590037111,434.136
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,moms,42,133,3.1666666666666665,1,0,0,713,9579,635,634,20,0.16631087304064376,1.0251986249932088,887.216
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,jeroslow_wang,42,133,3.1666666666666665,1,0,0,689,7698,588,587,17,0.16631087304064376,0.7933439160115086,825.4920000000001
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,progress_only,42,133,3.1666666666666665,1,0,0,370,4943,325,324,16,0.16631087304064376,0.31289554201066494,455.772
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,score_with_R,42,133,3.1666666666666665,1,0,0,880,12773,786,785,26,0.16631087304064376,1.369658666983014,1101.092
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,gate_v17,42,133,3.1666666666666665,1,0,0,989,13370,839,838,24,0.16631087304064376,1.5108394999988377,1189.18
pigeon-hole_hole6,satlib_dimacs_pigeonhole,test,gate_shuffled_R,42,133,3.1666666666666665,1,0,0,973,13028,802,801,25,9.76807816930188e-07,1.430910708004376,1146.0120000000002
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,vsids,56,204,3.642857142857143,1,0,0,952,16039,772,771,19,0.28157451636389247,1.817853958986234,1121.7559999999999
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,moms,56,204,3.642857142857143,0,0,1,1122,15008,1000,1000,27,0.28157451636389247,2.9046170840156265,2396.6319999999996
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,jeroslow_wang,56,204,3.642857142857143,0,0,1,1189,13512,1000,1000,23,0.28157451636389247,2.6378104999894276,2410.748
pigeon-hole_hole7,satlib_dimacs_pigeonhole,calibration,progress_only,56,204,3.642857142857143,0,0,1,1182,17617,1000,1000,22,0.28157451636389247,2.6141912500024773,2425.068
