mu,pi0,stable,background_safe,fail_reason,min_P_X,min_D,min_c_s2,max_c_s2,max_omega_maat,final_a,final_lambda,final_X,final_w_maat,final_omega_maat
0.001,2.4955555555555557,True,True,,1.000012153870855,0.9999937547408315,1.0,1.000024783240906,0.0001427892564333445,1006.3601158621694,0.017513389238950842,2.1852812350023903e-21,-0.898855688752482,2.3267215873782398e-05
0.001,2.612962962962963,True,True,,1.0000113280888094,0.9999938048803465,1.0,1.0000245330166946,0.00014281193878684667,1006.7815846284833,0.01751377829409759,2.3897229648602075e-21,-0.8988556888737292,2.3268249609397464e-05
0.001,2.7303703703703706,True,True,,1.0000105764514455,0.9999938979438682,1.0,1.0000242082529969,0.00014283517368058848,1007.2203153825698,0.017514160779336558,2.60248499215653e-21,-0.8988556889927487,2.326926591088205e-05
0.001,2.847777777777778,True,True,,1.000009891305066,0.9999940221511365,1.0,1.000024276082953,0.00014285893533579058,1007.6760521278293,0.017514535886664646,2.8234359321382844e-21,-0.8988556891092844,2.3270262630078217e-05
0.001,2.9651851851851854,True,True,,1.0000092657955748,0.9999941683401945,1.0,1.0000245544390485,0.0001428831993413714,1008.1485332070808,0.01751490291423282,3.0524413414974395e-21,-0.898855689223114,2.327123790074415e-05
0.001,3.0825925925925928,True,True,,1.0000086938051227,0.999994329419554,1.0,1.0000247565504574,0.00014290794251649224,1008.6374918474005,0.01751526125557834,3.289363987275926e-21,-0.8988556893340462,2.3272190109979368e-05
0.001,3.2,True,True,,1.0000081698846408,0.9999944999286415,1.0,1.0000248891537755,0.0001429331427900119,1009.1426566982828,0.017515610389955347,3.53406411324302e-21,-0.8988556894419164,2.3273117872563946e-05
0.0016681005372000592,0.03,True,True,,1.0000292033129803,1.0000292033129803,1.0,1.0000000749907656,0.00014250990530468406,1001.8616692911557,0.017506943695766684,3.2444495738428125e-25,-0.8988556867252858,2.3250093140633165e-05
0.0016681005372000592,0.14740740740740743,True,True,,1.0000292034232106,1.0000292034232106,1.0,1.0000017734131117,0.0001425115487076978,1001.8771103481299,0.017507009777069482,7.832424696762404e-24,-0.898855686746306,2.3250268655149077e-05
0.0016681005372000592,0.26481481481481484,True,True,,1.000029203677299,1.000029203677299,1.0,1.0000054589638503,0.0001425153476533423,1001.9129782429522,0.017507162099304793,2.5272441808008965e-23,-0.8988556867947566,2.3250673231466563e-05
0.0016681005372000592,0.38222222222222224,True,True,,1.0000292040705312,1.0000292040705312,1.0,1.000010581750412,0.00014252125671663536,1001.9692472332295,0.01750739783601772,5.2631494038119727e-23,-0.8988556868697355,2.3251299368208467e-05
0.0016681005372000592,0.49962962962962965,True,True,,1.0000292045959385,1.0000292045959385,1.0,1.000016455134396,0.00014252920866040915,1002.0458771030792,0.017507712809730052,8.988926220079606e-23,-0.8988556869699067,2.3252135978311077e-05
0.0016681005372000592,0.6170370370370372,True,True,,1.000029205244788,1.000029205244788,1.0,1.000022409490453,0.00014253911903495131,1002.1428133806005,0.01750810178520733,1.3701821249906577e-22,-0.8988556870935981,2.3253169167250252e-05
0.0016681005372000592,0.7344444444444446,True,True,,1.000029206007123,1.000029206007123,1.0,1.0000279054174255,0.00014255089125783825,1002.2599875875643,0.01750855879342459,1.9398371396204988e-22,-0.8988556872389019,2.325438309272778e-05
0.0016681005372000592,0.851851851851852,True,True,,1.000029206872285,1.0000286133340024,1.0,1.0000325857152101,0.000142564421526408,1002.3973175042464,0.017509077444941713,2.6074416307164423e-22,-0.8988556874037765,2.3255760796252173e-05
0.0016681005372000592,0.9692592592592594,True,True,,1.0000292078293709,1.0000204743404837,1.0,1.0000362733023551,0.00014257960310646222,1002.5547074437545,0.01750965120354354,3.3725111312476363e-22,-0.898855687586134,2.3257284929276317e-05
0.0016681005372000592,1.086666666666667,True,True,,1.0000292088675984,1.0000135052012176,1.0,1.000038936255356,0.000142596329762562,1002.7320485386141,0.01751027360511383,4.2344940985309904e-22,-0.8988556877839083,2.325893833400889e-05
0.0016681005372000592,1.2040740740740743,True,True,,1.000029209976573,1.0000077118066246,1.0,1.0000406414186942,0.00014261449828296597,1002.9292190460146,0.017510938418673117,5.192773364663487e-22,-0.8988556879951091,2.3260704470756267e-05
0.0016681005372000592,1.3214814814814817,True,True,,1.0000292111464706,1.0000030150860277,1.0,1.000041511161179,0.00014263401017741457,1003.146084677785,0.017511639754506824,6.246667710958447e-22,-0.8988556882178544,2.326256770487016e-05
0.0016681005372000592,1.438888888888889,True,True,,1.0000292123681427,0.9999992911095029,1.0,1.00004169006776,0.00014265477268932066,1003.3824989590115,0.01751237212836584,7.395433585284859e-22,-0.8988556884503918,2.3264513477137277e-05
0.0016681005372000592,1.5562962962962965,True,True,,1.0000292136331679,0.9999963995591111,1.0,1.0000413227721445,0.0001426766992808972,1003.6383036167699,0.017513130491830155,8.63826696884746e-22,-0.8988556886911094,2.3266528384387653e-05
0.0016681005372000592,1.673703703703704,True,True,,1.0000292149338619,0.9999942017066897,1.0,1.000040541245166,0.0001426997097386864,1003.9133289981913,0.01751391023823618,9.974305388950958e-22,-0.8988556889385353,2.3268600195266186e-05
0.0016681005372000592,1.7911111111111113,True,True,,1.0000292162632596,0.9999925703679085,1.0,1.0000395009278462,0.00014272373002278756,1004.2073945158654,0.017514707192040117,1.1402630067674114e-21,-0.8988556891913357,2.3270717822055827e-05
0.0016681005372000592,1.9085185185185187,True,True,,1.0000292176150798,0.9999913943759419,1.0,1.000040497695385,0.00014274869195563127,1004.5203091177204,0.017515517587748938,1.2922268192691412e-21,-0.8988556894483083,2.327287126482157e-05
0.0016681005372000592,2.025925925925926,True,True,,1.0000273262244141,0.9999905796541825,1.0,1.0000411708522894,0.00014277453282074057,1004.8518717780787,0.017516338042934437,1.4532195294832117e-21,-0.898855689708373,2.3275051539855564e-05
0.0016681005372000592,2.1433333333333335,True,True,,1.0000252976335597,0.9999900483845725,1.0,1.0000415560350806,0.0001428011949208536,1005.2018720066566,0.017517165528502212,1.6231337716558466e-21,-0.898855689970563,2.32772506008386e-05
0.0016681005372000592,2.260740740740741,True,True,,1.0000234581161733,0.9999897372556599,1.0,1.0000416896160482,0.0001428286251283903,1005.5700903721018,0.01751799733834592,1.8018575155783993e-21,-0.8988556902340145,2.3279461258369673e-05
0.0016681005372000592,2.3781481481481483,True,True,,1.0000217892344543,0.9999895953890937,1.0,1.0000416070450138,0.00014285677444920124,1005.9562990370171,0.01751883105974397,1.989274327001529e-21,-0.8988556904979571,2.3281677101463998e-05
0.0016681005372000592,2.4955555555555557,True,True,,1.0000202738785025,0.9999895822798262,1.0,1.0000413417403522,0.0001428855976119424,1006.3602623012746,0.017519664545308376,2.185263632646732e-21,-0.8988556907617061,2.3283892423167253e-05
